"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","CDES",307,"Full","BLM3",0.0396164465377233,0.000348025855377851,0.150114924794725,0.00365062938210598
"2","CDES",307,"subsets","BLM1_fit",0.0401358837707918,0.000647505126648672,0.144908192218885,0.00667398823000532
"3","CDES",307,"subsets","BLM1_fit_NoErrors",0.0395934535649802,0.000448431265772218,0.150396125159756,0.00473145271890903
"4","CDES",307,"subsets","BLM3",0.0396033027961318,0.000451904038419539,0.150253676275963,0.00478954887057814
"5","CDES",307,"subsets","Deming",0.037684340514668,0.00832935605081881,0.171530386187275,0.0848184728980726
"6","CDES",307,"subsets","LM",0.0395871639125643,0.000543144342808957,0.150110658074495,0.00546267043384748
"7","CDES",307,"subsets","Weighted",0.0395803080700584,0.000582558420560053,0.150642626289816,0.00621288612454482
"8","CDES",307,"subsets","York",0.0392266536922389,0.000718687629268226,0.156106407864503,0.00594981336385778
"9","ICDES",599,"Full","BLM3",0.0389126834420659,0.000454232887600071,0.158415239722815,0.0053016275957405
"10","ICDES",599,"subsets","BLM1_fit",0.0397422187031214,0.000680262950462778,0.148890221327076,0.00781164154391018
"11","ICDES",599,"subsets","BLM1_fit_NoErrors",0.0389391530019535,0.000391866232002753,0.158077025017509,0.00455118048841942
"12","ICDES",599,"subsets","BLM3",0.0389172938837611,0.000387573908627001,0.15834003752406,0.00449224611628201
"13","ICDES",599,"subsets","Deming",0.0387909288360886,0.000521097716089092,0.162281298875331,0.00615397808172426
"14","ICDES",599,"subsets","LM",0.0388761149786523,0.000417079866585451,0.15879198468405,0.00491071369186557
"15","ICDES",599,"subsets","Weighted",0.0387837431278578,0.000443775870370084,0.159887602528263,0.00515978825135145
"16","ICDES",599,"subsets","York",0.0387679931421673,0.000535832064857176,0.162302882632883,0.0062036482546124
