"","Material","Freq","Model","elpd_diff","se_diff"
"1","Large",529,"BLM1_NE",-8108.47572850226,80.7027567415875
"2","Large",529,"BLM1_E",-1482292.12053839,15005.7670861424
"3","Large",529,"BLM3",0,0
"4","Small",446,"BLM1_E",-1984343.47959642,30555.5382383791
"5","Small",446,"BLM1_NE",0,0
"6","Small",446,"BLM3",-16670.0771581543,263.491950927113
"7","Unclear",25,"BLM1_NE",0,0
"8","Unclear",25,"BLM3",-1150.95998850717,113.007532529914
"9","Unclear",25,"BLM1_E",-1395172.22860905,140732.363766904
"10","Full",1000,"BLM1_NE",0,0
"11","Full",1000,"BLM3",-28309.011803027,259.696602900348
"12","Full",1000,"BLM1_E",-4160539.13050737,37248.7855035692
