"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Large",512,"Full","BLM3",0.0388834670020502,0.000405156011455386,0.161855401026979,0.00458742376718529
"2","Large",512,"subsets","BLM1_fit",0.0389051973473331,0.000421603723605649,0.161544169197457,0.00480810055910827
"3","Large",512,"subsets","BLM1_fit_NoErrors",0.0389419891979818,0.000428989591919387,0.16065778106082,0.00485535451104479
"4","Large",512,"subsets","BLM3",0.0388643816545465,0.000417667960924865,0.162036563617913,0.00472774792138671
"5","Large",512,"subsets","Deming",0.0480818126404361,0.00328715937793148,0.0622632198165024,0.0389874444564501
"6","Large",512,"subsets","LM",0.0392076974876054,0.000444145123887666,0.158128694486955,0.00358922375953525
"7","Large",512,"subsets","Weighted",0.0387882947986933,0.000108957290553516,0.161526886018863,0.00119111238853682
"8","Large",512,"subsets","York",0.0400526064317439,0.000328404907413201,0.146968439810225,0.00229257940401702
"9","Small",335,"Full","BLM3",0.0398489254049261,0.000443366751626609,0.142592044148873,0.00494778030016725
"10","Small",335,"subsets","BLM1_fit",0.0398284052461394,0.000399753067183154,0.142827709381399,0.00448023197558594
"11","Small",335,"subsets","BLM1_fit_NoErrors",0.0400944876170582,0.000396653433774556,0.14042280029535,0.00444506419328533
"12","Small",335,"subsets","BLM3",0.0398424337101666,0.000381734290766249,0.142652159159119,0.0042898711848508
"13","Small",335,"subsets","Deming",0.0416166576811178,0.000341505507618986,0.133642750090486,0.000995514290046073
"14","Small",335,"subsets","LM",0.0405313663383614,0.000818677516529271,0.134534038569875,0.0101218046418056
"15","Small",335,"subsets","Weighted",0.0403531137460895,0.000616792462608463,0.137896106096453,0.00927101975679523
"16","Small",335,"subsets","York",0.0396132627278828,0.000911626782846597,0.152229603213304,0.0109577792593743
