"","Material","Freq","Model","elpd_diff","se_diff"
"1","Caltech",121,"BLM3",-841.407064027224,15.8082333113432
"2","Caltech",121,"BLM1_E",-4112.50363534155,55.3456725550956
"3","Caltech",121,"BLM1_NE",0,0
"4","MIT",41,"BLM1_NE",-10504.0322299045,1024.70267538483
"5","MIT",41,"BLM1_E",-977.504306098983,56.2690526947141
"6","MIT",41,"BLM3",0,0
"7","Tulane",25,"BLM3",0,0
"8","Tulane",25,"BLM1_E",-1444.28024365308,47.654120017702
"9","Tulane",25,"BLM1_NE",-431.644061990395,16.4290872109457
"10","UCLATripati",237,"BLM1_E",-95476.1512861247,852.575115621152
"11","UCLATripati",237,"BLM1_NE",-4422.79082018797,44.3366626244594
"12","UCLATripati",237,"BLM3",0,0
"13","UMichigan",17,"BLM3",0,0
"14","UMichigan",17,"BLM1_NE",-932.432915709627,216.520480744179
"15","UMichigan",17,"BLM1_E",-18946.5085721961,2344.71140036937
"16","UnivBergen",56,"BLM1_E",-1472561.38559718,17142.0995686932
"17","UnivBergen",56,"BLM3",0,0
"18","UnivBergen",56,"BLM1_NE",-8228.12950867821,95.7967484893667
"19","UW",56,"BLM3",-4544.01549772354,693.031624282625
"20","UW",56,"BLM1_NE",0,0
"21","UW",56,"BLM1_E",-1131.50359354127,34.09256991049
"22","Cambridge",25,"BLM1_NE",0,0
"23","Cambridge",25,"BLM1_E",-91250.5277907058,1662.61936963424
"24","Cambridge",25,"BLM3",-16238.1492650248,295.876743600565
"25","ETH",67,"BLM3",-976.049034347486,46.5066806117281
"26","ETH",67,"BLM1_E",-1218.83521552066,61.1830506652477
"27","ETH",67,"BLM1_NE",0,0
"28","GeoSurveyCanada",12,"BLM3",0,0
"29","GeoSurveyCanada",12,"BLM1_E",-11592.1411511269,2277.47780347208
"30","GeoSurveyCanada",12,"BLM1_NE",-4353.52512218729,847.828280290835
"31","Goethe",25,"BLM3",0,0
"32","Goethe",25,"BLM1_NE",-2121.82388287932,272.016613067958
"33","Goethe",25,"BLM1_E",-5848.49906818269,700.922669827472
"34","ImperialCollegeLondon",58,"BLM1_E",0,0
"35","ImperialCollegeLondon",58,"BLM3",-667.09426579983,21.476100533874
"36","ImperialCollegeLondon",58,"BLM1_NE",-623.257998085299,16.2518437550897
"37","IPGP",11,"BLM1_E",-43492.1077322847,670.339512208493
"38","IPGP",11,"BLM3",-12859.7682458092,198.206688790643
"39","IPGP",11,"BLM1_NE",0,0
"40","IPSL",27,"BLM1_E",-1977508.18429461,29281.7375193312
"41","IPSL",27,"BLM1_NE",-36409.2099897181,539.139668819515
"42","IPSL",27,"BLM3",0,0
"43","JohnsHopkins",55,"BLM1_E",-8055.35168742748,362.153570240189
"44","JohnsHopkins",55,"BLM3",-4970.8286514464,222.794060212493
"45","JohnsHopkins",55,"BLM1_NE",0,0
"46","Full",727,"BLM1_NE",0,0
"47","Full",727,"BLM1_E",-28414.1822639767,252.297347685114
"48","Full",727,"BLM3",-98003.0250715484,884.662988717333
