"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1",1,135,"Full","BLM3",0.0295444823636822,0.00187116332550068,0.279533485023562,0.0227241380301025
"2",1,135,"subsets","BLM1_fit",0.0297422660721776,0.00231329574413547,0.277048121901219,0.0281449630971987
"3",1,135,"subsets","BLM1_fit_NoErrors",0.0300966714628389,0.00214155983528404,0.272241856604404,0.0262307556150857
"4",1,135,"subsets","BLM3",0.0294672673133527,0.00206921325725279,0.280309021130138,0.0251693870550997
"5",1,135,"subsets","Deming",0.0426952302528223,0.024053299254485,0.121355044474694,0.282658358056163
"6",1,135,"subsets","LM",0.0284212090943449,0.000469725874150662,0.288979150126105,0.0046777346204666
"7",1,135,"subsets","Weighted",0.02942169621598,0.00281624032974699,0.279534842117021,0.0313886022441661
"8",1,135,"subsets","York",0.042908466346827,0.00177092387282756,0.119169769137926,0.0203856497839594
"9",2,697,"Full","BLM3",0.0390958574081872,0.000279980190229042,0.154717838561684,0.00306168231040719
"10",2,697,"subsets","BLM1_fit",0.0390958871960751,0.000265581400602058,0.154726861292153,0.00292005731970998
"11",2,697,"subsets","BLM1_fit_NoErrors",0.0392881288921851,0.000281839007592164,0.152232318492213,0.00308081479778192
"12",2,697,"subsets","BLM3",0.0390940062954807,0.00026426290033459,0.154764524010372,0.0029135569282083
"13",2,697,"subsets","Deming",0.0395775757740041,0.00147211425556526,0.143222379891069,0.00952747387493433
"14",2,697,"subsets","LM",0.0394376525870665,0.000736123455811368,0.149963439207231,0.00793641783316456
"15",2,697,"subsets","Weighted",0.0392551444172368,0.000192296596468319,0.152749908083189,0.00221302123210182
"16",2,697,"subsets","York",0.0388395485867452,2.55641004321841e-05,0.156638972393289,0.00488362704907708
