"","Material","Freq","Model","elpd_diff","se_diff"
"1","A",167,"BLM1_E",-1051689.48215606,12983.1538123932
"2","A",167,"BLM3",0,0
"3","A",167,"BLM1_NE",-6376.92170728087,81.7773265808021
"4","Apatite",35,"BLM3",0,0
"5","Apatite",35,"BLM1_NE",-39680.7891939588,783.941759259407
"6","Apatite",35,"BLM1_E",-1482362.37761485,29283.9316361265
"7","C",666,"BLM3",0,0
"8","C",666,"BLM1_NE",-3662.28892163918,25.325215415462
"9","C",666,"BLM1_E",-14742466.78663,135642.2450248
"10","D",76,"BLM1_NE",-565.692572303801,44.9341657309063
"11","D",76,"BLM1_E",-120415.674938763,7522.19984806372
"12","D",76,"BLM3",0,0
"13","S",36,"BLM1_NE",0,0
"14","S",36,"BLM3",-1035.97669830617,78.2006003621516
"15","S",36,"BLM1_E",-143292.394222934,9912.75276018039
"16","Full",980,"BLM1_NE",0,0
"17","Full",980,"BLM3",-81179.3790680504,719.922151059663
"18","Full",980,"BLM1_E",-1523690.98961524,14400.2900405359
