"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","A",136,"Full","BLM3",0.0362852861276596,0.00121670157049296,0.188154878732841,0.0142117493803468
"2","A",136,"subsets","BLM1_fit",0.0366082580132455,0.00104853387044882,0.184436404680047,0.0122840580287279
"3","A",136,"subsets","BLM1_fit_NoErrors",0.0372436039524198,0.00102353616941174,0.177023198574868,0.0120521908458039
"4","A",136,"subsets","BLM3",0.0365063282631147,0.00104358607874397,0.185654681418614,0.0121888517025312
"5","A",136,"subsets","Deming",0.0360953565752449,0.00104992008106682,0.194974750187149,0.0129846377196724
"6","A",136,"subsets","LM",0.0371526678261391,0.000933440580836915,0.17853458294631,0.011688287827001
"7","A",136,"subsets","Weighted",0.0366635575783658,0.00111590274195086,0.18341569049556,0.0127040183053187
"8","A",136,"subsets","York",0.0379391413275917,0.00148580042534978,0.17171911369042,0.0188114627736974
"9","C",577,"Full","BLM3",0.0388183021715767,0.000317712215817581,0.160472669559911,0.00361504311421792
"10","C",577,"subsets","BLM1_fit",0.0388268778633995,0.000331874731059721,0.160365014563548,0.00376431151073229
"11","C",577,"subsets","BLM1_fit_NoErrors",0.0387888449906197,0.000342205133958591,0.160546939352084,0.00388315057240802
"12","C",577,"subsets","BLM3",0.0388343289183377,0.000323398671621503,0.160293341053833,0.00365104483845322
"13","C",577,"subsets","Deming",0.0360799806463272,0.00171052250720612,0.187116331886516,0.0196706965437262
"14","C",577,"subsets","LM",0.0384532563024105,0.000270154026755495,0.164552150771083,0.00341566612756685
"15","C",577,"subsets","Weighted",0.0388266647063622,0.00017448160859995,0.159645454479364,0.00110951725308131
"16","C",577,"subsets","York",0.0390747410627664,0.000513922355620784,0.154782472552522,0.00420253285028635
