"","Material","Freq","Model","elpd_diff","se_diff"
"1","A",25,"BLM3",-937.829906419379,111.415737624296
"2","A",25,"BLM1_E",-280276.909791326,13700.6135457368
"3","A",25,"BLM1_NE",0,0
"4","C",170,"BLM1_E",-8387144.45764498,253397.044913494
"5","C",170,"BLM3",0,0
"6","C",170,"BLM1_NE",-4383.00544052952,127.872423415397
"7","D",28,"BLM3",-353.065269024519,31.9883738467998
"8","D",28,"BLM1_E",-179084.377188669,16591.6515480574
"9","D",28,"BLM1_NE",0,0
"10","S",36,"BLM1_E",-81628.9952237872,5639.83900121676
"11","S",36,"BLM1_NE",0,0
"12","S",36,"BLM3",-1328.3561010116,92.1986576265801
"13","Full",259,"BLM1_NE",0,0
"14","Full",259,"BLM3",-60331.4135845159,1616.33656871605
"15","Full",259,"BLM1_E",-477586.484180198,12824.4169187455
