"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","A",21,"Full","BLM3",0.0360893154879449,0.0021522845809589,0.188496896809467,0.022773254298406
"2","A",21,"subsets","BLM3",0.0357913373818374,0.00184992474356937,0.192049246501542,0.0197719780345241
"3","A",21,"subsets","BLM1_fit_NoErrors",0.0372281398906219,0.0020010390264042,0.175069992863835,0.0203149704957667
"4","A",21,"subsets","BLM1_fit",0.0359231230386608,0.00180729168310738,0.190620343691626,0.0194094330812606
"5","A",21,"subsets","Deming",0.0422396871931802,0.0081339271755952,0.12465592219379,0.0767787450867898
"6","A",21,"subsets","York",0.0367888123624528,0.00095757205109303,0.18318180017994,0.0178889674703757
"7","A",21,"subsets","Weighted",0.0392391352658405,0.00120520368130985,0.156783327869569,0.0137168606983413
"8","A",21,"subsets","LM",0.0350889933724538,0.000555315822288245,0.197535129388824,0.00742253553829835
"9","C",166,"subsets","BLM1_fit",0.038784322143567,0.000377646569576231,0.160575538127432,0.00385033558353035
"10","C",166,"Full","BLM3",0.0387691402662055,0.000356590975028582,0.160701476718209,0.0036196429187532
"11","C",166,"subsets","BLM3",0.0387740951216691,0.000367888386578736,0.160689184800863,0.00372756692603735
"12","C",166,"subsets","BLM1_fit_NoErrors",0.0387915087840937,0.000394586702866312,0.160673398005291,0.00401172262632536
"13","C",166,"subsets","LM",0.0387601775481057,0.000221655470608521,0.160475534413198,0.00325048333513143
"14","C",166,"subsets","Deming",0.0383077507025038,0.000998543635593726,0.16461186212649,0.0212664677114765
"15","C",166,"subsets","York",0.0383730418746292,0.000262725322857712,0.160545115928341,0.00242713393155574
"16","C",166,"subsets","Weighted",0.0385484275532841,0.000355537471937663,0.161716779490576,0.00370536278890737
"17","S",20,"subsets","BLM1_fit_NoErrors",0.0418999661822233,0.0011045430301207,0.0816023955461392,0.0105326341003901
"18","S",20,"subsets","BLM1_fit",0.0415335446475167,0.000997375591615296,0.0855402673991192,0.00946479200124202
"19","S",20,"Full","BLM3",0.0416269973414505,0.00111571189507441,0.0849330850109762,0.0104550394806771
"20","S",20,"subsets","BLM3",0.0415475950255503,0.000966347775779736,0.0854063201926988,0.0091959422821542
"21","S",20,"subsets","Weighted",0.0429556694316669,0.00232213967184879,0.0749604997696293,0.0186143308028243
"22","S",20,"subsets","LM",0.0419384743604728,0.0011559350639341,0.0787636127445043,0.00893705475244655
"23","S",20,"subsets","Deming",0.0420007316390838,0.00227268708665001,0.0772079145772752,0.0250229810317985
"24","S",20,"subsets","York",0.0415996452750186,0.000692939785669626,0.0827057994720108,0.00403194362474896
