"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Mollusk",152,"Full","BLM3",0.0352425133319673,0.00191415671636509,0.201523989407194,0.0232971111593076
"2","Mollusk",152,"subsets","BLM1_fit",0.0391361929953078,0.00314860385821479,0.154195499239533,0.0383542887170025
"3","Mollusk",152,"subsets","BLM1_fit_NoErrors",0.0353124225977578,0.00158193603198415,0.200657606654792,0.0192760323185977
"4","Mollusk",152,"subsets","BLM3",0.0353365433226644,0.00155185738292046,0.20041511899973,0.0189186403344322
"5","Mollusk",152,"subsets","Deming",0.0355739274055982,0.00183396610224115,0.200144531038454,0.0220596549870032
"6","Mollusk",152,"subsets","LM",0.0350166165168152,0.00156950240167628,0.204159133246229,0.0189626886963842
"7","Mollusk",152,"subsets","Weighted",0.035345998482075,0.00165498039060323,0.200261408141932,0.0197556440656541
"8","Mollusk",152,"subsets","York",0.03595570506996,0.00164297588181321,0.195697858293088,0.0195006330471058
"9","NonMollusk",855,"Full","BLM3",0.0399014085996815,0.000256371133568181,0.147433190591982,0.00282502381223041
"10","NonMollusk",855,"subsets","BLM1_fit",0.0403244751218201,0.000413085798068451,0.142919687800315,0.00444606064703844
"11","NonMollusk",855,"subsets","BLM1_fit_NoErrors",0.0399166027500336,0.000257601013999938,0.147273999257197,0.0028113964179766
"12","NonMollusk",855,"subsets","BLM3",0.0399030047962059,0.000266191058175211,0.147405758660664,0.00292450234250272
"13","NonMollusk",855,"subsets","Deming",0.0405876661691161,0.00512703948996792,0.14386386191444,0.0481930686888332
"14","NonMollusk",855,"subsets","LM",0.039873717310877,0.000272897586416822,0.14776336622754,0.00319018492429021
"15","NonMollusk",855,"subsets","Weighted",0.0398646197275432,0.000271464914369048,0.147752912352686,0.00291601740712386
"16","NonMollusk",855,"subsets","York",0.0391635074788066,0.000490598579683062,0.156196508422006,0.00568427498305779
