"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Natural",624,"Full","BLM3",0.0380169268122506,0.000703129337474026,0.170263476951266,0.00833195189806884
"2","Natural",624,"subsets","BLM1_fit",0.0410931454052459,0.00166701178811478,0.133863400161722,0.0197266561033097
"3","Natural",624,"subsets","BLM1_fit_NoErrors",0.0379906122651298,0.00065712363775407,0.170572175142242,0.00779334153048713
"4","Natural",624,"subsets","BLM3",0.0380408733652604,0.000647830250052544,0.169988337098462,0.00770534148386391
"5","Natural",624,"subsets","Deming",0.0395899397017184,0.000932436968114477,0.155182815216069,0.0103834672018404
"6","Natural",624,"subsets","LM",0.0379272823806144,0.000912065193283376,0.171321540040337,0.0108115901969757
"7","Natural",624,"subsets","Weighted",0.0377414145647746,0.000941878972055878,0.173539159876305,0.0111645009096224
"8","Natural",624,"subsets","York",0.0394566561064661,0.000924584321568455,0.156857679901658,0.0102987134843777
"9","Synthetic",282,"Full","BLM3",0.0390470918673424,0.000355177659848972,0.153073809808159,0.00350235885155447
"10","Synthetic",282,"subsets","BLM1_fit",0.0395049731036387,0.000531334407247412,0.1488360638541,0.0051621823910792
"11","Synthetic",282,"subsets","BLM1_fit_NoErrors",0.0390744282270226,0.000396338282321691,0.152786409619172,0.00387223467672378
"12","Synthetic",282,"subsets","BLM3",0.0390678491073015,0.000397445592788387,0.152835127956737,0.00386998401964409
"13","Synthetic",282,"subsets","Deming",0.0380343967200723,0.00477744901822143,0.163372731697915,0.0493286833176683
"14","Synthetic",282,"subsets","LM",0.0390309864347533,0.000458653754019127,0.153310274535649,0.00456640637701455
"15","Synthetic",282,"subsets","Weighted",0.0389759715837801,0.000428089954102562,0.153685392044062,0.00433411527099449
"16","Synthetic",282,"subsets","York",0.0385060508564656,0.000667790335530202,0.158644113043888,0.00438407365761601
