"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Natural",668,"Full","BLM3",0.0380856005201343,0.000650542029601983,0.169525733722374,0.00773078809819176
"2","Natural",668,"subsets","BLM1_fit",0.0408838945250425,0.00207869802031046,0.136419026398661,0.0245962890018348
"3","Natural",668,"subsets","BLM1_fit_NoErrors",0.0380938692394274,0.000631886715711858,0.169419868085201,0.00748752218725163
"4","Natural",668,"subsets","BLM3",0.0380651630759985,0.00060557648183617,0.169741774157052,0.00720493763786371
"5","Natural",668,"subsets","Deming",0.0397474119560024,0.000744032029348241,0.153387079218871,0.00843724685252685
"6","Natural",668,"subsets","LM",0.0380023000002537,0.000906077037497536,0.170455670287679,0.0107298770173498
"7","Natural",668,"subsets","Weighted",0.0378252462692958,0.000881572530427948,0.172626076312159,0.0104295078759328
"8","Natural",668,"subsets","York",0.0397678768302894,0.000866143220985915,0.153282485658962,0.00989453954511124
"9","Synthetic",289,"Full","BLM3",0.0391542530673986,0.000316350100998523,0.154700175098795,0.00297173287053837
"10","Synthetic",289,"subsets","BLM1_fit",0.0395394890690501,0.00039279018910989,0.151445154283648,0.00364176861500387
"11","Synthetic",289,"subsets","BLM1_fit_NoErrors",0.0391648473185508,0.000338739788771272,0.154613743549031,0.00317715142623363
"12","Synthetic",289,"subsets","BLM3",0.0391642559538231,0.000340035473050877,0.154619194170617,0.00318794384429292
"13","Synthetic",289,"subsets","Deming",0.038528495167447,0.000668946461288332,0.15794717992837,0.00470531551544315
"14","Synthetic",289,"subsets","LM",0.0391179682994893,0.000340797010065012,0.155006870286695,0.00315675938341421
"15","Synthetic",289,"subsets","Weighted",0.0391908174267955,0.000283261301856223,0.154687898065207,0.00277539140628505
"16","Synthetic",289,"subsets","York",0.0384254617126012,0.000676021290509797,0.158726589803099,0.00443479031602837
