"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Foraminifera",274,"Full","BLM3",0.0363307105567365,0.00158789168415295,0.188666624654462,0.0191402195786736
"2","Foraminifera",274,"subsets","BLM1_fit",0.0404359233558832,0.00435788234198201,0.139182636196563,0.0525239602148974
"3","Foraminifera",274,"subsets","BLM1_fit_NoErrors",0.0363616153557249,0.00151014192564147,0.188243865437653,0.0182237776386623
"4","Foraminifera",274,"subsets","BLM3",0.0361571016987757,0.00150012075069717,0.190754704247574,0.0180946062485361
"5","Foraminifera",274,"subsets","Deming",0.0403537648204225,0.00177308487160648,0.141629516083954,0.0210716511336858
"6","Foraminifera",274,"subsets","LM",0.0363400511440923,0.00123502298035088,0.188546903244984,0.0149240958867989
"7","Foraminifera",274,"subsets","Weighted",0.0363919954525197,0.00117754912077824,0.187981351175036,0.0140593298881379
"8","Foraminifera",274,"subsets","York",0.0404046232665401,0.00181817799228076,0.141062317468268,0.0214718728145291
"9","Synthetic Calcite",181,"Full","BLM3",0.0389224981096254,0.000394490006288467,0.157407600524862,0.00401188864129199
"10","Synthetic Calcite",181,"subsets","BLM1_fit",0.0393212259107373,0.000564925230354481,0.153639106944293,0.00547598266180961
"11","Synthetic Calcite",181,"subsets","BLM1_fit_NoErrors",0.0389275181484742,0.000450908898479017,0.157392509062024,0.00453829612297008
"12","Synthetic Calcite",181,"subsets","BLM3",0.0389292867465212,0.000449246216885629,0.157317525100178,0.004518878813293
"13","Synthetic Calcite",181,"subsets","Deming",0.0385239914609229,0.000704934636323999,0.158374824534901,0.00603415983463631
"14","Synthetic Calcite",181,"subsets","LM",0.0390093228555626,0.000313131015502208,0.156614901225989,0.00340929440651198
"15","Synthetic Calcite",181,"subsets","Weighted",0.0386958385286612,0.00039660600733294,0.159160329919,0.00386740998306708
"16","Synthetic Calcite",181,"subsets","York",0.038455676746309,0.000759596580492991,0.158673757571991,0.00481900654377592
