"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Foraminifera",210,"Full","BLM3",0.0400007837866318,0.00199858912420484,0.140590258091341,0.0237079668772253
"2","Foraminifera",210,"subsets","BLM1_fit",0.0399937548797784,0.00172683457981879,0.140765688494882,0.0204824844878545
"3","Foraminifera",210,"subsets","BLM1_fit_NoErrors",0.0397913635659886,0.00186557180903213,0.142663636794474,0.022069071225132
"4","Foraminifera",210,"subsets","BLM3",0.0404396779325593,0.00163747766608332,0.135459287075086,0.0194580061414128
"5","Foraminifera",210,"subsets","Deming",0.0490937286141247,0.00320555409589192,0.0319182233667204,0.0327270152525515
"6","Foraminifera",210,"subsets","LM",0.037768414614444,0.000302816834630151,0.166708606650344,0.00390592309257395
"7","Foraminifera",210,"subsets","Weighted",0.038669495002239,0.000115876434205708,0.156496351038789,0.00048458321719775
"8","Foraminifera",210,"subsets","York",0.0440404318759787,0.00316563899923594,0.0914266769389844,0.0395212496244174
"9","Synthetic Calcite",115,"Full","BLM3",0.0390174456455119,0.00156509256610137,0.157221707569498,0.0182950197304033
"10","Synthetic Calcite",115,"subsets","BLM1_fit",0.0389733532942701,0.00169621687320597,0.157796598408321,0.0198223306925215
"11","Synthetic Calcite",115,"subsets","BLM1_fit_NoErrors",0.0391708996328603,0.00162780280687574,0.155634675136226,0.0189159006046403
"12","Synthetic Calcite",115,"subsets","BLM3",0.0389940854805589,0.00174183262932176,0.157618082345927,0.0203270008969054
"13","Synthetic Calcite",115,"subsets","Deming",0.0420655588591115,0.01387041382,0.126282875300992,0.169539238714742
"14","Synthetic Calcite",115,"subsets","LM",0.0399458138685946,0.000528802144047008,0.145717472323188,0.0046198951915559
"15","Synthetic Calcite",115,"subsets","Weighted",0.0380702201292817,0.000547464824644006,0.168760583493513,0.00172810391458042
"16","Synthetic Calcite",115,"subsets","York",0.0494083911329444,0.000564221570197475,0.0305519673075313,0.0121143802654334
