"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Forams",210,"Full","BLM3",0.0401904923944386,0.00230568235543242,0.138295906767776,0.027358301068902
"2","Forams",210,"subsets","BLM1_fit",0.0402982823609049,0.00195512508383458,0.137163509359488,0.0232237789951435
"3","Forams",210,"subsets","BLM1_fit_NoErrors",0.0397442386215798,0.00189082459799203,0.143210194157463,0.0224278244851931
"4","Forams",210,"subsets","BLM3",0.040319145753189,0.00185459815593599,0.136915653190177,0.021982616058659
"5","Forams",210,"subsets","Deming",0.0471342353696492,0.00779413031274286,0.0519760416052327,0.086560246441201
"6","Forams",210,"subsets","LM",0.0400908485173265,0.000398849950069726,0.138561039342089,0.0058646639373976
"7","Forams",210,"subsets","Weighted",0.040369035577685,0.000824361455616178,0.135973629846319,0.0100016783407208
"8","Forams",210,"subsets","York",0.0451367700417089,0.000338895083894869,0.0803891182882736,0.00450485163281393
"9","Synthetic",233,"Full","BLM3",0.0394015609344011,0.000358251097355811,0.151779321822429,0.0036213498084315
"10","Synthetic",233,"subsets","BLM1_fit",0.0394515411175415,0.000421105200513658,0.15116733090988,0.00431013357599489
"11","Synthetic",233,"subsets","BLM1_fit_NoErrors",0.0395690101251847,0.000462755860499758,0.149152296570733,0.00462879016842742
"12","Synthetic",233,"subsets","BLM3",0.0394252262683774,0.00041761692663191,0.15141491877562,0.00420793602631137
"13","Synthetic",233,"subsets","Deming",0.0427073596491581,0.00134924906813967,0.123957013287972,0.00591903732920004
"14","Synthetic",233,"subsets","LM",0.0392268664754529,0.000293439438072717,0.152152314312818,0.00107152080656071
"15","Synthetic",233,"subsets","Weighted",0.0392330321037238,0.000447855894982018,0.152782248916658,0.00606187906537614
"16","Synthetic",233,"subsets","York",0.0386949050608089,0.00144705089117117,0.154538011386838,0.0113642833643298
