"","Material","Freq","Model","elpd_diff","se_diff"
"1","Forams",260,"BLM1_NE",0,0
"2","Forams",260,"BLM3",-9773.97842198363,57.124146028389
"3","Forams",260,"BLM1_E",-3180218.44439929,18715.1039702829
"4","Neither",451,"BLM3",0,0
"5","Neither",451,"BLM1_NE",-2697.45186039509,34.4700006501897
"6","Neither",451,"BLM1_E",-2058552.09740343,23951.2880085176
"7","Synthetic",246,"BLM3",0,0
"8","Synthetic",246,"BLM1_NE",-4638.15655238326,103.27613490983
"9","Synthetic",246,"BLM1_E",-998943.137662873,26378.6501335178
"10","Full",957,"BLM1_NE",0,0
"11","Full",957,"BLM3",-25159.2887800997,235.279404754598
"12","Full",957,"BLM1_E",-5282642.18677101,47036.8288191728
