"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Forams",260,"Full","BLM3",0.0365374584312539,0.00157292717776989,0.184720768196209,0.0189198121813268
"2","Forams",260,"subsets","BLM3",0.0364774297345721,0.00126080922789016,0.185439255484343,0.0151917108512834
"3","Forams",260,"subsets","BLM1_fit_NoErrors",0.0365814921911387,0.00127274088198409,0.184185639033287,0.015342912409451
"4","Forams",260,"subsets","BLM1_fit",0.042632849847371,0.00372325544249761,0.111381182884564,0.0447765898150283
"5","Forams",260,"subsets","Deming",0.040824320354921,0.00179361995282124,0.134442568959737,0.0212131532174845
"6","Forams",260,"subsets","York",0.0403613902046745,0.00167438381243997,0.139953457191904,0.0199071468941797
"7","Forams",260,"subsets","Weighted",0.0368439995966217,0.00113401277542426,0.180977019792018,0.0136267516798624
"8","Forams",260,"subsets","LM",0.0364008668186656,0.00126575970417038,0.186357830356002,0.0152457071101152
"9","Neither",451,"subsets","BLM1_fit",0.0414002376982769,0.000696099902467721,0.132346218783002,0.00787502418711136
"10","Neither",451,"Full","BLM3",0.0405795864526517,0.000401686239817935,0.141501787433251,0.004579496693942
"11","Neither",451,"subsets","BLM3",0.0405834805262343,0.00045726568617013,0.141475859169242,0.0052309469108791
"12","Neither",451,"subsets","BLM1_fit_NoErrors",0.0405716622038397,0.000417335386811447,0.141597863037599,0.004732075308132
"13","Neither",451,"subsets","LM",0.0405538185981168,0.00047694978384452,0.141831630568146,0.00547069415001451
"14","Neither",451,"subsets","Deming",0.0414272256334199,0.00072707245757794,0.13485780690018,0.0081443043271548
"15","Neither",451,"subsets","York",0.0414306526806042,0.000687892129313684,0.134791697528268,0.00770711347814846
"16","Neither",451,"subsets","Weighted",0.0404404123593062,0.000527460407547891,0.143140119552159,0.0062672034343454
"17","Synthetic",246,"subsets","BLM1_fit_NoErrors",0.0387823849102194,0.000319795130441429,0.160587701706549,0.00316698986716519
"18","Synthetic",246,"subsets","BLM1_fit",0.0390986565666229,0.000372973296214761,0.157669746336148,0.00359268471546848
"19","Synthetic",246,"Full","BLM3",0.0388062650605538,0.000342715341122676,0.160336636948188,0.00338269277370327
"20","Synthetic",246,"subsets","BLM3",0.0388041907593022,0.0003182096652586,0.160347852263147,0.00311650995149636
"21","Synthetic",246,"subsets","Weighted",0.0387415849087528,0.000330978783517809,0.160804421946698,0.00299290676147448
"22","Synthetic",246,"subsets","LM",0.0388237081650127,0.000336712830863057,0.160109824048752,0.00299184527274464
"23","Synthetic",246,"subsets","Deming",0.0375011983963818,0.00671726146722449,0.169165081518345,0.0695329807176297
"24","Synthetic",246,"subsets","York",0.0385184389215367,0.00070951584905996,0.159395783518084,0.00476567898208391
