"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Forams",260,"Full","BLM3",0.0365687556330245,0.00131716041264495,0.184315297571192,0.0158736067229126
"2","Forams",260,"subsets","BLM1_fit",0.0415963143173044,0.00303856287156329,0.123898047893624,0.0364608139599208
"3","Forams",260,"subsets","BLM1_fit_NoErrors",0.0365854257349293,0.00129463015736749,0.184137920777406,0.0156054659353938
"4","Forams",260,"subsets","BLM3",0.0365308621711461,0.001286863386447,0.184789056501978,0.015485478198413
"5","Forams",260,"subsets","Deming",0.040865267093343,0.00179947698063084,0.134112249661961,0.0213279087739089
"6","Forams",260,"subsets","LM",0.0366073139932164,0.00126235422822986,0.183826404822329,0.0151586366031637
"7","Forams",260,"subsets","Weighted",0.0364251054410884,0.0010510527907458,0.186050506212201,0.0126077778349711
"8","Forams",260,"subsets","York",0.0404128949264921,0.00169674492449145,0.139199492396434,0.0200723934132435
"9","Synthetic",246,"Full","BLM3",0.0387978345064796,0.000287512597030088,0.16042331936726,0.00280647533554219
"10","Synthetic",246,"subsets","BLM1_fit",0.0391363405953708,0.000374985255162067,0.157302231148416,0.00361726069147476
"11","Synthetic",246,"subsets","BLM1_fit_NoErrors",0.038800911263401,0.00032565798999685,0.16037119025725,0.00321811488525707
"12","Synthetic",246,"subsets","BLM3",0.0387976356584657,0.000321153494169321,0.160408801497124,0.00317694112115085
"13","Synthetic",246,"subsets","Deming",0.0380606612674884,0.00483563831824006,0.164152901407506,0.0480549305794983
"14","Synthetic",246,"subsets","LM",0.0388007311112245,0.000296550756456995,0.160434546573309,0.00282963606368311
"15","Synthetic",246,"subsets","Weighted",0.0387703461500287,0.000300946321065796,0.160463017480022,0.00290085197154642
"16","Synthetic",246,"subsets","York",0.0384403115756386,0.00071785549030449,0.15999067935109,0.00459090244719887
