"","Material","Freq","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1",1,25,"Full","BLM3",0.0296371624830189,0.00447573587287135,0.264118156931276,0.0514813681536796
"2",1,25,"subsets","BLM1_fit",0.0280117772634942,0.00211648487703371,0.282542900565253,0.0240264824843143
"3",1,25,"subsets","BLM1_fit_NoErrors",0.0312256208288724,0.00235465396890382,0.246200417953435,0.0271889958689727
"4",1,25,"subsets","BLM3",0.0288058637168393,0.00248137441471489,0.273505850146066,0.0282240261681996
"5",1,25,"subsets","Deming",0.0482541665475419,0.00719173675993829,0.0541325904465023,0.0791837698966524
"6",1,25,"subsets","LM",0.0313788609735897,0.00419551446204279,0.243914694471982,0.0460395053012153
"7",1,25,"subsets","Weighted",0.0314902746810751,0.000746238840461786,0.241739409034218,0.00706983115478404
"8",1,25,"subsets","York",0.0286527501377312,0.000924966634395835,0.277825301861729,0.0129069614406257
"9",2,834,"Full","BLM3",0.0392582546032059,0.000275940074889776,0.15444856356487,0.00309742949308572
"10",2,834,"subsets","BLM1_fit",0.0392680180865246,0.000283195923032544,0.154329737582241,0.00316915248926715
"11",2,834,"subsets","BLM1_fit_NoErrors",0.0394850055876057,0.000276957272206364,0.151677662000823,0.00310818799789539
"12",2,834,"subsets","BLM3",0.0392569292010297,0.000273052539816654,0.154451373989002,0.00305853562749034
"13",2,834,"subsets","Deming",0.042319437456079,0.00202884746828924,0.128074469739711,0.0172110779952706
"14",2,834,"subsets","LM",0.0395581263461683,0.000159705298356224,0.151114869544382,0.00166417955440657
"15",2,834,"subsets","Weighted",0.0393706355168746,0.000364595509906357,0.153402895595056,0.00342526661331375
"16",2,834,"subsets","York",0.0382315944159308,2.81285814501286e-05,0.163622246877523,0.000375689666735832
