Publication,Code,AdditionalTaxonomicInfo,Genus,Species,CurrentGenus,CurrentSpecies,ForamEcogroup,EcoGroupPub,,Sample Name,Mineralogy,Lab,Forams,MarineMetazoa,Teeth,NaturalSynthetic,Mollusk,Lake,Corals,N,D47,D47error,Temperature_C,Temperature,TempError_C,TempError,d18O water,d18O water SD,Acid T,pH,Source,CDESorICDES,LARGEorSMALL,SyntheticVSForam,BenthicPlanktic
2019,Muller,,,,,,,,,LV 15 CM,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,16,0.617,0.022,25.5,11.21179018,5.7,0.416,1.8,1,70,,,CDES,Small,Neither,
2019,Muller,,,,,,,,,LV 71 CM,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,16,0.599,0.019,25.5,11.21179018,5.7,0.416,1.8,1,70,,,CDES,Small,Neither,
2019,Muller,,,,,,,,,Qatar 1,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,25,0.591,0.015,32,10.73923266,6,0.41,,,70,,,CDES,Small,Neither,
2019,Muller,,,,,,,,,Leeds 23,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,16,0.488,0.017,70,8.492430347,2,0.098,-7.31,0.1,70,,,CDES,Small,Neither,
2019,Muller,,,,,,,,,Leeds 1,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,12,0.477,0.014,70,8.492430347,2,0.098,-7.35,0.1,70,,,CDES,Small,Neither,
2019,Muller,,,,,,,,,Leeds 6,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,11,0.503,0.02,70,8.492430347,2,0.098,-7.36,0.1,70,,,CDES,Small,Neither,
2019,Muller,,,,,,,,,Leeds 12,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,8,0.484,0.037,70,8.492430347,2,0.098,-7.28,0.1,70,,,CDES,Small,Neither,
2019,Muller,,,,,,,,,Leeds 20,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,9,0.495,0.042,70,8.492430347,2,0.098,-7.33,0.1,70,,,CDES,Small,Neither,
2019,Muller,,,,,,,,,Leeds 81,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,18,0.495,0.022,70,8.492430347,2,0.098,,,70,,,CDES,Small,Neither,
2019,Muller,,,,,,,,,Leeds 82,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,21,0.479,0.016,70,8.492430347,2,0.098,-5.99,0.1,70,,,CDES,Small,Neither,
