Publication,Code,AdditionalTaxonomicInfo,Genus,Species,CurrentGenus,CurrentSpecies,ForamEcogroup,EcoGroupPub,,Sample Name,Mineralogy,Lab,Forams,MarineMetazoa,Teeth,NaturalSynthetic,Mollusk,Lake,Corals,N,D47,D47error,Temperature_C,Temperature,TempError_C,TempError,d18O water,d18O water SD,Acid T,pH,Source,,,,,,,,,
2019,Muller,,,,,,,,,LV 15 CM,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,16,0.617,0.022,25.5,11.212,5.7,0.416,1.8,1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,LV 71 CM,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,16,0.599,0.019,25.5,11.212,5.7,0.416,1.8,1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Qatar 1,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,25,0.591,0.015,32.0,10.739,6.0,0.410,,,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 23,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,16,0.488,0.017,70.0,8.492,2.0,0.098,-7.31,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 1,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,12,0.477,0.014,70.0,8.492,2.0,0.098,-7.35,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 6,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,11,0.503,0.020,70.0,8.492,2.0,0.098,-7.36,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 12,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,8,0.484,0.037,70.0,8.492,2.0,0.098,-7.28,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 20,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,9,0.495,0.042,70.0,8.492,2.0,0.098,-7.33,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 81,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,18,0.495,0.022,70.0,8.492,2.0,0.098,,,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 82,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,21,0.479,0.016,70.0,8.492,2.0,0.098,-5.99,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 83,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,41,0.493,0.015,70.0,8.492,2.0,0.098,-7.12,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 21,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,6,0.406,0.027,140.0,5.858,2.0,0.056,-7.31,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 14,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,15,0.378,0.014,140.0,5.858,2.0,0.056,-7.13,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 22,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,9,0.381,0.015,140.0,5.858,2.0,0.056,-7.1,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 15,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,21,0.389,0.021,140.0,5.858,2.0,0.056,-7.05,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 34,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,6,0.302,0.054,220.0,4.112,2.0,0.033,-6.91,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 41,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,6,0.328,0.025,220.0,4.112,2.0,0.033,-6.71,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 84,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,12,0.291,0.018,220.0,4.112,2.0,0.033,-4.74,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 85,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,16,0.296,0.028,220.0,4.112,2.0,0.033,-4.72,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Leeds 86,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,11,0.300,0.017,220.0,4.112,2.0,0.033,-5.37,0.1,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Rodolo (H),D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,87,0.210,0.010,1100.0,0.530,2.0,0.002,,,70,,,,,,,,,,,
2019,Muller,,,,,,,,,Sansa (H),D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,59,0.208,0.011,1100.0,0.530,2.0,0.002,,,70,,,,,,,,,,,
2013,Henkes,Bivalve,Astarte,Astarte borealis,Astarte,Astarte borealis,,,,Ab-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.674,0.010,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Astarte,Astarte borealis,Astarte,Astarte borealis,,,,Ab-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.672,0.007,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Astarte,Astarte borealis,Astarte,Astarte borealis,,,,Ab-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.655,0.020,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Astarte,Astarte crenata,Astarte,Astarte crenata,,,,Ac-1_B-12,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,6,0.685,0.003,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Astarte,Astarte crenata,Astarte,Astarte crenata,,,,Ac-1_B-14,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.684,0.005,2.0,13.209,2.0,0.190,0.66,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Astarte,Astarte crenata,Astarte,Astarte crenata,,,,Ac-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.656,0.011,2.0,13.209,2.0,0.190,0.66,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Rhychonellata,Ecnomiosa,Ecnomiosa gerda,Ecnomiosa,Ecnomiosa gerda,,,,Brach-m1,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.660,0.002,5.5,12.879,1.0,0.092,0,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Rhychonellata,Ecnomiosa,Ecnomiosa gerda,Ecnomiosa,Ecnomiosa gerda,,,,Brach-m2,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.666,0.015,5.5,12.879,1.0,0.092,0,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-1_B-12,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.658,0.011,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-1_B-14,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.658,0.013,2.0,13.209,2.0,0.190,0.66,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-2_B-12,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.735,0.050,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-2_B-14,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.666,0.013,2.0,13.209,2.0,0.190,0.66,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.670,0.009,2.0,13.209,2.0,0.190,0.66,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Chlamys,Chlamys islandica,Chlamys,Chlamys islandica,,,,Ci-1,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.677,0.012,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Chlamys,Chlamys islandica,Chlamys,Chlamys islandica,,,,Ci-2,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.650,0.005,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Bivalve,Chlamys,Chlamys islandica,Chlamys,Chlamys islandica,,,,Ci-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,5,0.674,0.009,-1.0,13.502,2.0,0.196,0.72,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Gastropoda,Conus,Conus ermineus,Conus,Conus ermineus,,,,FGS-1-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.566,0.006,27.5,11.063,2.2,0.160,1.34,NA,90,,Petersen,,,,,,,,,
2013,Henkes,Gastropoda,Conus,Conus ermineus,Conus,Conus ermineus,,,,FGS-1-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.594,0.005,23.0,11.402,1.5,0.115,0.99,NA,90,,Petersen,,,,,,,,,
