Publication,Code,AdditionalTaxonomicInfo,Genus,Species,CurrentGenus,CurrentSpecies,ForamEcogroup,EcoGroupPub,Sample Name,Mineralogy,Lab,Forams,MarineMetazoa,Teeth,NaturalSynthetic,Mollusk,Lake,Corals,N,D47,D47error,Temperature_C,Temperature,TempError_C,TempError,d18O water,d18O water SD,Acid T,pH,Source,CDESorICDES,LARGEorSMALL,SyntheticVSForam,BenthicPlanktic
in prep,UCLA,Foraminifera,Globorotalia,menardii,Globorotalia,menardii,,,A14_10,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.594,0.002,,11.60300398,,0.178,0.05,0.27,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,A14_11,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.588,0.007,,11.01009406,,0.155,-0.03,0.29,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globorotalia,menardii,Globorotalia,menardii,,,A14_9,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.605,0.005,,11.64342327,,0.178,0.05,0.27,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Cibicidoides,,Cibicidoides,,,,B1,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,12,0.616,0.005,,11.98677178,,0.106,0.83,0.2,,,,ICDES,Small,Forams,Benthic
in prep,UCLA,Foraminifera,Hoeglundina,elegans,Hoeglundina,elegans,,,B10,A,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.664,0.009,,12.47475744,,0.076,0.29,0.2,,,,ICDES,Small,Forams,Benthic
in prep,UCLA,Foraminifera,Uvigerina,,Uvigerina,,,,B11,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,7,0.662,0.017,,12.875016,,0.084,0.29,0.2,,,,ICDES,Small,Forams,Benthic
in prep,UCLA,Foraminifera,Hoeglundina,elegans,Hoeglundina,elegans,,,B2,A,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.628,0.014,,11.65780391,,0.072,0.83,0.2,,,,ICDES,Small,Forams,Benthic
in prep,UCLA,Foraminifera,Planulina,ariminensis,Planulina,ariminensis,,,B3,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.631,0.011,,11.98920338,,0.082,0.83,0.2,,,,ICDES,Small,Forams,Benthic
in prep,UCLA,Foraminifera,Uvigerina,,Uvigerina,,,,B4,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,11,0.622,0.011,,12.06189993,,0.099,0.83,0.2,,,,ICDES,Small,Forams,Benthic
in prep,UCLA,Foraminifera,Cibicidoides,,Cibicidoides,,,,B5,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,9,0.672,0.008,,12.90427013,,0.085,0.22,0.2,,,,ICDES,Small,Forams,Benthic
in prep,UCLA,Foraminifera,Hoeglundina,elegans,Hoeglundina,elegans,,,B6,A,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,10,0.642,0.008,,12.43466389,,0.078,0.22,0.2,,,,ICDES,Small,Forams,Benthic
in prep,UCLA,Foraminifera,Uvigerina,,Uvigerina,,,,B7,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,8,0.663,0.01,,12.95612677,,0.107,0.22,0.2,,,,ICDES,Small,Forams,Benthic
in prep,UCLA,Foraminifera,Cibicidoides,,Cibicidoides,,,,B8,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.661,0.007,,12.84259267,,0.080,0.29,0.2,,,,ICDES,Small,Forams,Benthic
in prep,UCLA,Foraminifera,Cibicidoides,,Cibicidoides,,,,B9,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.641,0.007,,12.85819787,,0.082,0.29,0.2,,,,ICDES,Small,Forams,Benthic
in prep,UCLA,Foraminifera,Pulleniatina,obliquiloculata,Pulleniatina,obliquiloculata,,,E035_8,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.616,0.011,,11.33294134,,0.169,0.06,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,FC01C3_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,7,0.601,0.006,,11.30140245,,0.161,0.28,0.23,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,FC02A_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,8,0.612,0.005,,11.37738101,,0.164,0.48,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globigerina,bulloides,Globigerina,bulloides,,,FC06,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.624,0.009,,12.2305567,,0.206,0.45,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Orbulina,universa,Orbulina,universa,,,FC12_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.617,0.007,,11.39010959,,0.174,0.66,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Orbulina,universa,Orbulina,universa,,,FC12A_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.646,0.016,,12.24540387,,0.192,0.66,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,FC12D,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.593,0.006,,11.16737575,,0.158,0.69,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,FC12E,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.603,0.007,,11.28559895,,0.158,0.69,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Neogloboquadrina,dutertrei,Neogloboquadrina,dutertrei,,,FC12F_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,8,0.613,0.007,,11.41249969,,0.172,0.67,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globorotalia,menardii,Globorotalia,menardii,,,FC13A_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,8,0.594,0.01,,11.61294657,,0.179,0.67,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Orbulina,universa,Orbulina,universa,,,FC20A_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,8,0.618,0.01,,12.20634898,,0.190,0.51,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globoconella,inflata,Globoconella,inflata,,,FC20F,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,11,0.649,0.008,,12.31516177,,0.193,0.48,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globoconella,inflata,Globoconella,inflata,,,FC20G_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.633,0.01,,12.30889761,,0.193,0.48,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globigerina,bulloides,Globigerina,bulloides,,,FC21_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,7,0.652,0.006,,12.34425541,,0.210,0.25,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globigerina,bulloides,Globigerina,bulloides,,,FC23_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.628,0.029,,12.3425381,,0.211,0.25,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Neogloboquadrina,pachyderma,Neogloboquadrina,pachyderma,,,FC27F_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,10,0.644,0.006,,12.20101997,,0.186,0.51,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globigerina,bulloides,Globigerina,bulloides,,,FC29_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,8,0.627,0.011,,12.40211515,,0.211,0.12,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globigerina,bulloides,Globigerina,bulloides,,,FC30_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.626,0.015,,12.34551326,,0.208,0.25,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Pulleniatina,obliquiloculata,Pulleniatina,obliquiloculata,,,FC39C_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,12,0.61,0.009,,11.51991597,,0.175,0.29,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,FC41A_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,20,0.596,0.005,,11.15103318,,0.156,0.28,0.21,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Pulleniatina,obliquiloculata,Pulleniatina,obliquiloculata,,,FC48C_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,8,0.62,0.01,,11.60747933,,0.177,0.29,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Pulleniatina,obliquiloculata,Pulleniatina,obliquiloculata,,,FC50A_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,8,0.583,0.007,,11.47521472,,0.173,0.29,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,FC51A_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,20,0.596,0.006,,11.15362532,,0.157,0.26,0.22,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Pulleniatina,obliquiloculata,Pulleniatina,obliquiloculata,,,FC53A_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,12,0.607,0.005,,11.6097971,,0.175,0.29,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Pulleniatina,obliquiloculata,Pulleniatina,obliquiloculata,,,FC54A_calcite,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,13,0.599,0.008,,11.60550227,,0.176,0.29,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,G sacculifer 1616m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,9,0.591,0.007,,11.13659189,,0.156,0.28,0.21,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,G sacculifer 2015m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.575,0.005,,11.25226413,,0.158,0.26,0.22,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,G sacculifer 2445m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.569,0.01,,11.19738062,,0.159,0.25,0.22,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,G sacculifer 2965m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,7,0.6,0.008,,11.1663906,,0.155,0.26,0.22,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,G sacculifer 3160m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.583,0.012,,11.20036376,,0.154,0.28,0.21,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globigerinella,siphonifera,Globigerinella,siphonifera,,,G siphonifera 1614m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.6,0.008,,11.35778837,,0.171,0.31,0.21,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globigerinella,siphonifera,Globigerinella,siphonifera,,,G siphonifera 1616m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.594,0.007,,11.34805689,,0.167,0.31,0.21,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globigerinella,siphonifera,Globigerinella,siphonifera,,,G siphonifera 2015m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.608,0.007,,11.33704758,,0.169,0.29,0.21,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globigerinella,siphonifera,Globigerinella,siphonifera,,,G siphonifera 3711m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.592,0.006,,11.49634378,,0.173,0.29,0.21,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globorotalia,tumida,Globorotalia,tumida,,,G tumida 1614m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.598,0.005,,11.7293959,,0.181,0.27,0.23,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globorotalia,tumida,Globorotalia,tumida,,,G tumida 2015m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.585,0.007,,11.63619573,,0.178,0.25,0.23,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globorotalia,tumida,Globorotalia,tumida,,,G tumida 2445m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.578,0.009,,11.63684673,,0.178,0.23,0.22,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globorotalia,tumida,Globorotalia,tumida,,,G tumida 2954m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.628,0.006,,11.74986975,,0.180,0.23,0.22,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globorotalia,tumida,Globorotalia,tumida,,,G tumida 2965m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.615,0.012,,11.74972475,,0.180,0.23,0.22,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globorotalia,tumida,Globorotalia,tumida,,,G tumida 3160m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.58,0.009,,11.68223315,,0.178,0.27,0.23,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globorotalia,tumida,Globorotalia,tumida,,,G tumida 3711m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,9,0.596,0.011,,11.77850203,,0.183,0.23,0.22,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globorotalia,tumida,Globorotalia,tumida,,,G tumida 4341m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.612,0.005,,11.91130666,,0.185,0.23,0.22,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globorotalia,tumida,Globorotalia,tumida,,,G tumida 4438m,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.616,0.017,,11.84259127,,0.181,0.23,0.22,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Neogloboquadrina,dutertrei,Neogloboquadrina,dutertrei,,,JL11,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.594,0.009,,11.8169092,,0.181,0.06,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globigerina,bulloides,Globigerina,bulloides,,,JL12,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.616,0.005,,11.90357368,,0.200,0.77,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Neogloboquadrina,dutertrei,Neogloboquadrina,dutertrei,,,JL13,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.613,0.008,,11.86583074,,0.184,0.74,0.21,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Globigerinoides,ruber,Globigerinoides,ruber,,,JL15,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.597,0.004,,11.13864365,,0.142,0.37,0.2,,,,ICDES,Small,Forams,Planktic
in prep,UCLA,Foraminifera,Trilobatus,sacculifer,Trilobatus,sacculifer,,,JL16,C,UCLATripati,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.581,0.015,,11.15561473,,0.158,0.35,0.21,,,,ICDES,Small,Forams,Planktic
