"","targetColumns","Dataset","Model","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","Material"
"1","BenthicPlanktic","Full","BLM1_fit",0.137301769648277,0.0203713359560473,0.0990264521906555,0.123237779520221,0.137308535332513,0.151354047581507,0.177217559231216,1.01013081423732,330,NA
"2","BenthicPlanktic","Full","BLM1_fit",0.040271208374466,0.00171800143717512,0.0369158923211238,0.0390801549481145,0.0402835807547779,0.0414587613860247,0.0435143973534792,1.00798084626881,340,NA
"3","BenthicPlanktic","Full","BLM1_fit",-3291.32828953994,27.8976291391649,-3343.99186544541,-3310.23433592109,-3291.39102754298,-3273.19299240695,-3234.92213421954,1.00129490047198,2500,NA
"4","BenthicPlanktic","Full","BLM1_fit",6180.62984607545,820.686088519844,4730.0290816528,5607.72303517759,6127.7254011479,6702.64961545224,7877.04165020806,1.00093622597927,3000,NA
"5","BenthicPlanktic","Full","BLM1_fit_NoErrors",0.143796899867036,0.0223091494617934,0.0995611281194036,0.129087779556617,0.143889111336903,0.158763535494648,0.187832875343506,1.00168207850225,2000,NA
"6","BenthicPlanktic","Full","BLM1_fit_NoErrors",0.0396787900551574,0.00188365558924429,0.0359293923626574,0.0384217424527321,0.0396685659257126,0.0409131984258743,0.0434041014115312,1.00152389153659,2000,NA
"7","BenthicPlanktic","Full","BLM1_fit_NoErrors",-1139.35817464072,2.39699271836187,-1142.12957037433,-1141.12261270632,-1139.9587004302,-1138.31454106697,-1133.17104940491,1.0011124336046,3000,NA
"8","BenthicPlanktic","Full","BLM1_fit_NoErrors",4193.49995643945,415.003182902246,3394.19134145283,3898.3448431188,4187.83816616364,4472.99984788021,5000.08159990878,1.00087934895218,3000,NA
"9","BenthicPlanktic","Full","BLM3_fit",0.122784820842993,0.0963626796309338,-0.0661513519925462,0.052798989545925,0.127232306395895,0.192597171506718,0.294002355861466,1.06623023590752,41,NA
"10","BenthicPlanktic","Full","BLM3_fit",0.133505633157062,0.0251241662454045,0.0820274014656817,0.117715547331843,0.134104634110418,0.149567133572649,0.182907407577212,1.17152943459623,20,NA
"11","BenthicPlanktic","Full","BLM3_fit",0.0413113127727531,0.00761317998217695,0.0277459773470532,0.0357429457222944,0.040959292740394,0.0468651472246026,0.0562472106725362,1.07844211179336,36,NA
"12","BenthicPlanktic","Full","BLM3_fit",0.0406044292744335,0.00212932924062674,0.0364252737854171,0.0392576881958672,0.0405508340824351,0.041962963014031,0.0449532303941705,1.1204660570638,24,NA
"13","BenthicPlanktic","Full","BLM3_fit",0.966428166549499,0.0550563563541586,0.780912192467998,0.968581097862436,0.990862103313081,0.99583090463485,0.997671012038648,1.00055057814358,3000,NA
"14","BenthicPlanktic","Full","BLM3_fit",-3291.0616250658,27.8037612425599,-3342.42389172695,-3310.22351866152,-3292.20638941333,-3272.40612545015,-3234.42980991397,1.0010119109667,3000,NA
"15","BenthicPlanktic","Full","BLM3_fit",0.108569567248006,0.176289767951249,0.00781095177354457,0.0133066403814507,0.0299626985115914,0.102473089980973,0.706948678328781,1.00080874678063,3000,NA
"16","BenthicPlanktic","Full","BLM3_fit",6089.41060049069,826.697028494014,4643.46184660524,5528.84237688092,6037.1336854042,6613.41074295422,7815.15973215743,1.0013596165598,2300,NA
"17","BenthicPlanktic","Subsets","BLM1_fit",0.135015057912535,0.0258664305370849,0.0805217384081956,0.119113558724771,0.135505483091606,0.152193667724693,0.183966630775659,1.02691861652244,98,"2"
"18","BenthicPlanktic","Subsets","BLM1_fit",0.0404771561836531,0.00219409921933898,0.0363358168440248,0.0390173849893174,0.0404315799503624,0.041831600356032,0.0450542901894477,1.02112727819732,100,"2"
"19","BenthicPlanktic","Subsets","BLM1_fit",-3100.0346411052,26.9476872523939,-3150.90720420035,-3117.88932729311,-3100.94402864888,-3081.79696272018,-3046.09283516902,1.00207863520524,1300,"2"
"20","BenthicPlanktic","Subsets","BLM1_fit",5799.24773906849,796.481507536021,4406.76850307193,5247.57844152084,5746.52732464079,6308.67863078172,7549.06449171981,1.00067540768189,3000,"2"
"21","BenthicPlanktic","Subsets","BLM1_fit_NoErrors",0.14018105577482,0.0264786375681322,0.0887537483494273,0.122394170694313,0.139680882911401,0.157622715712091,0.192091840836539,1.00094032903965,3000,"2"
"22","BenthicPlanktic","Subsets","BLM1_fit_NoErrors",0.0399994505476761,0.0022510834362506,0.0355254051057216,0.0385074777831636,0.0400231507321958,0.0415170080553201,0.0443729488305624,1.00092918772482,3000,"2"
"23","BenthicPlanktic","Subsets","BLM1_fit_NoErrors",-1010.07085150547,2.49959280248966,-1012.90326098655,-1011.86678127683,-1010.66243820025,-1008.95879603581,-1003.90810324397,1.00237513023227,3000,"2"
"24","BenthicPlanktic","Subsets","BLM1_fit_NoErrors",4018.46797172038,426.853758703815,3241.11662001189,3725.01626308621,3995.64415388753,4304.94189582658,4878.27085375171,1.00053791742212,3000,"2"
"25","BenthicPlanktic","Subsets","BLM3_fit",0.129637725548488,0.0231406668513262,0.0851110031419221,0.113338687242296,0.130038662197099,0.146150423983353,0.172998942411523,1.07186877063869,37,"2"
"26","BenthicPlanktic","Subsets","BLM3_fit",0.0409307985365792,0.00196275399251989,0.0372510126672704,0.0395100420919171,0.0408962649041115,0.0423005895719029,0.0447055671565729,1.06015673361237,39,"2"
"27","BenthicPlanktic","Subsets","BLM3_fit",0.960107027863664,0.065493164300982,0.747032894716282,0.962471272366958,0.989057380079754,0.994979708359527,0.997170380511173,1.00356168912192,1000,"2"
"28","BenthicPlanktic","Subsets","BLM3_fit",-3100.0569186449,26.5906705871834,-3149.80119061992,-3117.98090298342,-3100.51623590981,-3082.51134698569,-3045.79194154049,1.00176666607065,1600,"2"
"29","BenthicPlanktic","Subsets","BLM3_fit",0.101141872159324,0.164663933165175,0.00744507719897348,0.0127294827012741,0.0278677928364,0.0946567223703511,0.654434675775566,1.00252817825873,1100,"2"
"30","BenthicPlanktic","Subsets","BLM3_fit",5816.85646540642,801.632054276588,4393.75350365857,5245.35325813845,5773.82285285142,6344.78028632169,7469.8835263615,1.00060864949717,3000,"2"
"31","BenthicPlanktic","Subsets","BLM1_fit",0.116786496288512,0.076424968398933,-0.0417609660986862,0.0677937203604014,0.121688020520902,0.171913342724617,0.258917677433505,1.10871800885295,24,"1"
"32","BenthicPlanktic","Subsets","BLM1_fit",0.0418267516499636,0.00602986168429471,0.0306262268620974,0.0374784165894646,0.0414855159327825,0.0456471370837033,0.0543349947802184,1.12944225632396,22,"1"
"33","BenthicPlanktic","Subsets","BLM1_fit",-189.017677105117,8.48597599011766,-204.793021483689,-194.944602388958,-189.265641604495,-183.535369427189,-171.752810491914,1.00060352039512,3000,"1"
"34","BenthicPlanktic","Subsets","BLM1_fit",4033645.50633963,130069696.913997,4818.84345407143,13069.4289594245,25198.3115966242,58043.9744491678,2148241.88008834,1.01417551757522,180,"1"
"35","BenthicPlanktic","Subsets","BLM1_fit_NoErrors",0.123326010890749,0.0706185460865897,-0.0131649387729194,0.0783699838859519,0.121841502752811,0.170292590977934,0.266135715585585,1.00119218697226,2900,"1"
"36","BenthicPlanktic","Subsets","BLM1_fit_NoErrors",0.0412226853953534,0.00560959365102314,0.0300133455580099,0.0374608339542248,0.0413110334725012,0.0448136176225307,0.0521403969723932,1.00122560148611,2800,"1"
"37","BenthicPlanktic","Subsets","BLM1_fit_NoErrors",-128.296447097156,2.75516699115564,-131.46758240144,-130.287485917207,-129.010795886909,-127.092456126087,-121.041677701977,1.00122530794022,3000,"1"
"38","BenthicPlanktic","Subsets","BLM1_fit_NoErrors",5893.31767613096,1911.43187734181,2710.83342448962,4512.71590671882,5684.79807426794,7040.84804039974,10251.3539421774,1.00089457771925,3000,"1"
"39","BenthicPlanktic","Subsets","BLM3_fit",0.0859321471641174,0.0650208910228956,-0.0492663447139158,0.0470685634294211,0.082990862742057,0.120535951257606,0.231974938583574,1.11237888610237,22,"1"
"40","BenthicPlanktic","Subsets","BLM3_fit",0.04425782175916,0.00512522866150795,0.03270529913727,0.0414907989185178,0.044480529891731,0.0473221745364709,0.0548877190766329,1.11373125982797,23,"1"
