"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","SyntheticVSForam","Full","BLM1_fit",NA,0.0390727122737781,0.000317156618804929,0.153273938676775,0.00347170987140804
"2","SyntheticVSForam","Full","BLM1_fit_NoErrors",NA,0.0392567889402189,0.000361457311949557,0.15066645922966,0.00399097409103783
"3","SyntheticVSForam","Full","BLM3","1",0.0399739986911775,0.00225087667459198,0.140852878895079,0.0267383141596432
"4","SyntheticVSForam","Full","BLM3","2",0.0394047593911753,0.000359382947528031,0.151762678962974,0.00364590811258859
"5","SyntheticVSForam","Full","Deming",NA,0.0398317190256628,0.00183574501608908,0.143666009810894,0.0219521796434367
"6","SyntheticVSForam","Full","LM",NA,0.0392430971383167,0.000459870032897966,0.150814017574086,0.00515966600055015
"7","SyntheticVSForam","Full","Weighted",NA,0.0391128973410153,0.000370637260171357,0.152258405495186,0.00421277685088504
"8","SyntheticVSForam","Full","York",NA,0.0386090787656223,0.000550002912487315,0.15767778991975,0.00589868951629585
"9","SyntheticVSForam","subsets","BLM1_fit","1",0.0401284172298686,0.0017984789318658,0.139139381574644,0.0213596844770671
"10","SyntheticVSForam","subsets","BLM1_fit","2",0.0394521588765582,0.000403355996991616,0.151161257927496,0.00408236561554971
"11","SyntheticVSForam","subsets","BLM1_fit_NoErrors","1",0.0398033215381599,0.0018085056694353,0.142460184725281,0.0214933540533182
"12","SyntheticVSForam","subsets","BLM1_fit_NoErrors","2",0.0395789990772944,0.000453702742540778,0.148995337283188,0.00459850118670972
"13","SyntheticVSForam","subsets","BLM3","1",0.0402213884975856,0.00172660392906194,0.138043928905273,0.0204646344477705
"14","SyntheticVSForam","subsets","BLM3","2",0.03944611917451,0.000414324828501769,0.151248226938391,0.00413665741381908
"15","SyntheticVSForam","subsets","Deming","1",0.0447595668245632,0.00273169401701243,0.0828551559926114,0.0319429421089594
"16","SyntheticVSForam","subsets","Deming","2",0.037851502645186,0.00117116398002292,0.16571903637269,0.0323655935688392
"17","SyntheticVSForam","subsets","LM","1",0.0408180430680799,0.000700526285373464,0.130184378514311,0.00657827408177047
"18","SyntheticVSForam","subsets","LM","2",0.0398112654969467,0.000533253128881087,0.147349391240788,0.00484909932554475
"19","SyntheticVSForam","subsets","Weighted","1",0.0387417345607661,0.00120127032322789,0.155331705252984,0.0145132285708019
"20","SyntheticVSForam","subsets","Weighted","2",0.0393724010302661,0.000168334056178082,0.151106664555415,0.0025820783487887
"21","SyntheticVSForam","subsets","York","1",0.0453510169763766,0.00347675742791042,0.0761178635506056,0.0411514982929187
"22","SyntheticVSForam","subsets","York","2",0.0384106441697093,0.000800399689674831,0.158330156406146,0.00652879272591865
