"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Teeth","Full","BLM1_fit",NA,0.0392031404105276,0.000271155684631579,0.154962811413224,0.0030300200813683
"2","Teeth","Full","BLM1_fit_NoErrors",NA,0.0393963107277876,0.000281779467680587,0.152338949566445,0.00313887040809724
"3","Teeth","Full","BLM3","1",0.0293483050146488,0.00439304223104061,0.267455306844054,0.0503586255673969
"4","Teeth","Full","BLM3","2",0.0392407333322029,0.00027896957680538,0.154534596773829,0.00312254729857825
"5","Teeth","Full","Deming",NA,0.0420103370672003,0.00212144779939269,0.126047750792807,0.0198692230759322
"6","Teeth","Full","LM",NA,0.0394057496953159,0.000362908671603242,0.152233283511166,0.00412722999162972
"7","Teeth","Full","Weighted",NA,0.0392797888880593,0.000309480115863434,0.153612261747792,0.00345470606969309
"8","Teeth","Full","York",NA,0.0390526119795965,0.000480802712140599,0.157656599211152,0.00545564320789321
"9","Teeth","subsets","BLM1_fit","1",0.0282986210289791,0.00206990859852544,0.279285297594681,0.0234596059729095
"10","Teeth","subsets","BLM1_fit","2",0.0392386609092941,0.000281801138128502,0.154549380331728,0.00317496096878366
"11","Teeth","subsets","BLM1_fit_NoErrors","1",0.0312479344479981,0.00242069337131885,0.245911022112602,0.0279237581780071
"12","Teeth","subsets","BLM1_fit_NoErrors","2",0.0394192590204642,0.000288723989182979,0.152083805778648,0.00320646989702827
"13","Teeth","subsets","BLM3","1",0.0284168157473462,0.00218742035953593,0.277998001693608,0.0248561993135266
"14","Teeth","subsets","BLM3","2",0.0392606028325283,0.000273555897403733,0.154309591721967,0.00305563762164416
"15","Teeth","subsets","Deming","1",0.0385551312119739,0.010248117805067,0.161037874703762,0.112539063044205
"16","Teeth","subsets","Deming","2",0.0403791385090338,0.00145493513864301,0.143645667003564,0.0187047836389106
"17","Teeth","subsets","LM","1",0.0294199494290639,0.00414981442639776,0.266482439518513,0.0484033317413235
"18","Teeth","subsets","LM","2",0.0393974590123684,0.000124552580773276,0.152309744051267,0.00138406511924524
"19","Teeth","subsets","Weighted","1",0.0292693891894811,0.0022221051468235,0.269772642306197,0.0242976523224717
"20","Teeth","subsets","Weighted","2",0.0395000014088863,3.32894617813908e-06,0.151286399033469,0.000562767660143873
"21","Teeth","subsets","York","1",0.0284055006845156,0.00195802253881345,0.278642538353835,0.0201847727145988
"22","Teeth","subsets","York","2",0.0388361618045935,0.000393022088768849,0.160863029878131,0.00414794473176683
