"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","CDESorICDES","Full","BLM1_fit",NA,0.039223094884582,0.000274327577554013,0.154833063001309,0.00308145956576831
"2","CDESorICDES","Full","BLM1_fit_NoErrors",NA,0.0394563461308862,0.000272074159836251,0.151984841449497,0.00304173601592291
"3","CDESorICDES","Full","BLM3","1",0.0396013826648503,0.00035761722354963,0.152776564243604,0.00377284909749141
"4","CDESorICDES","Full","BLM3","2",0.0388999609185919,0.000498160881055171,0.157592298817518,0.00575022879373728
"5","CDESorICDES","Full","Deming",NA,0.042662389141739,0.00152698407154625,0.121720046712405,0.017225507395912
"6","CDESorICDES","Full","LM",NA,0.0394629370675171,0.000359456578945945,0.151949913548031,0.00409156582985171
"7","CDESorICDES","Full","Weighted",NA,0.0393675930474191,0.000295674226211863,0.152986012899617,0.00333755489876104
"8","CDESorICDES","Full","York",NA,0.0390663555065486,0.000472290945915991,0.157547144209498,0.00529294964636708
"9","CDESorICDES","subsets","BLM1_fit","1",0.0396114497464659,0.000437502588104862,0.152291248614527,0.00459979603337769
"10","CDESorICDES","subsets","BLM1_fit","2",0.0388605087586381,0.000407226780077899,0.158000205084061,0.0046846061780808
"11","CDESorICDES","subsets","BLM1_fit_NoErrors","1",0.0396824943003713,0.000458349895339147,0.150397732514954,0.0048159062259777
"12","CDESorICDES","subsets","BLM1_fit_NoErrors","2",0.0392061229622348,0.000412678298532897,0.154479182242268,0.0047836317233549
"13","CDESorICDES","subsets","BLM3","1",0.0396105866949905,0.000437012015121272,0.152245374716261,0.00462116893683955
"14","CDESorICDES","subsets","BLM3","2",0.038917082966977,0.000417799614108856,0.157350302404493,0.0048041687526335
"15","CDESorICDES","subsets","Deming","1",0.0397035605737363,0.00294334384436511,0.141976900664702,0.0179858665843569
"16","CDESorICDES","subsets","Deming","2",0.0451265036151123,0.000376681755727021,0.0923340325524851,0.00553618754282263
"17","CDESorICDES","subsets","LM","1",0.0405173428000537,0.000116014086233673,0.142305496829384,0.00069940932562368
"18","CDESorICDES","subsets","LM","2",0.0397179949197022,9.21060818318791e-05,0.148382303360163,0.000346713741218012
"19","CDESorICDES","subsets","Weighted","1",0.0391229291458212,0.000852411077734612,0.155838185647395,0.0111911650672808
"20","CDESorICDES","subsets","Weighted","2",0.0391370605706243,0.000251053161207724,0.155156344786784,0.00235411349755389
"21","CDESorICDES","subsets","York","1",0.0389741289352905,0.000405602867504146,0.15868892456144,5.04281496337947e-05
"22","CDESorICDES","subsets","York","2",0.0386709561751278,0.000310225265005716,0.162188186755304,0.00257010878062244
