"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Forams","Full","BLM1_fit",NA,0.039220049097497,0.000279244736317658,0.154844822030124,0.00313940625738171
"2","Forams","Full","BLM1_fit_NoErrors",NA,0.0394475988885272,0.000281553884755309,0.152091870634059,0.00315734033250841
"3","Forams","Full","BLM3","1",0.0399616870843456,0.00201499853591487,0.141622986300805,0.0239860693351388
"4","Forams","Full","BLM3","2",0.0395098528038702,0.000280148509626469,0.153498708981439,0.0030731449931705
"5","Forams","Full","Deming",NA,0.0426386679283047,0.00152494785998102,0.121917383612272,0.0171875889937037
"6","Forams","Full","LM",NA,0.0394568027735255,0.000358041212477642,0.152020271878137,0.00407784523194345
"7","Forams","Full","Weighted",NA,0.0393729956376307,0.000315587266382252,0.152922082621681,0.00359670877743238
"8","Forams","Full","York",NA,0.0391000462304148,0.00051097413664024,0.157150158110845,0.00579145603597595
"9","Forams","subsets","BLM1_fit","1",0.0397011271616676,0.00171668442858336,0.144715375805873,0.0204068947068045
"10","Forams","subsets","BLM1_fit","2",0.0395253650186737,0.000302071170717441,0.15326251601068,0.00331971040569963
"11","Forams","subsets","BLM1_fit_NoErrors","1",0.0406870587169025,0.00168579046672928,0.133780476412182,0.0200997625676236
"12","Forams","subsets","BLM1_fit_NoErrors","2",0.0396841652434453,0.000309057628505875,0.15089914047522,0.00337558004828035
"13","Forams","subsets","BLM3","1",0.0400628091594033,0.00189527230493856,0.140377646745256,0.0225332229775299
"14","Forams","subsets","BLM3","2",0.0395050487334735,0.000291760229731269,0.153512651248027,0.00318079309250389
"15","Forams","subsets","Deming","1",0.0302365749050587,0.00310816510515186,0.279541893714223,0.0381631483995944
"16","Forams","subsets","Deming","2",0.0437138293074762,0.00218780764125161,0.115330821705459,0.0159845894442706
"17","Forams","subsets","LM","1",0.042760948791882,0.000961848297563519,0.108603628536877,0.0117896007510448
"18","Forams","subsets","LM","2",0.0397777849955964,0.000282114321792358,0.150124966544292,0.00413992162589823
"19","Forams","subsets","Weighted","1",0.0390579340730304,0.00268862687425299,0.151389263918272,0.0318147764830997
"20","Forams","subsets","Weighted","2",0.0398546217830367,0.000553921530136941,0.149027481031418,0.00608929388054799
"21","Forams","subsets","York","1",0.0444466851631714,0.00338218668959446,0.088545813790437,0.0420786606105228
"22","Forams","subsets","York","2",0.03885721279861,0.000252036395387432,0.161392090441557,0.00573638401886575
