"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","LARGEorSMALL","Full","BLM1_fit",NA,0.0394783200406531,0.000311186139339149,0.151911812125991,0.00352047085266435
"2","LARGEorSMALL","Full","BLM1_fit_NoErrors",NA,0.0396561078482895,0.000301053850245164,0.14970688808966,0.00339636239661086
"3","LARGEorSMALL","Full","BLM3","1",0.0388834670020502,0.000405156011455386,0.161855401026979,0.00458742376718529
"4","LARGEorSMALL","Full","BLM3","2",0.0398489254049261,0.000443366751626609,0.142592044148873,0.00494778030016725
"5","LARGEorSMALL","Full","Deming",NA,0.0427063541197078,0.00143756833795616,0.121056941966473,0.0166239616296245
"6","LARGEorSMALL","Full","LM",NA,0.0396580747328729,0.000417395558279516,0.149685448428207,0.00476050293367128
"7","LARGEorSMALL","Full","Weighted",NA,0.0395321926173867,0.000327896271737986,0.151096748209164,0.00369636534122904
"8","LARGEorSMALL","Full","York",NA,0.0402370221748337,0.000707567914779046,0.144259846984134,0.00863281501217324
"9","LARGEorSMALL","subsets","BLM1_fit","1",0.0389051973473331,0.000421603723605649,0.161544169197457,0.00480810055910827
"10","LARGEorSMALL","subsets","BLM1_fit","2",0.0398284052461394,0.000399753067183154,0.142827709381399,0.00448023197558594
"11","LARGEorSMALL","subsets","BLM1_fit_NoErrors","1",0.0389419891979818,0.000428989591919387,0.16065778106082,0.00485535451104479
"12","LARGEorSMALL","subsets","BLM1_fit_NoErrors","2",0.0400944876170582,0.000396653433774556,0.14042280029535,0.00444506419328533
"13","LARGEorSMALL","subsets","BLM3","1",0.0388643816545465,0.000417667960924865,0.162036563617913,0.00472774792138671
"14","LARGEorSMALL","subsets","BLM3","2",0.0398424337101666,0.000381734290766249,0.142652159159119,0.0042898711848508
"15","LARGEorSMALL","subsets","Deming","1",0.0480818126404361,0.00328715937793148,0.0622632198165024,0.0389874444564501
"16","LARGEorSMALL","subsets","Deming","2",0.0416166576811178,0.000341505507618986,0.133642750090486,0.000995514290046073
"17","LARGEorSMALL","subsets","LM","1",0.0392076974876054,0.000444145123887666,0.158128694486955,0.00358922375953525
"18","LARGEorSMALL","subsets","LM","2",0.0405313663383614,0.000818677516529271,0.134534038569875,0.0101218046418056
"19","LARGEorSMALL","subsets","Weighted","1",0.0387882947986933,0.000108957290553516,0.161526886018863,0.00119111238853682
"20","LARGEorSMALL","subsets","Weighted","2",0.0403531137460895,0.000616792462608463,0.137896106096453,0.00927101975679523
"21","LARGEorSMALL","subsets","York","1",0.0400526064317439,0.000328404907413201,0.146968439810225,0.00229257940401702
"22","LARGEorSMALL","subsets","York","2",0.0396132627278828,0.000911626782846597,0.152229603213304,0.0109577792593743
