"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","Lab","Full",-9624.03868016478,-4228.32360353262,-9635.42558166332
"2","Lab","3",-683.218539225946,-285.145189941026,-683.176868093769
"3","Lab","9",-516.287944773437,-285.231563481324,-516.289870577767
"4","Lab","11",-276.402009107501,-116.554909197945,-276.407288193474
"5","Lab","5",-304.07866540849,-147.416154625752,-304.071069352034
"6","Lab","6",-686.548012414284,-282.394398979663,-686.593289295471
"7","Lab","13",-153.856314516601,-93.5407322466113,-153.843724030656
"8","Lab","7",-145.885496306966,-81.6274657236797,-145.87690533215
"9","Lab","2",-366.625466680205,-146.36646855056,-366.526420184406
"10","Lab","8",-465.412232113259,-184.374910674546,-465.248416328648
"11","Lab","12",-2428.02611940321,-1206.80858417094,-2427.84216570254
"12","Lab","15",-627.038292781153,-311.559191223284,-627.099644468217
"13","Lab","14",-1037.74261505077,-448.806763048763,-1037.7760152097
"14","Lab","1",-1355.94591389864,-597.821904689584,-1355.92120939975
"15","Lab","10",-443.194163603253,-235.195755393865,-443.267146293241
"16","Lab","4",-149.695862512071,-80.099492009966,-149.731000818351
