"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Lab","Full","BLM1_fit",NA,0.0392487776348111,0.00028006903776174,0.154603660467881,0.00315024503660999
"2","Lab","Full","BLM1_fit_NoErrors",NA,0.0394838446194406,0.000283625990555702,0.151789482859055,0.00318427418857427
"3","Lab","Full","BLM3","1",0.0370996808860105,0.00185378086596415,0.179259937373016,0.0214736600609208
"4","Lab","Full","BLM3","10",0.038847365703734,0.000882536069751137,0.157087280595655,0.00919678924775384
"5","Lab","Full","BLM3","11",0.0389762408955256,0.00334094620753441,0.138374368112668,0.0390882667851265
"6","Lab","Full","BLM3","12",0.0389019881166959,0.00110327407542141,0.156584716119492,0.0128480188882666
"7","Lab","Full","BLM3","13",0.0370069253201914,0.00129867321555203,0.170366159545389,0.0118411572848019
"8","Lab","Full","BLM3","14",0.0403901680371343,0.0036455548580655,0.140834263983961,0.0433208954322082
"9","Lab","Full","BLM3","15",0.0412401396760077,0.00145701831864644,0.143399692707592,0.0156901897148976
"10","Lab","Full","BLM3","2",0.0334998100565663,0.00452654923973741,0.214669754273452,0.0541397449000188
"11","Lab","Full","BLM3","3",0.0407207022202717,0.000726314590112154,0.1287658346067,0.00700548380112437
"12","Lab","Full","BLM3","4",0.0392810481677705,0.00125977675255435,0.151379279439907,0.0104130483161845
"13","Lab","Full","BLM3","5",0.039226332997314,0.000734060892312454,0.159076217395226,0.00700876223757301
"14","Lab","Full","BLM3","6",0.0434177105918554,0.000996311440061973,0.129581925577319,0.0104288684275818
"15","Lab","Full","BLM3","7",0.0348269864322554,0.00994050373093608,0.216928107773812,0.119890739385412
"16","Lab","Full","BLM3","8",0.0418064508118508,0.00524417453727057,0.127972755086768,0.0634602848546266
"17","Lab","Full","BLM3","9",0.0377576115179085,0.000576836694610643,0.170267788063131,0.0066551586596057
"18","Lab","Full","Deming",NA,0.0427371619825223,0.00157408164971968,0.120804593545901,0.0179744082933087
"19","Lab","Full","LM",NA,0.0394948868733279,0.000360910629010685,0.151640684133782,0.00408266281084001
"20","Lab","Full","Weighted",NA,0.0394095852409714,0.000309246901663043,0.152571167444583,0.00345970320491027
"21","Lab","Full","York",NA,0.0390745763660902,0.00050547293072061,0.157497034599238,0.00555223147399811
"22","Lab","subsets","BLM1_fit","1",0.036923820112577,0.00221829763372498,0.181436472368656,0.0257433794201575
"23","Lab","subsets","BLM1_fit","10",0.0388729846976419,0.000673485408759914,0.156730965719279,0.00703868707416526
"24","Lab","subsets","BLM1_fit","11",0.0393324452143455,0.00490379000442698,0.133856319701759,0.0570824094998174
"25","Lab","subsets","BLM1_fit","12",0.0390331525332548,0.0010065529267226,0.155026554212255,0.0117086145346044
"26","Lab","subsets","BLM1_fit","13",0.0369408788175056,0.00124526647722711,0.170627572099326,0.0110507743357455
"27","Lab","subsets","BLM1_fit","14",0.04055190940495,0.00234461785757049,0.138308268842325,0.0278065105249879
"28","Lab","subsets","BLM1_fit","15",0.0413733596692824,0.0012790308116459,0.142046097238873,0.013778273235253
"29","Lab","subsets","BLM1_fit","2",0.0337779223513514,0.00395631915136866,0.210941092033099,0.0474495783425323
"30","Lab","subsets","BLM1_fit","3",0.0404680337563672,0.0010709055755747,0.130221391503523,0.0105004387332231
"31","Lab","subsets","BLM1_fit","4",0.0391143033828139,0.000812165188285223,0.153092375857235,0.00667731797755637
"32","Lab","subsets","BLM1_fit","5",0.0392812234332256,0.000621181977336882,0.158718612849919,0.0058635246665561
"33","Lab","subsets","BLM1_fit","6",0.043449774521713,0.00135449219955392,0.12948125532971,0.0140426651528006
"34","Lab","subsets","BLM1_fit","7",0.0318128829486047,0.00446366062597373,0.252651405220266,0.0537526919239893
"35","Lab","subsets","BLM1_fit","8",0.0414055120325976,0.00306499810504977,0.133317879989803,0.0371449080777354
"36","Lab","subsets","BLM1_fit","9",0.0378265589307591,0.000506541533339812,0.16969286644503,0.00572288370637262
"37","Lab","subsets","BLM1_fit_NoErrors","1",0.0373432360481253,0.00216189305323565,0.176995619995863,0.0251418826437993
"38","Lab","subsets","BLM1_fit_NoErrors","10",0.0388245822968797,0.000655361984587965,0.157067468090475,0.00688935934798861
"39","Lab","subsets","BLM1_fit_NoErrors","11",0.0383476211250793,0.00427780985128234,0.145659827186424,0.0489578990334749
"40","Lab","subsets","BLM1_fit_NoErrors","12",0.0396490797425088,0.000948296201848294,0.148126035420852,0.0110062374398574
"41","Lab","subsets","BLM1_fit_NoErrors","13",0.0374091541505219,0.00122715464657448,0.168244056586092,0.0113822270196314
"42","Lab","subsets","BLM1_fit_NoErrors","14",0.0401325633640549,0.00241029712262073,0.146479279148866,0.0289921891166778
"43","Lab","subsets","BLM1_fit_NoErrors","15",0.041235106997716,0.00129048368050408,0.143344935151291,0.0137065326900186
"44","Lab","subsets","BLM1_fit_NoErrors","2",0.0335325675818758,0.00372656549217101,0.214810248133232,0.0446953285708445
"45","Lab","subsets","BLM1_fit_NoErrors","3",0.0402535195679159,0.00107784724974812,0.132095948188549,0.0102653672007974
"46","Lab","subsets","BLM1_fit_NoErrors","4",0.0393572103496031,0.00074341996243072,0.150908022394592,0.00610669346625892
"47","Lab","subsets","BLM1_fit_NoErrors","5",0.0391129745730275,0.000636378069028078,0.159473439358831,0.00610573440116989
"48","Lab","subsets","BLM1_fit_NoErrors","6",0.0434107829225335,0.00118834983545405,0.129676976500402,0.0121370345102401
"49","Lab","subsets","BLM1_fit_NoErrors","7",0.0333579825214849,0.00448945873699708,0.234640635567563,0.0541000014039295
"50","Lab","subsets","BLM1_fit_NoErrors","8",0.0409025666803195,0.00290386313928976,0.138762170188537,0.0351368760694433
"51","Lab","subsets","BLM1_fit_NoErrors","9",0.0375869782161658,0.000694127886438007,0.171403274890734,0.00831361098837003
"52","Lab","subsets","BLM3","1",0.0365181990896017,0.00206360895303018,0.18623505974298,0.0239368384188689
"53","Lab","subsets","BLM3","10",0.0388759669751544,0.000654155244042537,0.156762613764064,0.00683366701057883
"54","Lab","subsets","BLM3","11",0.0396023987077886,0.004926446805928,0.13075969251437,0.0573352826022638
"55","Lab","subsets","BLM3","12",0.0389999707462922,0.00094723417025769,0.155342284980457,0.0110373979663046
