"","targetMaterialColumn","dataset","BLMM_material","model","intercept","slope"
"1","Forams","Full",NA,"York",0.165691809170633,0.0384466389753182
"2","Forams","Full",NA,"York",0.15201774025884,0.0393440530986479
"3","Forams","Full",NA,"York",0.158363820380546,0.0387280718550061
"4","Forams","Full",NA,"York",0.158305553557569,0.0390543297219778
"5","Forams","Full",NA,"York",0.164181880140358,0.0383879026331071
"6","Forams","Full",NA,"LM",0.151281935223586,0.0394465271171243
"7","Forams","Full",NA,"LM",0.154013691492882,0.039296472927149
"8","Forams","Full",NA,"LM",0.154049802288691,0.0393067542638856
"9","Forams","Full",NA,"LM",0.146821120141634,0.039910904146733
"10","Forams","Full",NA,"LM",0.144808242160393,0.0399010131231334
"11","Forams","Full",NA,"Deming",0.1280519996172,0.0415931950233673
"12","Forams","Full",NA,"Deming",0.139108672321202,0.0403705470154252
"13","Forams","Full",NA,"Deming",0.136249204032873,0.0407352011412725
"14","Forams","Full",NA,"Deming",0.150414344136583,0.0393081405323003
"15","Forams","Full",NA,"Deming",0.143931894254506,0.0401551736834756
"16","Forams","Full",NA,"Weighted",0.13543631900233,0.0406574338358479
"17","Forams","Full",NA,"Weighted",0.15166413633527,0.0393617806894509
"18","Forams","Full",NA,"Weighted",0.148978638752619,0.0397380732280291
"19","Forams","Full",NA,"Weighted",0.156679786245247,0.0389048020500335
"20","Forams","Full",NA,"Weighted",0.153065703995191,0.0393060038204375
"21","Forams","Full",NA,"Bayesian errors",0.160493087583,0.0385807980300966
"22","Forams","Full",NA,"Bayesian errors",0.156334382340095,0.0389266426077154
"23","Forams","Full",NA,"Bayesian errors",0.155863671126767,0.0389144670115432
"24","Forams","Full",NA,"Bayesian errors",0.163959486277966,0.0383303470381549
"25","Forams","Full",NA,"Bayesian errors",0.153135201230071,0.0392500517503275
"26","Forams","Full",NA,"Bayesian no errors",0.156072040394033,0.0389391814782523
"27","Forams","Full",NA,"Bayesian no errors",0.154540156520133,0.0390698541623513
"28","Forams","Full",NA,"Bayesian no errors",0.159197591284724,0.0386200195312549
"29","Forams","Full",NA,"Bayesian no errors",0.160357387977401,0.0386512117331151
"30","Forams","Full",NA,"Bayesian no errors",0.153236955390747,0.039229367135147
"31","Forams","Full",2,"Bayesian mixed",0.20687094299137,0.0343945696260226
"32","Forams","Full",1,"Bayesian mixed",0.161260914679539,0.0388654525068613
"33","Forams","Full",2,"Bayesian mixed",0.173369823528625,0.0372000728931508
"34","Forams","Full",1,"Bayesian mixed",0.156371865311933,0.0392987318343771
"35","Forams","Full",2,"Bayesian mixed",0.163738383067131,0.0380322286194315
"36","Forams","Full",1,"Bayesian mixed",0.163864488173762,0.0384445596022805
"37","Forams","Full",2,"Bayesian mixed",0.199767957935121,0.0349632777700997
"38","Forams","Full",1,"Bayesian mixed",0.162235547347629,0.0389284835942563
"39","Forams","Full",2,"Bayesian mixed",0.170213954096498,0.0375678789751173
"40","Forams","Full",1,"Bayesian mixed",0.160365583394221,0.0388998987558893
"41","Forams","2",NA,"York",0.15232767449331,0.0395503905529867
"42","Forams","2",NA,"York",0.151843713024452,0.0398073890839546
"43","Forams","2",NA,"York",0.146933074586278,0.0401583681634983
"44","Forams","2",NA,"York",0.160935518811705,0.0388335549621662
"45","Forams","2",NA,"York",0.164623407946377,0.0388313004916933
"46","Forams","2",NA,"LM",0.149578591380208,0.0399063211897503
"47","Forams","2",NA,"LM",0.153686754483502,0.0394652786368904
"48","Forams","2",NA,"LM",0.146184158826237,0.040222032087979
"49","Forams","2",NA,"LM",0.159704716718605,0.0389156663426858
"50","Forams","2",NA,"LM",0.147045612476868,0.0401203566633369
"51","Forams","2",NA,"Deming",0.141831237769535,0.0405243142548591
"52","Forams","2",NA,"Deming",0.138197279804883,0.0404450111391899
"53","Forams","2",NA,"Deming",0.140883113313697,0.0405412415255177
"54","Forams","2",NA,"Deming",0.131800673240155,0.0416566047466583
"55","Forams","2",NA,"Deming",0.128310886982204,0.0418253766511348
"56","Forams","2",NA,"Weighted",0.145472968387003,0.0399780044154429
"57","Forams","2",NA,"Weighted",0.14989819949353,0.0395735894740261
"58","Forams","2",NA,"Weighted",0.143354711861639,0.0402492347313168
