"","targetMaterialColumn","dataset","R2 type","model","median","lwr","upr"
"1","Lab","Lab","Conditional","BLM1_fit",0.97293404412332,0.967374622654561,0.977143822582194
"2","Lab","Lab","Conditional","BLM1_fit_NoErrors",0.973032641611431,0.967519126106422,0.977252504910942
"3","Lab","Lab","Conditional","BLM3_fit",0.999496514364901,0.999336752751833,0.999620723877965
"4","Lab","Lab","Marginal","BLM3_fit",0.0380385930486653,0.0372374867791594,0.0388787969106961
"5","Lab","4","BLM1_fit",NA,0.957853698901101,0.951088139990698,0.959121958815463
"6","Lab","4","BLM1_fit_NoErrors",NA,0.957380375797344,0.949824380046511,0.959115967109806
"7","Lab","10","BLM1_fit",NA,0.983592425426839,0.982357294346307,0.983761037611944
"8","Lab","10","BLM1_fit_NoErrors",NA,0.983444304326693,0.980720817204639,0.983760472475957
"9","Lab","13","BLM1_fit",NA,0.814275169849389,0.685816975982174,0.838384333008759
"10","Lab","13","BLM1_fit_NoErrors",NA,0.807666133514036,0.672240408918783,0.838301226123441
"11","Lab","6","BLM1_fit",NA,0.995024280887032,0.993877402633227,0.995126637326305
"12","Lab","6","BLM1_fit_NoErrors",NA,0.994963197194738,0.993002847400245,0.995126488608753
"13","Lab","7","BLM1_fit",NA,0.96256599547398,0.954170118058867,0.963959261253606
"14","Lab","7","BLM1_fit_NoErrors",NA,0.962599044886093,0.955248160531802,0.963958127624456
"15","Lab","16","BLM1_fit",NA,0.987154668440371,0.979581623963609,0.988082659413059
"16","Lab","16","BLM1_fit_NoErrors",NA,0.987402423413154,0.978348311619446,0.98808340175199
"17","Lab","15","BLM1_fit",NA,0.851244711214908,0.166791307073952,0.888676247234363
"18","Lab","15","BLM1_fit_NoErrors",NA,0.787274482061574,0.00555425570219702,0.887853962861509
"19","Lab","8","BLM1_fit",NA,0.905659689427001,0.76579773008398,0.917363031207187
"20","Lab","8","BLM1_fit_NoErrors",NA,0.878079260656379,0.0827303959012716,0.917322159358544
"21","Lab","1","BLM1_fit",NA,0.541144427050046,0.241884392069933,0.666410314315054
"22","Lab","1","BLM1_fit_NoErrors",NA,0.550085673958612,0.157224264481123,0.681412669240935
"23","Lab","9","BLM1_fit",NA,0.956058116602088,0.936121835732117,0.959137019550166
"24","Lab","9","BLM1_fit_NoErrors",NA,0.954528587118063,0.880250922597885,0.959180850949092
"25","Lab","14","BLM1_fit",NA,0.842936281181563,0.823703079393997,0.855674530288164
"26","Lab","14","BLM1_fit_NoErrors",NA,0.845989148651809,0.826620595888754,0.858107253919526
"27","Lab","18","BLM1_fit",NA,0.95631351101965,0.947200591618162,0.958082852956699
"28","Lab","18","BLM1_fit_NoErrors",NA,0.956231198176683,0.946366518832443,0.958090364400028
"29","Lab","17","BLM1_fit",NA,0.668915613218358,0.591563330905033,0.716012798630546
"30","Lab","17","BLM1_fit_NoErrors",NA,0.6764771629585,0.59088175828337,0.725360023127311
"31","Lab","2","BLM1_fit",NA,0.704193156739265,0.645455492345019,0.7420447168319
"32","Lab","2","BLM1_fit_NoErrors",NA,0.706809276111417,0.646454864275135,0.743992934856536
"33","Lab","12","BLM1_fit",NA,0.989775610999947,0.987975723162359,0.989909830890293
"34","Lab","12","BLM1_fit_NoErrors",NA,0.989702437895088,0.987496713333475,0.98990979799727
"35","Lab","5","BLM1_fit",NA,0.997606228918789,0.9954820749123,0.997801766744787
"36","Lab","5","BLM1_fit_NoErrors",NA,0.997298246178374,0.990142666970103,0.997800927469576
"37","Lab","11","BLM1_fit",NA,0.985540674872925,0.933679282078725,0.988963230161655
"38","Lab","11","BLM1_fit_NoErrors",NA,0.972727230796307,0.554983597766247,0.988922245355622
