"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","BLM1_fit",-6571.40213776112,-6654.19474823032,-6476.03902402057
"2","Mineralogy","Mineralogy","BLM1_fit_NoErrors",-3907.88208970209,-3922.1301274999,-3848.86781961928
"3","Mineralogy","Mineralogy","BLM3_fit",-6439.02616739663,-6797.67749893705,-5953.31345680819
"4","Mineralogy","6","BLM1_fit",-254.536286113185,-290.149306961357,-235.62341905864
"5","Mineralogy","6","BLM1_fit_NoErrors",-177.324246100291,-188.966443275138,-157.389742663578
"6","Mineralogy","1","BLM1_fit",-836.162327976831,-861.577560849175,-805.883116040935
"7","Mineralogy","1","BLM1_fit_NoErrors",-701.853607937781,-715.523136079782,-650.77130409455
"8","Mineralogy","4","BLM1_fit",-4450.94156121335,-4510.37171847243,-4362.23010654902
"9","Mineralogy","4","BLM1_fit_NoErrors",-2888.55729144467,-2927.28656965829,-2861.90657452731
"10","Mineralogy","9","BLM1_fit",-154.15756630277,-159.018824562581,-145.498981064066
"11","Mineralogy","9","BLM1_fit_NoErrors",-110.825036099961,-114.179042376031,-106.4084531451
"12","Mineralogy","10","BLM1_fit",-62.2279512150706,-68.7391044329893,-57.921673132665
"13","Mineralogy","10","BLM1_fit_NoErrors",-24.639616971468,-26.0819084160364,-23.3613584232469
"14","Mineralogy","8","BLM1_fit",-32.2791045736136,-33.7640568421747,-30.8236126202172
"15","Mineralogy","8","BLM1_fit_NoErrors",-3.85376611652219,-4.57568090487676,-2.36856595933177
"16","Mineralogy","11","BLM1_fit",-54.7188787747573,-62.5986851266936,-52.5240895753495
"17","Mineralogy","11","BLM1_fit_NoErrors",-17.6041184735863,-18.2183688729169,-16.4912180632749
"18","Mineralogy","3","BLM1_fit",-209.901972249557,-220.647509747407,-189.921331859376
"19","Mineralogy","3","BLM1_fit_NoErrors",-170.491484494243,-172.727227671671,-158.891721048499
