"","targetMaterialColumn","dataset","BLMM_material","model","intercept","slope"
"1","Mineralogy","Full",NA,"York",0.163062566741854,0.039203244138201
"2","Mineralogy","Full",NA,"York",0.162912502067714,0.0392806366248281
"3","Mineralogy","Full",NA,"York",0.164322590267833,0.0391249126661332
"4","Mineralogy","Full",NA,"York",0.164350181308123,0.039082613843522
"5","Mineralogy","Full",NA,"York",0.169664189351525,0.0384524136835322
"6","Mineralogy","Full",NA,"LM",0.174045254361132,0.0378785821706022
"7","Mineralogy","Full",NA,"LM",0.177849610310086,0.037530024845813
"8","Mineralogy","Full",NA,"LM",0.180895190653807,0.0373005604080963
"9","Mineralogy","Full",NA,"LM",0.182033973462369,0.0371243758557471
"10","Mineralogy","Full",NA,"LM",0.175843561979804,0.0377996746709471
"11","Mineralogy","Full",NA,"Deming",0.185882057371669,0.0367400341391695
"12","Mineralogy","Full",NA,"Deming",0.190929032515341,0.0363884103353633
"13","Mineralogy","Full",NA,"Deming",0.166559574624664,0.038616497003506
"14","Mineralogy","Full",NA,"Deming",0.176981768626503,0.0377180965217838
"15","Mineralogy","Full",NA,"Deming",0.176027713171721,0.0378514974995161
"16","Mineralogy","Full",NA,"Weighted",0.174471666199968,0.0376979527948837
"17","Mineralogy","Full",NA,"Weighted",0.170271237688737,0.0382618367414736
"18","Mineralogy","Full",NA,"Weighted",0.176523391515547,0.0375116586270299
"19","Mineralogy","Full",NA,"Weighted",0.1823397976756,0.0372223783430016
"20","Mineralogy","Full",NA,"Weighted",0.171210688701595,0.0381155192005762
"21","Mineralogy","Full",NA,"Bayesian errors",0.179134528574319,0.0380432785124825
"22","Mineralogy","Full",NA,"Bayesian errors",0.168251778102936,0.0393027002180109
"23","Mineralogy","Full",NA,"Bayesian errors",0.181060420382234,0.0378897397583031
"24","Mineralogy","Full",NA,"Bayesian errors",0.176502474882605,0.0383411677947745
"25","Mineralogy","Full",NA,"Bayesian errors",0.175938013930429,0.0383958455262942
"26","Mineralogy","Full",NA,"Bayesian no errors",0.177865422173296,0.0380770975923078
"27","Mineralogy","Full",NA,"Bayesian no errors",0.168090246049349,0.0392207368910494
"28","Mineralogy","Full",NA,"Bayesian no errors",0.181177387164759,0.0377882727724641
"29","Mineralogy","Full",NA,"Bayesian no errors",0.176754109432645,0.0382095313109458
"30","Mineralogy","Full",NA,"Bayesian no errors",0.17460143619459,0.0384431419499862
"31","Mineralogy","Full",6,"Bayesian mixed",0.240049319038676,0.0321611351824834
"32","Mineralogy","Full",1,"Bayesian mixed",-0.620624339511879,0.111057853524685
"33","Mineralogy","Full",4,"Bayesian mixed",0.260251305398818,0.0300163799757772
"34","Mineralogy","Full",9,"Bayesian mixed",0.180303000961477,0.0369786745446396
"35","Mineralogy","Full",7,"Bayesian mixed",0.256602348976744,0.0315240422504008
"36","Mineralogy","Full",10,"Bayesian mixed",0.191996055973499,0.0362023140456141
"37","Mineralogy","Full",8,"Bayesian mixed",0.236627967416678,0.0324922254024176
"38","Mineralogy","Full",11,"Bayesian mixed",0.166118772102592,0.0404514488972789
"39","Mineralogy","Full",3,"Bayesian mixed",0.132334330946662,0.0402529500019721
"40","Mineralogy","Full",2,"Bayesian mixed",0.169102612033033,0.0410191294053166
"41","Mineralogy","Full",5,"Bayesian mixed",0.210596806395853,0.0349696856437863
"42","Mineralogy","Full",6,"Bayesian mixed",0.196588519039909,0.036113153818565
"43","Mineralogy","Full",1,"Bayesian mixed",0.447851362634399,0.0158992285522256
"44","Mineralogy","Full",4,"Bayesian mixed",0.249875467783857,0.0310512681896862
"45","Mineralogy","Full",9,"Bayesian mixed",0.15816570481207,0.0392396990117799
"46","Mineralogy","Full",7,"Bayesian mixed",0.756116408438709,-0.00919623262505098
"47","Mineralogy","Full",10,"Bayesian mixed",0.187020239967132,0.0370242692876489
"48","Mineralogy","Full",8,"Bayesian mixed",0.21000246775074,0.0353950446176867
"49","Mineralogy","Full",11,"Bayesian mixed",0.170193071309608,0.0400162525277528
"50","Mineralogy","Full",3,"Bayesian mixed",0.131026979179272,0.040550425110128
"51","Mineralogy","Full",2,"Bayesian mixed",0.171223643433708,0.0408763806115786
"52","Mineralogy","Full",5,"Bayesian mixed",0.2342648790403,0.0325044417615183
"53","Mineralogy","Full",6,"Bayesian mixed",0.201604204066015,0.0355189947061596
"54","Mineralogy","Full",1,"Bayesian mixed",1.41743525410078,-0.0705048383390838
"55","Mineralogy","Full",4,"Bayesian mixed",0.247291141492243,0.0314855746080116
"56","Mineralogy","Full",9,"Bayesian mixed",0.164019480255938,0.0385572508610747
"57","Mineralogy","Full",7,"Bayesian mixed",0.993907967476331,-0.0285450624232252
"58","Mineralogy","Full",10,"Bayesian mixed",0.195698002369567,0.0351136811466558
"59","Mineralogy","Full",8,"Bayesian mixed",0.203904495152219,0.0359282265231591
"60","Mineralogy","Full",11,"Bayesian mixed",0.166824704839469,0.0403916788437536
"61","Mineralogy","Full",3,"Bayesian mixed",0.135651558665936,0.0393690154295362
"62","Mineralogy","Full",2,"Bayesian mixed",0.190999697987894,0.0390883721860157
"63","Mineralogy","Full",5,"Bayesian mixed",0.182863663574519,0.0377689455186592
"64","Mineralogy","Full",6,"Bayesian mixed",0.217109518132381,0.03458548953391
"65","Mineralogy","Full",1,"Bayesian mixed",-1.31828356451938,0.172808304467929
"66","Mineralogy","Full",4,"Bayesian mixed",0.250556595928696,0.0311020363689797
"67","Mineralogy","Full",9,"Bayesian mixed",0.183693171352741,0.0370207935191169
"68","Mineralogy","Full",7,"Bayesian mixed",1.2298477267432,-0.0476512940409413
"69","Mineralogy","Full",10,"Bayesian mixed",0.187330345847232,0.0368880719914994
"70","Mineralogy","Full",8,"Bayesian mixed",0.219460684045879,0.0342427349931058
"71","Mineralogy","Full",11,"Bayesian mixed",0.171600004326615,0.0399008067748544
"72","Mineralogy","Full",3,"Bayesian mixed",0.132861413480335,0.0400190060620198
"73","Mineralogy","Full",2,"Bayesian mixed",0.175557963220596,0.0404400193033618
"74","Mineralogy","Full",5,"Bayesian mixed",0.208714845282016,0.0348917318768806
"75","Mineralogy","Full",6,"Bayesian mixed",0.258185724175033,0.0307983626559087
"76","Mineralogy","Full",1,"Bayesian mixed",1.34507801494376,-0.0639593033842748
"77","Mineralogy","Full",4,"Bayesian mixed",0.268846148875842,0.0293536278106213
"78","Mineralogy","Full",9,"Bayesian mixed",0.178414808358672,0.0377783280290873
"79","Mineralogy","Full",7,"Bayesian mixed",1.03506065882516,-0.0319664790913928
"80","Mineralogy","Full",10,"Bayesian mixed",0.176929599511711,0.0379528440297751
"81","Mineralogy","Full",8,"Bayesian mixed",0.230247286908015,0.0329667955750383
"82","Mineralogy","Full",11,"Bayesian mixed",0.165842982723209,0.0404550339913387
"83","Mineralogy","Full",3,"Bayesian mixed",0.131372296043161,0.0400856482105916
"84","Mineralogy","Full",2,"Bayesian mixed",0.164314630663215,0.0414852682127866
"85","Mineralogy","Full",5,"Bayesian mixed",0.222098350410338,0.0336357710153316
"86","Mineralogy","6",NA,"York",0.187079892888558,0.0381567339171749
"87","Mineralogy","6",NA,"York",0.198123809221778,0.0362616781218628
"88","Mineralogy","6",NA,"York",0.201472745331142,0.0343112203432667
"89","Mineralogy","6",NA,"York",0.198002950501754,0.033713809238727
"90","Mineralogy","6",NA,"York",0.211308979983382,0.0327205221108359
"91","Mineralogy","6",NA,"LM",0.168942901637987,0.038908695720939
"92","Mineralogy","6",NA,"LM",0.184067472658893,0.0375747862949117
"93","Mineralogy","6",NA,"LM",0.196731556107805,0.0358597420120453
"94","Mineralogy","6",NA,"LM",0.182795500315185,0.0371525401767078
"95","Mineralogy","6",NA,"LM",0.183943798029635,0.0366706742611707
"96","Mineralogy","6",NA,"Deming",0.171512759555413,0.0393379907264435
"97","Mineralogy","6",NA,"Deming",0.173021098243708,0.0386406830250243
"98","Mineralogy","6",NA,"Deming",0.175763456538211,0.0387710628148559
"99","Mineralogy","6",NA,"Deming",0.179042518061791,0.037835296799815
"100","Mineralogy","6",NA,"Deming",0.17386918465227,0.0377953061011403
"101","Mineralogy","6",NA,"Weighted",0.177057695134966,0.0384760211367671
"102","Mineralogy","6",NA,"Weighted",0.182568921308989,0.0371124483456125
"103","Mineralogy","6",NA,"Weighted",0.171690590021589,0.0379030385971394
"104","Mineralogy","6",NA,"Weighted",0.195027919103956,0.03645529316521
"105","Mineralogy","6",NA,"Weighted",0.180496383869083,0.0370085533692534
"106","Mineralogy","6",NA,"Bayesian errors",0.178485824571572,0.0371305326562445
"107","Mineralogy","6",NA,"Bayesian errors",0.192325411584976,0.0361427549813409
"108","Mineralogy","6",NA,"Bayesian errors",0.199275559103553,0.03523061578836
"109","Mineralogy","6",NA,"Bayesian errors",0.17106660712767,0.0377772251358574
"110","Mineralogy","6",NA,"Bayesian errors",0.193299325747204,0.0353455072296183
"111","Mineralogy","6",NA,"Bayesian no errors",0.176427094202416,0.0374287030346903
"112","Mineralogy","6",NA,"Bayesian no errors",0.186748397540227,0.0370550454375851
"113","Mineralogy","6",NA,"Bayesian no errors",0.195582230930772,0.0357108268382023
"114","Mineralogy","6",NA,"Bayesian no errors",0.171433741491076,0.0375520403969072
"115","Mineralogy","6",NA,"Bayesian no errors",0.19007155696961,0.0355906769406142
"116","Mineralogy","1",NA,"York",0.173642830128965,0.0384837253684475
"117","Mineralogy","1",NA,"York",0.135571746265346,0.041821790227953
"118","Mineralogy","1",NA,"York",0.201347495840403,0.0366321296063097
"119","Mineralogy","1",NA,"York",0.147485156641648,0.0405693928493684
"120","Mineralogy","1",NA,"York",0.160579370892946,0.0391139320637911
"121","Mineralogy","1",NA,"LM",0.220534797192007,0.0339658608775172
"122","Mineralogy","1",NA,"LM",0.204645837001255,0.03540974764544
"123","Mineralogy","1",NA,"LM",0.229923646471621,0.0331540226073819
"124","Mineralogy","1",NA,"LM",0.227513839001934,0.0335825936514388
"125","Mineralogy","1",NA,"LM",0.21655246214408,0.0344215071700262
"126","Mineralogy","1",NA,"Deming",0.222887801718551,0.0337756647873535
"127","Mineralogy","1",NA,"Deming",0.169529770932899,0.0389884038600077
"128","Mineralogy","1",NA,"Deming",0.19138466728673,0.0374703109574344
"129","Mineralogy","1",NA,"Deming",0.157456659747463,0.0397898126346938
"130","Mineralogy","1",NA,"Deming",0.168604468110215,0.0395428542563841
"131","Mineralogy","1",NA,"Weighted",0.214175639094325,0.0350354893099106
"132","Mineralogy","1",NA,"Weighted",0.207596330876072,0.0352403027620808
"133","Mineralogy","1",NA,"Weighted",0.192790589522846,0.0366961386760171
"134","Mineralogy","1",NA,"Weighted",0.240847579503273,0.0322104834252628
"135","Mineralogy","1",NA,"Weighted",0.220560987573926,0.0341226206405007
"136","Mineralogy","1",NA,"Bayesian errors",0.22363044318204,0.0338613346858588
"137","Mineralogy","1",NA,"Bayesian errors",0.245716504018278,0.0318895900931383
"138","Mineralogy","1",NA,"Bayesian errors",0.243859148971561,0.0320186948773582
"139","Mineralogy","1",NA,"Bayesian errors",0.254455143783514,0.0312916834316921
"140","Mineralogy","1",NA,"Bayesian errors",0.244920868401045,0.0319152902971463
"141","Mineralogy","1",NA,"Bayesian no errors",0.207216135222279,0.0353096627104462
"142","Mineralogy","1",NA,"Bayesian no errors",0.237307667584181,0.0325889941117698
"143","Mineralogy","1",NA,"Bayesian no errors",0.246539081807326,0.0317950053494945
"144","Mineralogy","1",NA,"Bayesian no errors",0.242601921705285,0.0322111673092056
"145","Mineralogy","1",NA,"Bayesian no errors",0.226663547710107,0.0335261182002929
"146","Mineralogy","4",NA,"York",0.162259193351337,0.0388192462490803
"147","Mineralogy","4",NA,"York",0.157085182508183,0.0395407104680726
"148","Mineralogy","4",NA,"York",0.16308967878339,0.0390084114451751
"149","Mineralogy","4",NA,"York",0.164369126680508,0.0387902676939765
"150","Mineralogy","4",NA,"York",0.160685321264501,0.0391365121391035
"151","Mineralogy","4",NA,"LM",0.175473945646409,0.0376940105325509
"152","Mineralogy","4",NA,"LM",0.170030359035175,0.0381478623195246
"153","Mineralogy","4",NA,"LM",0.174740624528675,0.037743551270267
