"","targetMaterialColumn","dataset","BLMM_material","model","intercept","slope"
"1","Mollusk","Full",NA,"York",0.163556314553632,0.0388508024355723
"2","Mollusk","Full",NA,"York",0.162295724425728,0.0388389266655916
"3","Mollusk","Full",NA,"York",0.157118544195315,0.0389612429644078
"4","Mollusk","Full",NA,"York",0.166374716890922,0.0381891328535212
"5","Mollusk","Full",NA,"York",0.151596162364998,0.0397474067291386
"6","Mollusk","Full",NA,"York",0.160077607918037,0.038999441106474
"7","Mollusk","Full",NA,"York",0.154135035104547,0.0391777572955069
"8","Mollusk","Full",NA,"York",0.159976087331476,0.0391388404952258
"9","Mollusk","Full",NA,"York",0.157523076112402,0.0386110445823103
"10","Mollusk","Full",NA,"York",0.152959564876694,0.0392285466090545
"11","Mollusk","Full",NA,"York",0.16199810196389,0.0386264111624199
"12","Mollusk","Full",NA,"York",0.154280145601112,0.0394164843756378
"13","Mollusk","Full",NA,"York",0.163621629435619,0.0385890054527895
"14","Mollusk","Full",NA,"York",0.144496127128426,0.0399015991461603
"15","Mollusk","Full",NA,"York",0.163411847234292,0.0383835876588411
"16","Mollusk","Full",NA,"York",0.153758885041182,0.0397376109381887
"17","Mollusk","Full",NA,"York",0.156778345998916,0.0390781950877492
"18","Mollusk","Full",NA,"York",0.152387936367691,0.0397841146442698
"19","Mollusk","Full",NA,"York",0.151955750838161,0.0394762339040758
"20","Mollusk","Full",NA,"York",0.158573860362376,0.0390095729020491
"21","Mollusk","Full",NA,"York",0.164178019587759,0.0386159382166946
"22","Mollusk","Full",NA,"York",0.157864951159343,0.0389509670421052
"23","Mollusk","Full",NA,"York",0.161088181205816,0.0384650769308367
"24","Mollusk","Full",NA,"York",0.161540774266334,0.0385382869782545
"25","Mollusk","Full",NA,"York",0.15987258063817,0.0388723108187101
"26","Mollusk","Full",NA,"York",0.153838022818321,0.0394964666897378
"27","Mollusk","Full",NA,"York",0.150502497428128,0.0398751205109157
"28","Mollusk","Full",NA,"York",0.152073888278616,0.0393684850719664
"29","Mollusk","Full",NA,"York",0.159011219453229,0.0392442967411268
"30","Mollusk","Full",NA,"York",0.155579175343191,0.0390386744544236
"31","Mollusk","Full",NA,"York",0.152033786373373,0.0398039221560377
"32","Mollusk","Full",NA,"York",0.165252058307315,0.0381583527989352
"33","Mollusk","Full",NA,"York",0.161563432169515,0.0388576760073432
"34","Mollusk","Full",NA,"York",0.153663204802573,0.0395475530358106
"35","Mollusk","Full",NA,"York",0.16187276280022,0.0387298212908676
"36","Mollusk","Full",NA,"York",0.160908109970704,0.0386607928251803
"37","Mollusk","Full",NA,"York",0.151857309566883,0.0393174170758597
"38","Mollusk","Full",NA,"York",0.152581945153094,0.039442140237007
"39","Mollusk","Full",NA,"York",0.1500827756408,0.0396510018804577
"40","Mollusk","Full",NA,"York",0.164611670562437,0.0384098826388517
"41","Mollusk","Full",NA,"York",0.13804917763614,0.0405245549744451
"42","Mollusk","Full",NA,"York",0.162675841623291,0.0388729557989889
"43","Mollusk","Full",NA,"York",0.15163991373265,0.0393573879609333
"44","Mollusk","Full",NA,"York",0.152922577441382,0.039402574833339
"45","Mollusk","Full",NA,"York",0.150740207053035,0.0393308371404434
"46","Mollusk","Full",NA,"York",0.158553169302906,0.0387630214423777
"47","Mollusk","Full",NA,"York",0.162238070858612,0.038377965040875
"48","Mollusk","Full",NA,"York",0.146450781642649,0.0399461835002171
"49","Mollusk","Full",NA,"York",0.159234395596522,0.0389470394416918
