"","targetMaterialColumn","dataset","R2 type","model","median","lwr","upr"
"1","NaturalSynthetic","NaturalSynthetic","Conditional","BLM1_fit",0.960079467635503,0.950933932037508,0.967912454995064
"2","NaturalSynthetic","NaturalSynthetic","Conditional","BLM1_fit_NoErrors",0.960412038401147,0.951074475361978,0.968118962217963
"3","NaturalSynthetic","NaturalSynthetic","Conditional","BLM3_fit",0.998979365819015,0.998372618011287,0.999218889093616
"4","NaturalSynthetic","NaturalSynthetic","Marginal","BLM3_fit",0.0376175730879612,0.0367000228438579,0.0386623386726566
"5","NaturalSynthetic","2","BLM1_fit",NA,0.826195144708798,0.812767349036475,0.83623458066616
"6","NaturalSynthetic","2","BLM1_fit_NoErrors",NA,0.828823474426799,0.816585529637995,0.838193032131931
"7","NaturalSynthetic","3","BLM1_fit",NA,0.969825316608952,0.968191879339624,0.970711835216286
"8","NaturalSynthetic","3","BLM1_fit_NoErrors",NA,0.970053417906513,0.968344504956467,0.970843787681761
"9","NaturalSynthetic","1","BLM1_fit",NA,0.543865856124002,0.248596622390684,0.664466394877355
"10","NaturalSynthetic","1","BLM1_fit_NoErrors",NA,0.554796860201089,0.164118586889681,0.683889421806881
