"","targetMaterialColumn","dataset","R2 type","model","mean","lwr","upr"
"1","Forams","Forams","Conditional","BLM3_fit",0.993637189190896,0.991049492999347,0.995382917356822
"2","Forams","Forams","Marginal","BLM3_fit",0.0346873020325077,0.0319868329127923,0.037763493667633
"3","Forams","Forams","BLM1_fit",NA,0.890911002676701,0.882466301012638,0.897416518098201
"4","Forams","Forams","BLM1_fit_NoErrors",NA,0.892258523523897,0.886588470372284,0.896980867814847
"5","Forams","3","BLM1_fit",NA,0.947089050119082,0.942733175341069,0.949745366488021
"6","Forams","3","BLM1_fit_NoErrors",NA,0.947342904066316,0.944797000073501,0.949439740721587
"7","Forams","2","BLM1_fit",NA,0.673536878582004,0.54197546675916,0.749641044697855
"8","Forams","2","BLM1_fit_NoErrors",NA,0.695205359173781,0.642606448557972,0.733464935125879
"9","Forams","1","BLM1_fit",NA,0.535910878024139,0.0126509024394901,0.741861259857791
"10","Forams","1","BLM1_fit_NoErrors",NA,0.627925289658368,0.379918154150132,0.736972220262445
