"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Lab","Lab","BLM1_fit",-5790.46839072986,-5930.93380101997,-5654.80425788041
"2","Lab","Lab","BLM1_fit_NoErrors",-2544.76112126148,-3158.09542287546,-1609.50234370173
"3","Lab","Lab","BLM3_fit",-5834.9126197662,-5956.17415855448,-5699.89203354989
"4","Lab","4","BLM1_fit",-498.925736476276,-544.288195017699,-454.308120853023
"5","Lab","4","BLM1_fit_NoErrors",-217.060736969185,-234.832271744947,-201.237597848205
"6","Lab","9","BLM1_fit",-314.996188263693,-348.571854799542,-285.058067615239
"7","Lab","9","BLM1_fit_NoErrors",-194.476229674087,-206.855629168617,-181.815006399061
"8","Lab","6","BLM1_fit",-391.559435586171,-428.587348613741,-360.300279111425
"9","Lab","6","BLM1_fit_NoErrors",-167.468529171072,-177.563035522041,-157.8639454297
"10","Lab","7","BLM1_fit",-123.32775008755,-128.287838860916,-117.774824705616
"11","Lab","7","BLM1_fit_NoErrors",-25.8605858146574,-27.1324310398181,-24.6062213852682
"12","Lab","3","BLM1_fit",-109.121594490253,-115.258603705584,-102.325866947427
"13","Lab","3","BLM1_fit_NoErrors",-57.5508597905499,-59.6084144046397,-55.2228020861673
"14","Lab","8","BLM1_fit",-210.746053697794,-219.391852987241,-200.65599752523
"15","Lab","8","BLM1_fit_NoErrors",-99.6296741499748,-104.41530010551,-95.0798165346284
"16","Lab","11","BLM1_fit",-204.212664836388,-247.906988124644,-169.386885751926
"17","Lab","11","BLM1_fit_NoErrors",-72.8935497492366,-76.8363458912405,-69.1503479892758
"18","Lab","12","BLM1_fit",-1270.83339670385,-1317.345318761,-1223.67170650533
"19","Lab","12","BLM1_fit_NoErrors",-788.732027954306,-908.384115725618,-650.405546440027
"20","Lab","14","BLM1_fit",-381.552079933984,-407.420477093339,-356.960052455072
"21","Lab","14","BLM1_fit_NoErrors",-159.060639031101,-167.56860135517,-149.990392943345
"22","Lab","13","BLM1_fit",-629.602301520251,-648.384844945171,-610.944187686013
"23","Lab","13","BLM1_fit_NoErrors",-400.14594637156,-439.987791338964,-360.960627163798
"24","Lab","1","BLM1_fit",-243.587561663907,-262.380735317466,-224.026069446974
"25","Lab","1","BLM1_fit_NoErrors",-145.321806579553,-153.558308558314,-137.264601337524
"26","Lab","2","BLM1_fit",-432.123817951701,-480.007708783552,-394.060008420435
"27","Lab","2","BLM1_fit_NoErrors",-220.352375195824,-237.768332145484,-203.239950501063
"28","Lab","10","BLM1_fit",-292.811548219105,-312.373793521809,-268.381052415534
"29","Lab","10","BLM1_fit_NoErrors",-112.668362122438,-118.13138405844,-107.598128022289
"30","Lab","5","BLM1_fit",-123.516653268981,-141.102117518702,-110.753103300876
"31","Lab","5","BLM1_fit_NoErrors",-29.8481475213309,-31.0344211131703,-28.3770290930203
