"","targetMaterialColumn","dataset","BLMM_material","model","intercept","slope"
"1","Lake","Full",NA,"York",0.128548635019316,0.0415259668489292
"2","Lake","Full",NA,"York",0.114987740627714,0.0430082863828427
"3","Lake","Full",NA,"York",0.116132249232705,0.0427321458507513
"4","Lake","Full",NA,"York",0.13496694149988,0.0413412490685353
"5","Lake","Full",NA,"York",0.13543790569259,0.0408730537297949
"6","Lake","Full",NA,"York",0.1216477445066,0.0420144679259594
"7","Lake","Full",NA,"York",0.164041305489568,0.038792417737968
"8","Lake","Full",NA,"York",0.140282409573251,0.0407325669855744
"9","Lake","Full",NA,"York",0.1334897698853,0.0410784592500876
"10","Lake","Full",NA,"York",0.122877841199356,0.0422238546284763
"11","Lake","Full",NA,"York",0.136973087708191,0.0407753772355189
"12","Lake","Full",NA,"York",0.126231722625765,0.0416700905297827
"13","Lake","Full",NA,"York",0.139866905939382,0.040739059829039
"14","Lake","Full",NA,"York",0.110427686946405,0.0431299401343445
"15","Lake","Full",NA,"York",0.116695082935385,0.0425215709213917
"16","Lake","Full",NA,"York",0.0960032381509979,0.0441678397311597
"17","Lake","Full",NA,"York",0.127803296284163,0.0418427618887346
"18","Lake","Full",NA,"York",0.143806254647847,0.0404612978694315
"19","Lake","Full",NA,"York",0.104765930496634,0.0433353063826686
"20","Lake","Full",NA,"York",0.13077599741354,0.0413720284116863
"21","Lake","Full",NA,"York",0.124474850756703,0.0418497904317993
"22","Lake","Full",NA,"York",0.15796276252208,0.0392195513660749
"23","Lake","Full",NA,"York",0.121965056353272,0.0420949579343076
"24","Lake","Full",NA,"York",0.107731566417467,0.0433488040062871
"25","Lake","Full",NA,"York",0.12246000587041,0.0420917226689483
"26","Lake","Full",NA,"York",0.12647789124024,0.0418943394973289
"27","Lake","Full",NA,"York",0.143634960277806,0.0405332654792497
"28","Lake","Full",NA,"York",0.130163169949823,0.0416828963820703
"29","Lake","Full",NA,"York",0.114811508918807,0.0426688769842904
"30","Lake","Full",NA,"York",0.115528005363829,0.0428618094069855
"31","Lake","Full",NA,"York",0.117244954884348,0.0426711069113329
"32","Lake","Full",NA,"York",0.116632240479949,0.042508646254742
"33","Lake","Full",NA,"York",0.111223879740048,0.0432298156035546
"34","Lake","Full",NA,"York",0.132110466245518,0.0416283707072193
"35","Lake","Full",NA,"York",0.136126291136971,0.0408746432389877
"36","Lake","Full",NA,"York",0.134623590811245,0.0412038914258007
"37","Lake","Full",NA,"York",0.112567812151241,0.0430665188609402
"38","Lake","Full",NA,"York",0.136047689801037,0.0409458037830556
"39","Lake","Full",NA,"York",0.114637852469273,0.0426441990299278
"40","Lake","Full",NA,"York",0.128648743548576,0.0416077404269372
"41","Lake","Full",NA,"York",0.127232775818937,0.0417834961794157
"42","Lake","Full",NA,"York",0.109451262113555,0.0431782295652538
"43","Lake","Full",NA,"York",0.114776800990064,0.0426361545223346
"44","Lake","Full",NA,"York",0.115171349075564,0.0427833725204027
"45","Lake","Full",NA,"York",0.119253566891057,0.0425378301606912
"46","Lake","Full",NA,"York",0.142050924338299,0.0406429157866611
"47","Lake","Full",NA,"York",0.121842101423475,0.0423015053800322
"48","Lake","Full",NA,"York",0.109743392330292,0.0428063220079277
"49","Lake","Full",NA,"York",0.13389721201025,0.0411202558188987
"50","Lake","Full",NA,"York",0.115298013549898,0.0427896466268018
"51","Lake","Full",NA,"York",0.122335220837704,0.0424124778702644
"52","Lake","Full",NA,"York",0.115306407786416,0.0424916394324583
"53","Lake","Full",NA,"York",0.152914037589243,0.0398091395828702
"54","Lake","Full",NA,"York",0.115655458836358,0.0425587991645769
"55","Lake","Full",NA,"York",0.113630245465951,0.0430193406615827
"56","Lake","Full",NA,"York",0.129068204212208,0.0416536169397862
"57","Lake","Full",NA,"York",0.148119846912178,0.0401604282912837
"58","Lake","Full",NA,"York",0.121958300274595,0.0420377612428326
"59","Lake","Full",NA,"York",0.125896225545587,0.0417397929170951
"60","Lake","Full",NA,"York",0.116780376872462,0.0427751184538052
"61","Lake","Full",NA,"York",0.116049176901542,0.042896304132091
"62","Lake","Full",NA,"York",0.110197486007804,0.0429756105499221
"63","Lake","Full",NA,"York",0.124721033206562,0.0422121033988561
"64","Lake","Full",NA,"York",0.109401178292527,0.043270363002666
"65","Lake","Full",NA,"York",0.127053139418108,0.0412359648038453
"66","Lake","Full",NA,"York",0.151568384286636,0.0396085466634442
"67","Lake","Full",NA,"York",0.135962038199707,0.0409849740966466
"68","Lake","Full",NA,"York",0.107123843519016,0.0433270876319804
"69","Lake","Full",NA,"York",0.146552491701002,0.0399691613794809
"70","Lake","Full",NA,"York",0.101945057419153,0.044039730169658
"71","Lake","Full",NA,"York",0.139721283312363,0.0410175507471076
"72","Lake","Full",NA,"York",0.135516092445191,0.0412033930684099
"73","Lake","Full",NA,"York",0.112033912488091,0.0428662803577591
"74","Lake","Full",NA,"York",0.134173249394842,0.0411766172352175
"75","Lake","Full",NA,"York",0.139456262403666,0.0406351162481749
"76","Lake","Full",NA,"York",0.146724792291377,0.040037902606061
"77","Lake","Full",NA,"York",0.114105193593691,0.0427727196965332
"78","Lake","Full",NA,"York",0.136175159812475,0.0411569405389698
"79","Lake","Full",NA,"York",0.121689891409485,0.042214036141456
"80","Lake","Full",NA,"York",0.122716552422922,0.0421452001107107
"81","Lake","Full",NA,"York",0.114484456679038,0.0427258679886443
"82","Lake","Full",NA,"York",0.134239555123661,0.0410598401469485
"83","Lake","Full",NA,"York",0.125384892487876,0.0418574670089071
"84","Lake","Full",NA,"York",0.152229563340175,0.0395614212971394
"85","Lake","Full",NA,"York",0.119326549573766,0.0422187108497792
"86","Lake","Full",NA,"York",0.148772103941965,0.0400624329506157
"87","Lake","Full",NA,"York",0.156318416058485,0.0395451219910174
"88","Lake","Full",NA,"York",0.134286136347714,0.0411718753188965
"89","Lake","Full",NA,"York",0.129861008269226,0.041625775032817
"90","Lake","Full",NA,"York",0.119531448450933,0.0423387897548895
"91","Lake","Full",NA,"York",0.104373864618031,0.0434928142531232
"92","Lake","Full",NA,"York",0.119896093994204,0.0423974893794573
"93","Lake","Full",NA,"York",0.142705320968945,0.0404730247812669
"94","Lake","Full",NA,"York",0.138186755743896,0.0407711844940925
"95","Lake","Full",NA,"York",0.0936870280995801,0.044361853149432
"96","Lake","Full",NA,"York",0.14819907245315,0.0402607067427775
"97","Lake","Full",NA,"York",0.137009509318214,0.041011208473434
"98","Lake","Full",NA,"York",0.153368681904114,0.0393980184038034
"99","Lake","Full",NA,"York",0.107926305284934,0.0433558172463
"100","Lake","Full",NA,"York",0.142142010826318,0.0404628871978681
"101","Lake","Full",NA,"York",0.123046378200537,0.0420901969759709
"102","Lake","Full",NA,"York",0.13786836090504,0.041151634664646
"103","Lake","Full",NA,"York",0.117229962724531,0.0429258019248969
"104","Lake","Full",NA,"York",0.107236694551638,0.043331046034876
"105","Lake","Full",NA,"York",0.135094728077066,0.0408879404377988
"106","Lake","Full",NA,"York",0.113402710003374,0.0428803853420086
"107","Lake","Full",NA,"York",0.119529671725643,0.0423919442495223
"108","Lake","Full",NA,"York",0.116056398796937,0.0430133104495237
"109","Lake","Full",NA,"York",0.128214850686554,0.0416342426791251
"110","Lake","Full",NA,"York",0.110078687371432,0.0427946649098411
"111","Lake","Full",NA,"York",0.120688094367247,0.042585396005273
"112","Lake","Full",NA,"York",0.129222299474508,0.04134507746801
"113","Lake","Full",NA,"York",0.106843122134219,0.0433724926744537
"114","Lake","Full",NA,"York",0.132742364896193,0.0414486790827457
"115","Lake","Full",NA,"York",0.13640522881046,0.0411025605268296
"116","Lake","Full",NA,"York",0.150824529543649,0.039852127238726
"117","Lake","Full",NA,"York",0.155861314200649,0.039350062382796
"118","Lake","Full",NA,"York",0.107905952801297,0.0431236038950764
"119","Lake","Full",NA,"York",0.141315646125467,0.0404882379222522
"120","Lake","Full",NA,"York",0.121195062734201,0.0419291061548765
"121","Lake","Full",NA,"York",0.0944093446630133,0.0443685762701083
"122","Lake","Full",NA,"York",0.132955402128887,0.0414132730895169
"123","Lake","Full",NA,"York",0.138165389143925,0.0407314763422911
"124","Lake","Full",NA,"York",0.0957103699933859,0.0440238999406307
"125","Lake","Full",NA,"York",0.110118647197505,0.0429552435879436
"126","Lake","Full",NA,"York",0.142708214128006,0.0404964446142374
"127","Lake","Full",NA,"York",0.10472597086771,0.04337384718715
"128","Lake","Full",NA,"York",0.112809235816153,0.0428028559229534
"129","Lake","Full",NA,"York",0.134618506384828,0.0410519001773319
"130","Lake","Full",NA,"York",0.103653126697381,0.0436871553562242
"131","Lake","Full",NA,"York",0.158658484882648,0.0392815421444138
"132","Lake","Full",NA,"York",0.120394471804339,0.0422517856092543
"133","Lake","Full",NA,"York",0.126868713455265,0.0417985933664425
"134","Lake","Full",NA,"York",0.111313407328175,0.0429856295013759
"135","Lake","Full",NA,"York",0.126604889000127,0.0422057386005834
"136","Lake","Full",NA,"York",0.097880739691773,0.0439765864666168
"137","Lake","Full",NA,"York",0.11894588743677,0.0423791338533789
"138","Lake","Full",NA,"York",0.14800639457813,0.0402755535775061
"139","Lake","Full",NA,"York",0.134796319151073,0.040987021836996
"140","Lake","Full",NA,"York",0.123122016865302,0.042062631014174
"141","Lake","Full",NA,"York",0.150750406016544,0.0398367955466966
"142","Lake","Full",NA,"York",0.152552679383485,0.0398337262216491
"143","Lake","Full",NA,"York",0.10263881295477,0.043839649302464
"144","Lake","Full",NA,"York",0.120827619689727,0.0417610970105131
"145","Lake","Full",NA,"York",0.157504638901128,0.0392842670196729
"146","Lake","Full",NA,"York",0.167241620101099,0.0384942367772819
"147","Lake","Full",NA,"York",0.134254638534999,0.0414708014619387
"148","Lake","Full",NA,"York",0.116791911097659,0.042360792453978
"149","Lake","Full",NA,"York",0.128774665434147,0.041461034460842
"150","Lake","Full",NA,"York",0.120934329044321,0.0424891419153485
"151","Lake","Full",NA,"York",0.129613419152965,0.0414626454628744
"152","Lake","Full",NA,"York",0.156871520906333,0.039376694689005
"153","Lake","Full",NA,"York",0.082799887523325,0.0455445514936123
"154","Lake","Full",NA,"York",0.135348982160789,0.041038634924079
"155","Lake","Full",NA,"York",0.106960802708848,0.0434298843272205
"156","Lake","Full",NA,"York",0.13789832298312,0.0408125780325439
"157","Lake","Full",NA,"York",0.117089506453563,0.0424056094458254
"158","Lake","Full",NA,"York",0.137903946985188,0.0410434118201214
"159","Lake","Full",NA,"York",0.0995996035514695,0.0439297348816106
"160","Lake","Full",NA,"York",0.132225298352223,0.041288815929129
"161","Lake","Full",NA,"York",0.132534595698719,0.0414298309372963
"162","Lake","Full",NA,"York",0.122790917800652,0.0421273123010787
"163","Lake","Full",NA,"York",0.134007777383782,0.0412184500136058
