"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","BLM1_fit",-4588.98419102207,-4708.90519384924,-4464.95820579626
"2","Mineralogy","Mineralogy","BLM1_fit_NoErrors",-2518.83790196304,-2953.91506812464,-1812.12275991883
"3","Mineralogy","Mineralogy","BLM3_fit",-4702.36301785524,-4819.08274058245,-4590.48577017622
"4","Mineralogy","5","BLM1_fit",-123.136376715026,-149.560269034625,-103.396318087678
"5","Mineralogy","5","BLM1_fit_NoErrors",-61.2401248380932,-63.3886833948455,-58.9435275928573
"6","Mineralogy","2","BLM1_fit",-524.363607391318,-556.828922716889,-496.566417382564
"7","Mineralogy","2","BLM1_fit_NoErrors",-368.068562248789,-402.477039675499,-332.005708194748
"8","Mineralogy","4","BLM1_fit",-4183.61516679595,-4306.63148350475,-4062.18703557219
"9","Mineralogy","4","BLM1_fit_NoErrors",-1918.06613545508,-2382.64037715437,-1309.63987885887
"10","Mineralogy","6","BLM1_fit",-131.825652857305,-144.544734754767,-121.046239451635
"11","Mineralogy","6","BLM1_fit_NoErrors",-65.7563892969175,-68.3477100746919,-63.2448892817021
"12","Mineralogy","1","BLM1_fit",-244.492697925406,-261.422762141171,-225.125979220228
"13","Mineralogy","1","BLM1_fit_NoErrors",-145.334506200963,-153.456246503358,-137.194005914376
"14","Mineralogy","3","BLM1_fit",-74.2438119620238,-87.7569541779533,-60.7817338186099
"15","Mineralogy","3","BLM1_fit_NoErrors",-39.095780877352,-40.7123847093896,-37.5392773894411
