"","targetMaterialColumn","dataset","R2 type","model","mean","lwr","upr"
"1","Mineralogy","Mineralogy","Conditional","BLM3_fit",0.998437264912574,0.998140911827881,0.998691634613181
"2","Mineralogy","Mineralogy","Marginal","BLM3_fit",0.03764969294875,0.0351473528898842,0.0400835276267903
"3","Mineralogy","Mineralogy","BLM1_fit",NA,0.959062439927337,0.95716739598691,0.960334464525868
"4","Mineralogy","Mineralogy","BLM1_fit_NoErrors",NA,0.958904489833114,0.95756174184725,0.960092676874522
"5","Mineralogy","5","BLM1_fit",NA,0.883920890341372,0.325495649115263,0.97756998190896
"6","Mineralogy","5","BLM1_fit_NoErrors",NA,0.966531358772416,0.912766618898824,0.977621771128252
"7","Mineralogy","2","BLM1_fit",NA,0.653621357141093,0.328563067732998,0.779000737758335
"8","Mineralogy","2","BLM1_fit_NoErrors",NA,0.710698215544249,0.613202572457703,0.766290052701732
"9","Mineralogy","4","BLM1_fit",NA,0.923511769884127,0.916780971581528,0.928043465165893
"10","Mineralogy","4","BLM1_fit_NoErrors",NA,0.923657061335206,0.919688978066935,0.92713763814648
"11","Mineralogy","6","BLM1_fit",NA,0.957507546658196,0.778941981221451,0.990319584401016
"12","Mineralogy","6","BLM1_fit_NoErrors",NA,0.986295570456562,0.970034626777127,0.990338133023611
"13","Mineralogy","1","BLM1_fit",NA,0.533824153957841,0.0113380473427054,0.739914624074398
"14","Mineralogy","1","BLM1_fit_NoErrors",NA,0.622963744531705,0.369119831220605,0.734012669129664
"15","Mineralogy","3","BLM1_fit",NA,0.514975614229794,0.0030975998943765,0.876339186729779
"16","Mineralogy","3","BLM1_fit_NoErrors",NA,0.673983022237005,0.00826999930204811,0.87784324278891
