"","targetMaterialColumn","dataset","BLMM_material","model","intercept","slope"
"1","NaturalSynthetic","Full",NA,"York",0.12419446437178,0.0420222605123715
"2","NaturalSynthetic","Full",NA,"York",0.138205996100885,0.0408881339145225
"3","NaturalSynthetic","Full",NA,"York",0.0940425678827181,0.0444553651071662
"4","NaturalSynthetic","Full",NA,"York",0.115963822113525,0.0427682299667796
"5","NaturalSynthetic","Full",NA,"York",0.130908428148211,0.0413632333556868
"6","NaturalSynthetic","Full",NA,"York",0.0952474093227375,0.0443091842491413
"7","NaturalSynthetic","Full",NA,"York",0.125478741783389,0.0416780637134935
"8","NaturalSynthetic","Full",NA,"York",0.0967933637939071,0.0443719987327756
"9","NaturalSynthetic","Full",NA,"York",0.112233661840322,0.0432113504429142
"10","NaturalSynthetic","Full",NA,"York",0.152956911179514,0.0394730633914146
"11","NaturalSynthetic","Full",NA,"York",0.139019304973158,0.0410832088139794
"12","NaturalSynthetic","Full",NA,"York",0.104355497566466,0.0435997354843297
"13","NaturalSynthetic","Full",NA,"York",0.133625221339805,0.0409909940874935
"14","NaturalSynthetic","Full",NA,"York",0.142651316823218,0.0407071828092527
"15","NaturalSynthetic","Full",NA,"York",0.104159533738017,0.0433041642353749
"16","NaturalSynthetic","Full",NA,"York",0.144982425922278,0.0402508133019888
"17","NaturalSynthetic","Full",NA,"York",0.126404353839621,0.0417210504021846
"18","NaturalSynthetic","Full",NA,"York",0.103712088886106,0.0437169992412295
"19","NaturalSynthetic","Full",NA,"York",0.092348864311204,0.0444262810570509
"20","NaturalSynthetic","Full",NA,"York",0.128144753569427,0.0414631431808715
"21","NaturalSynthetic","Full",NA,"York",0.125006849233125,0.042060222351456
"22","NaturalSynthetic","Full",NA,"York",0.100018045742092,0.043816300741734
"23","NaturalSynthetic","Full",NA,"York",0.092417871854602,0.0444846152028701
"24","NaturalSynthetic","Full",NA,"York",0.129284143752368,0.041432456234824
"25","NaturalSynthetic","Full",NA,"York",0.117084415065579,0.0424751528970662
"26","NaturalSynthetic","Full",NA,"York",0.118266295667197,0.0423995029442109
"27","NaturalSynthetic","Full",NA,"York",0.125055517679504,0.0417919158453831
"28","NaturalSynthetic","Full",NA,"York",0.117688472190681,0.0427119591292489
"29","NaturalSynthetic","Full",NA,"York",0.124374912537509,0.0420198738156449
"30","NaturalSynthetic","Full",NA,"York",0.119816349814587,0.042455687300229
"31","NaturalSynthetic","Full",NA,"York",0.13561490035151,0.0411527012217701
