"","targetMaterialColumn","dataset","R2 type","model","mean","lwr","upr"
"1","NaturalSynthetic","NaturalSynthetic","Conditional","BLM3_fit",0.99634437780953,0.995378431333168,0.997001226366614
"2","NaturalSynthetic","NaturalSynthetic","Marginal","BLM3_fit",0.0362171782472814,0.0338527971211899,0.0390162565106266
"3","NaturalSynthetic","NaturalSynthetic","BLM1_fit",NA,0.931758544517573,0.927631986158994,0.934790266592495
"4","NaturalSynthetic","NaturalSynthetic","BLM1_fit_NoErrors",NA,0.931918644892698,0.929158744207637,0.934450652325851
"5","NaturalSynthetic","3","BLM1_fit",NA,0.959038786638484,0.952587952841661,0.961351906185353
"6","NaturalSynthetic","3","BLM1_fit_NoErrors",NA,0.959376273092861,0.956039441254428,0.96129628071947
"7","NaturalSynthetic","2","BLM1_fit",NA,0.755079337237239,0.716534116913951,0.782998301437621
"8","NaturalSynthetic","2","BLM1_fit_NoErrors",NA,0.761684957915805,0.740437331907852,0.779576367331565
"9","NaturalSynthetic","1","BLM1_fit",NA,0.535859210739412,0.0122016589701005,0.741680483664577
"10","NaturalSynthetic","1","BLM1_fit_NoErrors",NA,0.62583552786999,0.37845045935802,0.736061997369641
