"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","BenthicPlanktic","Full","BLM1_fit",NA,0.0396985344707223,0.00179149012533934,0.144068825574841,0.021262472994152
"2","BenthicPlanktic","Full","BLM1_fit_NoErrors",NA,0.0397271655851153,0.00185380412953238,0.143236189388192,0.021965692219818
"3","BenthicPlanktic","Full","BLM3","1",0.0416262599474483,0.00653648128204734,0.118609423370616,0.0827034552409784
"4","BenthicPlanktic","Full","BLM3","2",0.0406136156036568,0.00202804828816452,0.13343493437003,0.0239074512668115
"5","BenthicPlanktic","Full","Deming",NA,0.0426238450880409,0.00679379588878315,0.107777921785263,0.0796133979379022
"6","BenthicPlanktic","Full","LM",NA,0.039642948165843,0.00166630536893955,0.14415501017142,0.0199411714424547
"7","BenthicPlanktic","Full","Weighted",NA,0.0401088410312012,0.00168102710467129,0.138719704207119,0.0201292409071279
"8","BenthicPlanktic","Full","York",NA,0.0434430353305019,0.00281310502280589,0.0991811101931411,0.0328671997452089
"9","BenthicPlanktic","subsets","BLM1_fit","1",0.0420928597959747,0.00456142344514168,0.113417235291442,0.0578161612172221
"10","BenthicPlanktic","subsets","BLM1_fit","2",0.0404443440639941,0.00220763464668172,0.13538378979541,0.0259966053967162
"11","BenthicPlanktic","subsets","BLM1_fit_NoErrors","1",0.0412165012268738,0.00557327799334135,0.123346714020417,0.0702473641312516
"12","BenthicPlanktic","subsets","BLM1_fit_NoErrors","2",0.0399215258251528,0.00224361129385598,0.141086766432311,0.0263905272769761
"13","BenthicPlanktic","subsets","BLM3","1",0.0425957146102322,0.00449486747244402,0.106985730713222,0.0569616373276194
"14","BenthicPlanktic","subsets","BLM3","2",0.0406279051950747,0.00204201123593689,0.133204099988441,0.0240857803802965
"15","BenthicPlanktic","subsets","Deming","1",0.0318624580215959,0.00187456278237991,0.237149838576796,0.0227686123445667
"16","BenthicPlanktic","subsets","Deming","2",0.0609675766813256,0.00708550023206957,-0.110803227611552,0.0804882883805888
"17","BenthicPlanktic","subsets","LM","1",0.0396798262667348,0.00135582270646318,0.1432858508867,0.0202667404700581
"18","BenthicPlanktic","subsets","LM","2",0.040077634988894,0.000267761323018249,0.138029249617286,0.00460792681422636
"19","BenthicPlanktic","subsets","Weighted","1",0.0416944881647716,0.00366024452408062,0.116712683968358,0.0489923916712184
"20","BenthicPlanktic","subsets","Weighted","2",0.0412632099287508,0.000984297648189801,0.124300920098167,0.0128817765097836
"21","BenthicPlanktic","subsets","York","1",0.0482303465934336,0.00181015284461989,0.0345289923916051,0.023515453835264
"22","BenthicPlanktic","subsets","York","2",0.0366490779105191,0.0100608151684745,0.177725192053387,0.115680163164857
