"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Corals","Full","BLM1_fit",NA,0.040539455767721,0.000401186320427788,0.1400175938268,0.00446054856322034
"2","Corals","Full","BLM1_fit_NoErrors",NA,0.039389849548084,0.00027143308671837,0.152731238260886,0.0030633149052543
"3","Corals","Full","BLM3",NA,0.039391055603331,0.000249324542018521,0.152716846730435,0.00280291274223303
"4","Corals","Full","Deming",NA,0.0399288520626102,0.00313580422020887,0.150892772728014,0.027413371594793
"5","Corals","Full","LM",NA,0.0394122658584996,0.000340341223317229,0.152513713779134,0.00386656595871278
"6","Corals","Full","Weighted",NA,0.0392642379140891,0.00026643787984498,0.154115887506464,0.00305127454098077
"7","Corals","Full","York",NA,0.0392254163963053,0.000521631786542436,0.156819581129976,0.00592213229566827
"8","Corals","subsets","BLM1_fit","1",0.0402699933506291,0.00075191873740259,0.143152180767833,0.00820091732761756
"9","Corals","subsets","BLM1_fit_NoErrors","1",0.0394063905574223,0.000265883222085437,0.152585153034275,0.00299313312365194
"10","Corals","subsets","BLM3","1",0.0394058086755414,0.000258557992631696,0.152534797204913,0.00289560506710774
"11","Corals","subsets","Deming","1",0.0399025564630376,0.00299256848286458,0.151051478240476,0.0264794928814241
"12","Corals","subsets","LM","1",0.0393942668543401,0.000348568998600406,0.152726469291006,0.00400339215323207
"13","Corals","subsets","Weighted","1",0.0392797032359057,0.00027388906072026,0.153960960197564,0.00309062148333896
"14","Corals","subsets","York","1",0.0391996052027667,0.000481913888690987,0.157105696995924,0.00538602079927623
