"","targetMaterialColumn","dataset","BLMM_material","model","intercept","slope"
"1","Forams","Full",NA,"York",0.153306053079928,0.0392273378031937
"2","Forams","Full",NA,"York",0.156205769797373,0.039171089366452
"3","Forams","Full",NA,"York",0.158582438604115,0.0386327371406266
"4","Forams","Full",NA,"York",0.153634839715585,0.0393420157894599
"5","Forams","Full",NA,"York",0.161134376822923,0.0386738285797977
"6","Forams","Full",NA,"York",0.152568700098946,0.0393290574184815
"7","Forams","Full",NA,"York",0.162370111788112,0.0387147639118865
"8","Forams","Full",NA,"York",0.163424146098769,0.0384521294260526
"9","Forams","Full",NA,"York",0.147630895025813,0.0398504744815859
"10","Forams","Full",NA,"York",0.166272813357641,0.0385079890628252
"11","Forams","Full",NA,"York",0.159035734390604,0.0387745549209311
"12","Forams","Full",NA,"York",0.160141623977514,0.0389265543096312
"13","Forams","Full",NA,"York",0.165555273175324,0.0383540214449025
"14","Forams","Full",NA,"York",0.142474777417943,0.0405206119664325
"15","Forams","Full",NA,"York",0.142998320304982,0.0401753095286578
"16","Forams","Full",NA,"York",0.160808717210136,0.0385166251184827
"17","Forams","Full",NA,"York",0.162742978488757,0.0386753333381873
"18","Forams","Full",NA,"York",0.1502948960772,0.0394693667423937
"19","Forams","Full",NA,"York",0.16275340687607,0.0387027868969023
"20","Forams","Full",NA,"York",0.143622073806283,0.0401792214237879
"21","Forams","Full",NA,"York",0.150009002937228,0.0394882179504106
"22","Forams","Full",NA,"York",0.156578159639683,0.0387110134470652
"23","Forams","Full",NA,"York",0.15253241335083,0.0394280117405366
"24","Forams","Full",NA,"York",0.157925236156407,0.039057506601635
"25","Forams","Full",NA,"York",0.155567861925395,0.0393029667546646
"26","Forams","Full",NA,"York",0.152424785274851,0.0393672155181377
"27","Forams","Full",NA,"York",0.158535254297599,0.0388965924341959
"28","Forams","Full",NA,"York",0.157036985007133,0.0393476721679588
"29","Forams","Full",NA,"York",0.159902021439031,0.0389953200279329
"30","Forams","Full",NA,"York",0.158199919143945,0.0387963292064303
"31","Forams","Full",NA,"York",0.158571697798258,0.0388912729303363
"32","Forams","Full",NA,"York",0.15906589560449,0.0388950379660395
"33","Forams","Full",NA,"York",0.15239797467709,0.0396371353935656
"34","Forams","Full",NA,"York",0.161673878887192,0.0387337658111889
"35","Forams","Full",NA,"York",0.162811432734506,0.0381183191005985
"36","Forams","Full",NA,"York",0.161482016352805,0.0386045667981429
"37","Forams","Full",NA,"York",0.157986874014988,0.0388937635470591
"38","Forams","Full",NA,"York",0.167596007183035,0.0384173421453553
"39","Forams","Full",NA,"York",0.151611578654487,0.0394578527920913
"40","Forams","Full",NA,"York",0.160649719014634,0.0383976721084341
"41","Forams","Full",NA,"York",0.156501511742369,0.038934627510164
"42","Forams","Full",NA,"York",0.164863274766479,0.0382700383996306
"43","Forams","Full",NA,"York",0.162783414485839,0.0385670279741328
"44","Forams","Full",NA,"York",0.15983158990891,0.038283462520123
"45","Forams","Full",NA,"York",0.153497062732938,0.0391960112855997
"46","Forams","Full",NA,"York",0.163293174616687,0.0383708383480549
"47","Forams","Full",NA,"York",0.153840989514326,0.0395959680294876
"48","Forams","Full",NA,"York",0.161003791664522,0.0387738421041341
