"","targetMaterialColumn","dataset","R2 type","model","median","lwr","upr"
"1","Forams","Forams","Conditional","BLM1_fit",0.936064494043794,0.913907717126958,0.950815389132139
"2","Forams","Forams","Conditional","BLM1_fit_NoErrors",0.936680977413443,0.915365206963035,0.951375351421946
"3","Forams","Forams","Conditional","BLM3_fit",0.998457282662039,0.997674210397393,0.998872086417484
"4","Forams","Forams","Marginal","BLM3_fit",0.0371260204750755,0.0361181446964577,0.0382068826030798
"5","Forams","3","BLM1_fit",NA,0.961664405453292,0.960129759874262,0.962665472462442
"6","Forams","3","BLM1_fit_NoErrors",NA,0.961946591520912,0.960498930775188,0.962861518624948
"7","Forams","1","BLM1_fit",NA,0.547922317326178,0.257417947404271,0.667351239771036
"8","Forams","1","BLM1_fit_NoErrors",NA,0.560284663992701,0.173393615102968,0.686764307124514
"9","Forams","2","BLM1_fit",NA,0.700549354360006,0.661753237471283,0.72835333751062
"10","Forams","2","BLM1_fit_NoErrors",NA,0.698156475015054,0.655117911874191,0.728536806479082
