"","dataset","Model","parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"1","Full","BLM1_fit","alpha",0.160493087583,0.0148961946930391,0.131049648628628,0.154812004127811,0.159014444706682,0.164202356918464,0.198501707902146,1.35758561372708,10
"2","Full","BLM1_fit","beta",0.0385807980300966,0.00129045074605751,0.0353603616691826,0.0382544791836607,0.0387138228506597,0.0390784643237982,0.041167692308434,1.35612878822685,11
"3","Full","BLM1_fit","deviance",-8102.58953012498,57.3547344931755,-8211.23017266886,-8143.74159673121,-8103.08768776514,-8062.04840854025,-7990.51649887705,1.00080901165444,1500
"4","Full","BLM1_fit","tauy",1695.08629116897,120.041819336815,1473.74496559772,1636.85670766774,1702.27055887591,1766.69490547645,1891.38327790324,1.09366415752446,250
"5","Full","BLM1_fit_NoErrors","alpha",0.156072040394033,0.0113706419755475,0.146877994656204,0.152869369439722,0.155824554794832,0.158753106093035,0.164985126494086,1.0818708861807,1500
"6","Full","BLM1_fit_NoErrors","beta",0.0389391814782523,0.000909794236217119,0.0381823814124744,0.0387049199000359,0.0389567689558308,0.039223040769859,0.0397640833635996,1.14306324850686,1500
"7","Full","BLM1_fit_NoErrors","deviance",-4229.39998038698,83.9957973717103,-4260.4448342094,-4244.15256292066,-4233.61690291737,-4223.19699354256,-4198.34482655146,1.03725988648771,1500
"8","Full","BLM1_fit_NoErrors","tau",1611.79397056847,96.6296152926999,1462.28496827464,1564.55054855171,1614.68338663697,1665.82594030136,1760.98888275853,1.02491091541925,1500
"9","Full","BLM3_fit","alpha[1]",0.20687094299137,0.0493534159488722,0.13108258500757,0.164457774989699,0.205375338447528,0.240673641300091,0.303743522056543,3.47074784229882,4
"10","Full","BLM3_fit","alpha[2]",0.161260914679539,0.0208096737751321,0.146900795288714,0.153563133703139,0.157455796215307,0.16140338041035,0.224377818931058,1.11678656238503,49
"11","Full","BLM3_fit","beta[1]",0.0343945696260226,0.00413035843210003,0.0263044790596779,0.0315842614422375,0.0345104136634021,0.0379960127522089,0.040715001326051,3.03946389459248,4
"12","Full","BLM3_fit","beta[2]",0.0388654525068613,0.00196457740180984,0.0329060836571997,0.0388628200669659,0.0392147782988291,0.0395799012243906,0.0401963474476948,1.12417201262339,69
"13","Full","BLM3_fit","conditionalR2",0.988027823846114,0.0201672244030541,0.923812972089892,0.989518305950652,0.996779119588384,0.998489609849942,0.999100327297132,1.01317138986106,510
"14","Full","BLM3_fit","deviance",-8103.74806984058,56.1898147294255,-8209.38198177273,-8142.98477070859,-8103.75591824901,-8066.69270614131,-7992.03109924909,1.00281625986279,710
