"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Forams","Full","BLM1_fit",NA,0.0392103588540714,0.000282993511998305,0.154881443244843,0.00316032789720657
"2","Forams","Full","BLM1_fit_NoErrors",NA,0.0393935905701674,0.000287485025082061,0.152352443876969,0.00321139148103754
"3","Forams","Full","BLM3","1",0.0396069394039038,0.00210840637277761,0.14524414618586,0.0250214581312322
"4","Forams","Full","BLM3","2",0.0395207792066101,0.000288048994230874,0.153451365086208,0.00315982282531927
"5","Forams","Full","Deming",NA,0.0420815204904316,0.00215794285299814,0.125737294829148,0.0202881676822854
"6","Forams","Full","LM",NA,0.039396815883726,0.000353017814492511,0.152344140139355,0.00400819912454657
"7","Forams","Full","Weighted",NA,0.0393017836596062,0.000310157200772358,0.153355420657083,0.00349111096832472
"8","Forams","Full","York",NA,0.0390677235340582,0.000484047746845476,0.157395964713226,0.00543965475834865
"9","Forams","subsets","BLM1_fit","1",0.0400617270204138,0.0018289181191578,0.139923315504503,0.0217092179414057
"10","Forams","subsets","BLM1_fit","2",0.0395124502021259,0.000299799654584831,0.153493120915518,0.00329673553273585
"11","Forams","subsets","BLM1_fit_NoErrors","1",0.0397690639231636,0.00189062896377835,0.142907703922709,0.0224483591600022
"12","Forams","subsets","BLM1_fit_NoErrors","2",0.0396797981248187,0.000299531756454588,0.151009560676298,0.00331305559282653
"13","Forams","subsets","BLM3","1",0.0399413514110925,0.00164514906786907,0.141379066453557,0.019528754758191
"14","Forams","subsets","BLM3","2",0.0395218095108889,0.000302451628058394,0.153393419524588,0.00332253459678405
"15","Forams","subsets","Deming","1",0.0395654705824448,0.00441361648084837,0.144809650472791,0.0515849841922971
"16","Forams","subsets","Deming","2",0.0408015514442067,0.00151693202242667,0.13175620029556,0.00966773535087681
"17","Forams","subsets","LM","1",0.040766142739379,0.00294253561312691,0.131886306998548,0.0356529985381008
"18","Forams","subsets","LM","2",0.0397290341290073,0.00011657625440746,0.150468934978558,0.000524506833373687
"19","Forams","subsets","Weighted","1",0.0413409337172975,3.85224026422074e-05,0.123754825450536,0.000931001920007965
"20","Forams","subsets","Weighted","2",0.0397294268759036,0.000271057237223782,0.151546472594331,0.00169049951342001
"21","Forams","subsets","York","1",0.0429864760679564,0.00127301934655912,0.104833505167233,0.0151291629439065
"22","Forams","subsets","York","2",0.0387119666448295,0.000264034257289901,0.163391134721437,0.00197228890198385
