"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","LARGEorSMALL","Full","BLM1_fit",NA,0.0405219203439018,0.00048415069669495,0.140078441401601,0.00543983914404101
"2","LARGEorSMALL","Full","BLM1_fit_NoErrors",NA,0.0395938702449018,0.000289765145464532,0.150403210709528,0.00329951396437913
"3","LARGEorSMALL","Full","BLM3","1",0.0391038672836483,0.000407196964394611,0.158765817796735,0.00461573473903756
"4","LARGEorSMALL","Full","BLM3","2",0.0399572426497942,0.000390816438302528,0.142362420912144,0.00442006375134768
"5","LARGEorSMALL","Full","Deming",NA,0.041307942202157,0.00385044633343949,0.13388381528717,0.0413491762031665
"6","LARGEorSMALL","Full","LM",NA,0.0395674802271833,0.000382647150836603,0.150700474179187,0.00439448404601942
"7","LARGEorSMALL","Full","Weighted",NA,0.0393894610170087,0.000307707864692077,0.152691266770714,0.00350437454276108
"8","LARGEorSMALL","Full","York",NA,0.0404594195980186,0.000655499091647619,0.142958025903822,0.00807698162790443
"9","LARGEorSMALL","subsets","BLM1_fit","1",0.0398768217463109,0.000799310353873552,0.150120203058133,0.00897120102825669
"10","LARGEorSMALL","subsets","BLM1_fit","2",0.0402758398622283,0.000436505690069272,0.138848854482097,0.00490933918287371
"11","LARGEorSMALL","subsets","BLM1_fit_NoErrors","1",0.0390981140106412,0.000426071736097084,0.158856723335746,0.00483056057585071
"12","LARGEorSMALL","subsets","BLM1_fit_NoErrors","2",0.0399805354705622,0.000364906765992955,0.142073257988569,0.00415328935140657
"13","LARGEorSMALL","subsets","BLM3","1",0.0391090865056867,0.000433271571307453,0.158690246485388,0.00492469881748098
"14","LARGEorSMALL","subsets","BLM3","2",0.0399570070727624,0.000363449431629477,0.142389132380081,0.00414480122567184
"15","LARGEorSMALL","subsets","Deming","1",0.0446886193380659,0.00798114096611724,0.0995072638281309,0.0838445189823799
"16","LARGEorSMALL","subsets","Deming","2",0.040086066390689,0.000712394861172157,0.14551655208778,0.00824009316343687
"17","LARGEorSMALL","subsets","LM","1",0.0391067713012698,0.000337692433419692,0.158726004508844,0.00371631720377273
"18","LARGEorSMALL","subsets","LM","2",0.0399705893935215,0.000636399013494617,0.142224736360806,0.0073978748985424
"19","LARGEorSMALL","subsets","Weighted","1",0.0391818526694505,0.000259761124423945,0.157872906071653,0.002844405421831
"20","LARGEorSMALL","subsets","Weighted","2",0.0393236185509937,0.000474993034911865,0.149473497869375,0.00558449572724354
"21","LARGEorSMALL","subsets","York","1",0.0405989888436495,0.000798897562182704,0.142014419810026,0.0102035720852606
"22","LARGEorSMALL","subsets","York","2",0.0401019647882911,0.000733789024447596,0.145342688147291,0.00850965414943338
