"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","LARGEorSMALL","BLM1_NE","Full",0,0
"2","LARGEorSMALL","BLM3","Full",-28309.011803027,259.696602900348
"3","LARGEorSMALL","BLM1_E","Full",-4160539.13050737,37248.7855035692
"4","LARGEorSMALL","BLM1_NE","2",0,0
"5","LARGEorSMALL","BLM3","2",-16670.0771581543,263.491950927113
"6","LARGEorSMALL","BLM1_E","2",-1984343.47959642,30555.5382383791
"7","LARGEorSMALL","BLM3","1",0,0
"8","LARGEorSMALL","BLM1_NE","1",-8108.47572850226,80.7027567415875
"9","LARGEorSMALL","BLM1_E","1",-1482292.12053839,15005.7670861424
"10","LARGEorSMALL","BLM1_NE","3",0,0
"11","LARGEorSMALL","BLM3","3",-1150.95998850717,113.007532529914
"12","LARGEorSMALL","BLM1_E","3",-1395172.22860905,140732.363766904
