"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Lab","Lab","BLM1_fit",-7213.78934854314,-7370.46950198376,-7065.17833218027
"2","Lab","Lab","BLM1_fit_NoErrors",-4528.72473660758,-4637.10975244475,-4421.88658242348
"3","Lab","Lab","BLM3_fit",-7086.41069952836,-7401.53312319675,-480.804780062633
"4","Lab","4","BLM1_fit",-555.140388086311,-608.7035029471,-501.197395144381
"5","Lab","4","BLM1_fit_NoErrors",-284.754173016456,-309.674273746911,-266.252506618227
"6","Lab","10","BLM1_fit",-411.563061481847,-464.630378306221,-367.447964793575
"7","Lab","10","BLM1_fit_NoErrors",-283.007636314347,-306.671672675196,-259.583668529237
"8","Lab","13","BLM1_fit",-232.596009816469,-273.794658654745,-199.610560876335
"9","Lab","13","BLM1_fit_NoErrors",-113.542207087308,-132.664003470776,-103.217870457252
"10","Lab","6","BLM1_fit",-251.879325682835,-296.950620963524,-220.160957169074
"11","Lab","6","BLM1_fit_NoErrors",-138.198582601096,-148.324280984832,-126.667298961199
"12","Lab","7","BLM1_fit",-581.100374217796,-628.803028380236,-540.813069102085
"13","Lab","7","BLM1_fit_NoErrors",-280.344996154881,-323.42407805653,-250.3341816051
"14","Lab","16","BLM1_fit",-122.624784577111,-143.716959951505,-103.13475795765
"15","Lab","16","BLM1_fit_NoErrors",-85.4131374868862,-92.922522199743,-77.0014650558436
"16","Lab","15","BLM1_fit",-44.3686865854964,-57.9566045766724,-33.0989179429648
"17","Lab","15","BLM1_fit_NoErrors",-17.6681962690322,-18.2640990849913,-17.1385041960336
"18","Lab","8","BLM1_fit",-127.203311151181,-135.553840789825,-123.570876991735
"19","Lab","8","BLM1_fit_NoErrors",-52.0672870675989,-52.4559304060738,-51.6601144306517
"20","Lab","1","BLM1_fit",-147.061050621638,-170.896070305823,-137.436087972929
"21","Lab","1","BLM1_fit_NoErrors",-127.748429632246,-134.140633908993,-121.345027923704
"22","Lab","9","BLM1_fit",-195.20143820748,-205.290038809818,-183.386259973125
"23","Lab","9","BLM1_fit_NoErrors",-130.268739185619,-131.48536437783,-128.62644695657
"24","Lab","14","BLM1_fit",-1319.37482209601,-1379.11741570795,-1263.05946023324
"25","Lab","14","BLM1_fit_NoErrors",-1058.97408994802,-1128.47236903555,-990.251453192701
"26","Lab","18","BLM1_fit",-524.251029329251,-561.388029469825,-487.114551576375
"27","Lab","18","BLM1_fit_NoErrors",-309.184899417956,-327.915054095083,-290.70029611826
"28","Lab","17","BLM1_fit",-619.471440010403,-637.756275026512,-600.610295106414
"29","Lab","17","BLM1_fit_NoErrors",-497.075905248148,-528.83218890005,-466.604942896364
"30","Lab","2","BLM1_fit",-945.080591248878,-1004.3304739326,-899.528455682462
"31","Lab","2","BLM1_fit_NoErrors",-634.676728594098,-678.979503251907,-595.006993562667
"32","Lab","12","BLM1_fit",-377.4289971694,-416.760340367571,-343.135067317473
"33","Lab","12","BLM1_fit_NoErrors",-230.111171484079,-248.304115731561,-215.532417392938
"34","Lab","5","BLM1_fit",-132.403090718887,-148.291765916461,-124.189979206017
"35","Lab","5","BLM1_fit_NoErrors",-58.6436235403756,-59.2544577130742,-57.7638791167284
"36","Lab","11","BLM1_fit",-66.0703283368285,-68.895622452959,-64.2767465754936
"37","Lab","11","BLM1_fit_NoErrors",-24.5203604790419,-24.9328780281561,-24.0702857718937
