"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Lab","Full","BLM1_fit",NA,0.0392695495547412,0.000284416162134889,0.15427940548249,0.00320350672744281
"2","Lab","Full","BLM1_fit_NoErrors",NA,0.0394149595571711,0.000285263825109797,0.152181228722469,0.00319422433928341
"3","Lab","Full","BLM3","1",0.0367090248740523,0.00187578697497336,0.183809222270752,0.0217443864346732
"4","Lab","Full","BLM3","10",0.0388541436656801,0.000875100478132159,0.157014588454792,0.00923562028093781
"5","Lab","Full","BLM3","11",0.03921527836108,0.00328749954118884,0.135581854818056,0.0384465469353346
"6","Lab","Full","BLM3","12",0.0388530835846995,0.00106483657928337,0.157191455449083,0.0123804199842853
"7","Lab","Full","BLM3","13",0.036991112034088,0.00136685858332,0.170497982260717,0.0122038389005863
"8","Lab","Full","BLM3","14",0.0396181004223523,0.00429334065037971,0.149032576516646,0.0507510521754158
"9","Lab","Full","BLM3","15",0.0412866176357525,0.00152495412680596,0.14295617759295,0.0163814604306156
"10","Lab","Full","BLM3","2",0.0332054341126333,0.00485191576750402,0.218202863034968,0.0582153150160186
"11","Lab","Full","BLM3","3",0.0407321061152104,0.000716704008914842,0.12856480707055,0.00694315739855188
"12","Lab","Full","BLM3","4",0.0392673764991471,0.0012696586777269,0.151576502609512,0.0103578601902776
"13","Lab","Full","BLM3","5",0.0392541328472394,0.000752500888359607,0.158702890703014,0.00709598664377773
"14","Lab","Full","BLM3","6",0.0434147191066426,0.000992045440309529,0.129680255922596,0.0103653934022522
"15","Lab","Full","BLM3","7",0.0314280797610084,0.00918277626496381,0.257722890592623,0.110485160941134
"16","Lab","Full","BLM3","8",0.0415632084913924,0.00591256025343322,0.130931358918947,0.0715469103565333
"17","Lab","Full","BLM3","9",0.0377661447092367,0.000583455349194441,0.17010311766238,0.00665127326252543
"18","Lab","Full","Deming",NA,0.0421287194800191,0.00219002472029003,0.124763268308343,0.0207920397893807
"19","Lab","Full","LM",NA,0.0394446834976671,0.000358298580496424,0.151861974602717,0.00406547065199546
"20","Lab","Full","Weighted",NA,0.0393376934443397,0.000323649256067274,0.153065382141788,0.00364970164592209
"21","Lab","Full","York",NA,0.0390840563984865,0.000499325329240385,0.15722821148015,0.0056223674851861
"22","Lab","subsets","BLM1_fit","1",0.0369032789000314,0.00204408433614391,0.181631292910482,0.0237518454471722
"23","Lab","subsets","BLM1_fit","10",0.0388895980094755,0.000651096403284022,0.15677142129595,0.00678338422355512
"24","Lab","subsets","BLM1_fit","11",0.0395031744737395,0.00460845248396295,0.131772491357514,0.0538648081941436
"25","Lab","subsets","BLM1_fit","12",0.0391641747477469,0.000983369325776267,0.153514501248955,0.0114717150720458
"26","Lab","subsets","BLM1_fit","13",0.0369053994375153,0.00123717660193494,0.171034573088071,0.0110232953455617
"27","Lab","subsets","BLM1_fit","14",0.0403087972734611,0.0027975354642954,0.140757654110477,0.0330988375011035
"28","Lab","subsets","BLM1_fit","15",0.0414382934898784,0.00131943638211458,0.141270259678617,0.0141963260624514
"29","Lab","subsets","BLM1_fit","2",0.0335456176491008,0.00402909061207489,0.213753752164188,0.0483007310044482
"30","Lab","subsets","BLM1_fit","3",0.0404907075844694,0.00106013194486552,0.130171431164564,0.0103490383379152
