"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","Lab","Full",-9438.7754693713,-4086.64865479678,-9449.41754092929
"2","Lab","3",-683.20575806891,-285.143108983187,-683.118250019866
"3","Lab","9",-516.341662083474,-285.24375236597,-516.326599730889
"4","Lab","11",-276.444959311207,-116.557764683131,-276.428596128351
"5","Lab","5",-304.101163416434,-147.407857293017,-304.065890387993
"6","Lab","6",-686.604072409659,-282.413794432843,-686.553883902536
"7","Lab","13",-153.818410486101,-93.5405088162895,-153.934486455562
"8","Lab","7",-145.844273699752,-81.6050889207817,-145.894304654808
"9","Lab","2",-366.606160912918,-146.352471446681,-366.645838558822
"10","Lab","8",-465.428614112738,-184.359460676297,-465.327791698652
"11","Lab","12",-2542.01888533399,-1243.12253674766,-2542.19359304132
"12","Lab","15",-627.054697722435,-311.566109247009,-627.005229406136
"13","Lab","14",-735.733026035009,-290.25770766388,-735.92160866225
"14","Lab","1",-1355.99499122923,-597.810495577418,-1355.92226042052
"15","Lab","10",-443.274703245676,-235.190741209634,-443.118084487184
"16","Lab","4",-149.663359750128,-80.097131666869,-149.751420426804
