"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Lab","BLM1_NE","Full",0,0
"2","Lab","BLM1_E","Full",-28414.1822639767,252.297347685114
"3","Lab","BLM3","Full",-98003.0250715484,884.662988717333
"4","Lab","BLM3","12",0,0
"5","Lab","BLM1_NE","12",-4422.79082018797,44.3366626244594
"6","Lab","BLM1_E","12",-95476.1512861247,852.575115621152
"7","Lab","BLM1_NE","1",0,0
"8","Lab","BLM3","1",-841.407064027224,15.8082333113432
"9","Lab","BLM1_E","1",-4112.50363534155,55.3456725550956
"10","Lab","BLM1_NE","2",0,0
"11","Lab","BLM3","2",-16238.1492650248,295.876743600565
"12","Lab","BLM1_E","2",-91250.5277907058,1662.61936963424
"13","Lab","BLM3","14",0,0
"14","Lab","BLM1_NE","14",-8228.12950867821,95.7967484893667
"15","Lab","BLM1_E","14",-1472561.38559718,17142.0995686932
"16","Lab","BLM3","8",0,0
"17","Lab","BLM1_NE","8",-36409.2099897181,539.139668819515
"18","Lab","BLM1_E","8",-1977508.18429461,29281.7375193312
"19","Lab","BLM3","5",0,0
"20","Lab","BLM1_NE","5",-2121.82388287932,272.016613067958
"21","Lab","BLM1_E","5",-5848.49906818269,700.922669827472
"22","Lab","BLM1_NE","9",0,0
"23","Lab","BLM3","9",-4970.8286514464,222.794060212493
"24","Lab","BLM1_E","9",-8055.35168742748,362.153570240189
"25","Lab","BLM1_NE","3",0,0
"26","Lab","BLM3","3",-976.049034347486,46.5066806117281
"27","Lab","BLM1_E","3",-1218.83521552066,61.1830506652477
"28","Lab","BLM1_E","6",0,0
"29","Lab","BLM1_NE","6",-623.257998085299,16.2518437550897
"30","Lab","BLM3","6",-667.09426579983,21.476100533874
"31","Lab","BLM3","13",0,0
"32","Lab","BLM1_NE","13",-932.432915709627,216.520480744179
"33","Lab","BLM1_E","13",-18946.5085721961,2344.71140036937
"34","Lab","BLM1_NE","7",0,0
"35","Lab","BLM3","7",-12859.7682458092,198.206688790643
"36","Lab","BLM1_E","7",-43492.1077322847,670.339512208493
"37","Lab","BLM3","10",0,0
"38","Lab","BLM1_E","10",-977.504306098983,56.2690526947141
"39","Lab","BLM1_NE","10",-10504.0322299045,1024.70267538483
"40","Lab","BLM3","11",0,0
"41","Lab","BLM1_NE","11",-431.644061990395,16.4290872109457
"42","Lab","BLM1_E","11",-1444.28024365308,47.654120017702
"43","Lab","BLM1_NE","15",0,0
"44","Lab","BLM1_E","15",-1131.50359354127,34.09256991049
"45","Lab","BLM3","15",-4544.01549772354,693.031624282625
"46","Lab","BLM3","4",0,0
"47","Lab","BLM1_NE","4",-4353.52512218729,847.828280290835
"48","Lab","BLM1_E","4",-11592.1411511269,2277.47780347208
