"","targetColumns","original","number","Freq"
"1","Lab","Caltech","1",118
"2","Lab","Cambridge","2",25
"3","Lab","CAS","3",11
"4","Lab","ETH","4",67
"5","Lab","GeoSurveyCanada","5",48
"6","Lab","Goethe","6",25
"7","Lab","ImperialCollegeLondon","7",58
"8","Lab","IPGP","8",11
"9","Lab","IPSL","9",27
"10","Lab","JohnsHopkins","10",55
"11","Lab","LSCE","11",27
"12","Lab","MIT","12",60
"13","Lab","StonyBrook","13",13
"14","Lab","Tulane","14",25
"15","Lab","UCLATripati","15",270
"16","Lab","UMichigan","16",17
"17","Lab","UnivBergen","17",56
"18","Lab","Utrecht","18",11
"19","Lab","UW","19",56
