"","targetMaterialColumn","dataset","R2 type","model","median","lwr","upr"
"1","Lake","Lake","Conditional","BLM1_fit",0.922755461172576,0.89331483445524,0.942081698561362
"2","Lake","Lake","Conditional","BLM1_fit_NoErrors",0.923546701719953,0.894141902190146,0.942537530643361
"3","Lake","Lake","Conditional","BLM3_fit",0.998233021557854,0.997005626944118,0.998734742606092
"4","Lake","Lake","Marginal","BLM3_fit",0.0368794531783021,0.0358458778521967,0.0383686790447613
"5","Lake","3","BLM1_fit",NA,0.957668385834935,0.956136145464394,0.958731918950091
"6","Lake","3","BLM1_fit_NoErrors",NA,0.957959592064737,0.956506840938335,0.958945213975886
"7","Lake","1","BLM1_fit",NA,0.537561358001495,0.235546741623836,0.66341669554358
"8","Lake","1","BLM1_fit_NoErrors",NA,0.550902319361367,0.158245170842803,0.681520726402619
"9","Lake","2","BLM1_fit",NA,0.54265481730849,0.419099520293724,0.615289144067814
"10","Lake","2","BLM1_fit_NoErrors",NA,0.528040416064117,0.392295491184933,0.611869599852889
