"","dataset","Model","parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"1","Full","BLM1_fit","alpha",0.15555458199089,0.00983304269817607,0.143148485194603,0.150135009211888,0.153501886792607,0.158297244951007,0.187083999222555,1.09544988555489,58
"2","Full","BLM1_fit","beta",0.0392728475795072,0.00084592859564956,0.0365551707879526,0.0390345648494945,0.0394346851671682,0.0397382431122031,0.0403256651691866,1.09764521306266,71
"3","Full","BLM1_fit","deviance",-7757.52824550478,55.6741262982004,-7865.04136066149,-7794.30191546857,-7760.37949964884,-7720.05392716569,-7646.53681120079,1.00405002265758,500
"4","Full","BLM1_fit","tauy",1714.39312390203,100.361911680442,1533.09168680872,1656.30670884406,1718.80872113417,1778.98376105154,1894.43552561473,1.02960397360727,960
"5","Full","BLM1_fit_NoErrors","alpha",0.144779487544632,0.0129552740966702,0.135891131307963,0.141591955795006,0.144458372316427,0.147553074302205,0.153535234888063,1.09148479783708,1500
"6","Full","BLM1_fit_NoErrors","beta",0.0401755947547301,0.000964294029001699,0.0394092308481658,0.0399301503660368,0.0402063350611164,0.0404525408613664,0.0409428395431463,1.21623180470558,1500
"7","Full","BLM1_fit_NoErrors","deviance",-4300.57766074008,91.6372071934383,-4309.16640102667,-4307.44376186544,-4305.58880534067,-4302.77436599625,-4294.87928861165,1.01661955102736,1500
"8","Full","BLM1_fit_NoErrors","tau",2510.22273037882,161.480055364382,2276.37499006598,2426.27164480491,2513.1561126372,2601.91893187265,2770.71838152733,1.00917846552433,1500
"9","Full","BLM1_fit","alpha",0.157282750557198,0.00890909655737444,0.138637932923104,0.152936342492519,0.157638895990653,0.161820931571351,0.175326914589272,1.57513510820569,7
"10","Full","BLM1_fit","beta",0.0391776026191309,0.000779451573106844,0.0375953684316918,0.0387792184756459,0.0391624209676461,0.0395492946703307,0.0408646593308295,1.56861336844041,7
"11","Full","BLM1_fit","deviance",-7942.60659330424,55.4685056630245,-8053.89585639551,-7978.77720225479,-7942.55043446856,-7905.9812476615,-7833.42279985234,1.00183549640949,1100
"12","Full","BLM1_fit","tauy",1803.43588225192,116.617898524954,1611.33547444096,1736.82745629581,1802.27678741417,1876.22691625784,1998.70014521859,1.09177790761002,1500
"13","Full","BLM1_fit_NoErrors","alpha",0.152525046485753,0.0114127954121901,0.145951153952861,0.150518128210043,0.15282697215223,0.155237621457408,0.159646540573518,1.15586104075059,1500
"14","Full","BLM1_fit_NoErrors","beta",0.0395702692696015,0.00101240655769935,0.0389644607951058,0.0393321872668555,0.0395448479785685,0.0397429381586114,0.0401343221127021,1.08637828900313,1500
"15","Full","BLM1_fit_NoErrors","deviance",-4388.23349754384,82.1766108204544,-4396.45632753524,-4394.55159891244,-4392.67190686033,-4390.02377178737,-4382.71859383538,1.05349789669222,1500
"16","Full","BLM1_fit_NoErrors","tau",2765.95819438755,167.277089010417,2511.94601525447,2686.34151285382,2765.87882811882,2856.52076971062,3031.21548741873,1.03782412379938,1500
"17","Full","BLM3_fit","alpha[1]",0.238975350028923,0.0374370075391961,0.192047156824948,0.209513386854504,0.226791876760602,0.268290451785697,0.321503271382317,4.89354306263582,3
"18","Full","BLM3_fit","alpha[2]",0.157198160511546,0.0129161705461042,0.142123052295686,0.150780271694066,0.15556834098399,0.159297107172254,0.191298190635163,1.12716274302075,45
"19","Full","BLM3_fit","beta[1]",0.0324730167341354,0.00312206337306081,0.0255923697821934,0.0299820990499971,0.0334601963456217,0.0349008418536685,0.0364015325763008,4.14464612594702,3
"20","Full","BLM3_fit","beta[2]",0.0390074182254696,0.00120812028853291,0.0357753724735401,0.0388161648300281,0.039173715546875,0.0395947505366269,0.0403791985759681,1.14829390282063,51
"21","Full","BLM3_fit","conditionalR2",0.986384408525559,0.0215156639834815,0.918346817592131,0.986097622197551,0.996404143233841,0.998448789391837,0.99905135122557,1.00010926748402,1500
"22","Full","BLM3_fit","deviance",-7718.00511598247,55.3931078900691,-7826.47465935946,-7753.90588028899,-7716.65130491949,-7684.96523708759,-7609.65079368396,1.00322772396764,620
"23","Full","BLM3_fit","marginalR2",0.136977201652048,0.215642641926694,0.00968524040671296,0.0158120288869152,0.036929621200161,0.140183131473564,0.829953609556317,1.00040708294824,1500
"24","Full","BLM3_fit","alpha[1]",0.250838838492534,0.0301943588655003,0.196118693839608,0.233496747211096,0.246914590810114,0.267664408315588,0.308769578272846,2.83972622684598,4
"25","Full","BLM3_fit","alpha[2]",0.159255420021411,0.0166920251317718,0.145829619987282,0.152854906277974,0.156332840279626,0.160001162027795,0.203495790899347,1.15337998678975,110
"26","Full","BLM3_fit","beta[1]",0.0314896648081466,0.00252473333256695,0.0267225388708646,0.0300897781099095,0.0317919671387469,0.0329067682989482,0.0360904474160315,2.94029471988384,4
"27","Full","BLM3_fit","beta[2]",0.0387815251481274,0.00151814847329664,0.0345733106241247,0.038721704362554,0.0390392226386919,0.039377218105578,0.0400174084469369,1.20028059719941,100
"28","Full","BLM3_fit","conditionalR2",0.986426036663826,0.0240811941263795,0.921965400204907,0.987292071095341,0.996418899126998,0.998465266374626,0.999106750309459,1.05922029411534,1500
"29","Full","BLM3_fit","deviance",-7820.11662112872,54.579868192202,-7928.54269924861,-7856.20439481923,-7821.6160278745,-7783.21575515669,-7712.9622783896,1.00124334289814,1500
"30","Full","BLM3_fit","marginalR2",0.146369222903358,0.229741350620654,0.00987071818922205,0.0169546033302171,0.0387359819465523,0.142010697381918,0.863087523742821,1.00326557411905,610
"31","2","BLM1_fit","alpha",0.154377622010151,0.0089161684933213,0.13194361665568,0.152166982679491,0.155324741551419,0.158978484759429,0.165307547765264,1.28479616363535,20
"32","2","BLM1_fit","beta",0.0392455383212647,0.000781492561029459,0.0382879338003273,0.0388444072865756,0.0391568589702642,0.0394400966001086,0.0411701779798291,1.26732203285133,18
"33","2","BLM1_fit","deviance",-7506.26081363272,51.7326676589953,-7606.65610083469,-7541.72248852901,-7507.40238002049,-7471.48647845452,-7405.87053265845,1.00008066106654,1500
"34","2","BLM1_fit","tauy",1568.44499160488,104.850215256208,1375.93894791212,1510.0599564168,1570.06396480263,1632.52654833565,1761.06510655802,1.01051762748819,540
"35","2","BLM1_fit_NoErrors","alpha",0.153274151295956,0.0137665748568658,0.144726509809237,0.15019624595865,0.152669852710009,0.155402110086537,0.160390038964476,1.02541383762961,1500
"36","2","BLM1_fit_NoErrors","beta",0.0393058473681657,0.00122614233181194,0.0386604602227628,0.039125311173178,0.0393559127016453,0.0395794162727373,0.040033003546596,1.09993093771688,1500
"37","2","BLM1_fit_NoErrors","deviance",-3804.04045006931,79.4203558324874,-3811.50726143272,-3809.97398905778,-3808.28098903155,-3805.83133362728,-3798.24104568832,1.05639677487578,1500
"38","2","BLM1_fit_NoErrors","tau",2251.5764717341,144.312522672782,2040.17140355953,2179.11410744872,2248.70980349508,2333.36033580119,2497.00663173466,1.03485876629195,1500
