"","targetMaterialColumn","dataset","BLMM_material","model","intercept","slope"
"1","Lake","Full",NA,"York",0.153654529053684,0.0396513691173533
"2","Lake","Full",NA,"York",0.161572923126091,0.0387823992599004
"3","Lake","Full",NA,"LM",0.152824630182648,0.039396214816269
"4","Lake","Full",NA,"LM",0.146830546607299,0.0398498073859913
"5","Lake","Full",NA,"Deming",0.142355041677698,0.0393987345126286
"6","Lake","Full",NA,"Deming",0.130749483210035,0.0413183358083803
"7","Lake","Full",NA,"Weighted",0.154861291391579,0.0391614313934491
"8","Lake","Full",NA,"Weighted",0.155606887742395,0.0390212357730576
"9","Lake","Full",NA,"Bayesian errors",0.15555458199089,0.0392728475795072
"10","Lake","Full",NA,"Bayesian errors",0.157282750557198,0.0391776026191309
"11","Lake","Full",NA,"Bayesian no errors",0.144779487544632,0.0401755947547301
"12","Lake","Full",NA,"Bayesian no errors",0.152525046485753,0.0395702692696015
"13","Lake","Full",2,"Bayesian mixed",0.238975350028923,0.0324730167341354
"14","Lake","Full",1,"Bayesian mixed",0.157198160511546,0.0390074182254696
"15","Lake","Full",2,"Bayesian mixed",0.250838838492534,0.0314896648081466
"16","Lake","Full",1,"Bayesian mixed",0.159255420021411,0.0387815251481274
"17","Lake","2",NA,"York",0.153094553616386,0.0394215714006398
"18","Lake","2",NA,"York",0.160686688004211,0.0388515161168559
"19","Lake","2",NA,"LM",0.155800478343353,0.0390044753971253
"20","Lake","2",NA,"LM",0.155329010676072,0.039160247581656
"21","Lake","2",NA,"Deming",0.123787968448621,0.0431643452663451
"22","Lake","2",NA,"Deming",0.129182487656686,0.0412036158852391
"23","Lake","2",NA,"Weighted",0.154707884711662,0.0391641670871023
"24","Lake","2",NA,"Weighted",0.158260667523629,0.0388857746770249
"25","Lake","2",NA,"Bayesian errors",0.154377622010151,0.0392455383212647
"26","Lake","2",NA,"Bayesian errors",0.15677273209037,0.0389941649737699
"27","Lake","2",NA,"Bayesian no errors",0.153274151295956,0.0393058473681657
"28","Lake","2",NA,"Bayesian no errors",0.153813714131613,0.0392313942896001
"29","Lake","1",NA,"York",0.0969055085340622,0.0445591461101546
"30","Lake","1",NA,"York",0.0170802631639582,0.0514060058212536
"31","Lake","1",NA,"LM",0.226608578013568,0.0336901868406179
"32","Lake","1",NA,"LM",0.20928507513789,0.0351221755862508
"33","Lake","1",NA,"Deming",0.152845824941428,0.0398334954100223
"34","Lake","1",NA,"Deming",0.200726863749603,0.0364326889929603
"35","Lake","1",NA,"Weighted",0.23756281726234,0.0325083781238476
"36","Lake","1",NA,"Weighted",0.207746849026493,0.0352250945695649
"37","Lake","1",NA,"Bayesian errors",0.31898504060652,0.0260650651191427
"38","Lake","1",NA,"Bayesian errors",0.200243432871932,0.035595744944172
"39","Lake","1",NA,"Bayesian no errors",0.232525529220879,0.0332731050949484
"40","Lake","1",NA,"Bayesian no errors",0.217378435612644,0.0341890833151337
