"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Lake","Full","BLM1_fit",NA,0.0392915132282813,0.00146072228060849,0.153593315164555,0.0164700901841265
"2","Lake","Full","BLM1_fit_NoErrors",NA,0.0394178615480935,0.00145340460068719,0.152203401412062,0.0162804636463959
"3","Lake","Full","BLM3","1",0.0351513724136759,0.0169434844661663,0.208237199039271,0.203040382540177
"4","Lake","Full","BLM3","2",0.0391753726083237,0.00149886281023924,0.154246484355552,0.0167102288780069
"5","Lake","Full","Deming",NA,0.0415394808283926,0.00212703433873071,0.128909193684647,0.0205298968019028
"6","Lake","Full","LM",NA,0.0393583612584096,0.000350358076765275,0.152736181529347,0.00399334432204917
"7","Lake","Full","Weighted",NA,0.0392777707446501,0.000299038506655193,0.153667158974248,0.00340091113576409
"8","Lake","Full","York",NA,0.0390752807507838,0.000495488677259354,0.157015996107847,0.00554639676412507
"9","Lake","subsets","BLM1_fit","1",0.0311273398286692,0.0196034453866748,0.256422492458463,0.23484256116925
"10","Lake","subsets","BLM1_fit","2",0.0392726431366602,0.00148252210308606,0.153110321911194,0.016563671030377
"11","Lake","subsets","BLM1_fit_NoErrors","1",0.0342051041458248,0.0206776480726012,0.219709537283128,0.247658243971865
"12","Lake","subsets","BLM1_fit_NoErrors","2",0.0393582587888184,0.00147307000095904,0.152388570608613,0.0164133284862446
"13","Lake","subsets","BLM3","1",0.030148360699991,0.0202809446642782,0.268607607681967,0.242507508274374
"14","Lake","subsets","BLM3","2",0.0392535462903186,0.00146940731581378,0.153379702282237,0.0164773001907962
"15","Lake","subsets","Deming","1",0.0297120541954377,0.00547020132387984,0.276889909984491,0.0634342721352671
"16","Lake","subsets","Deming","2",0.0415912844051982,0.00561828503983101,0.132015385151082,0.0555569290758149
"17","Lake","subsets","LM","1",0.0356436130365722,0.000527634182769292,0.203467713113593,0.00908335551883653
"18","Lake","subsets","LM","2",0.0390242404700814,0.000142572161168102,0.156208778277323,0.00287633231616847
"19","Lake","subsets","Weighted","1",0.0311222799705705,0.00246061367420403,0.255409881770911,0.028578153049633
"20","Lake","subsets","Weighted","2",0.0392302534388424,2.23228145202903e-05,0.154082096962082,0.00105184837549042
"21","Lake","subsets","York","1",0.055372279141128,0.00205302187935597,-0.0345982036803207,0.0202154943880398
"22","Lake","subsets","York","2",0.0391465490253006,0.000552378417971232,0.157391080656496,0.00887712874759476
