"","targetMaterialColumn","dataset","BLMM_material","model","intercept","slope"
"1","MarineMetazoa","Full",NA,"York",0.174306468668545,0.0380358610450168
"2","MarineMetazoa","Full",NA,"York",0.167626978350647,0.0388444967286566
"3","MarineMetazoa","Full",NA,"York",0.171313142979678,0.0384693345619946
"4","MarineMetazoa","Full",NA,"York",0.17174488151906,0.0383174381704196
"5","MarineMetazoa","Full",NA,"York",0.163166267239038,0.0391771291534118
"6","MarineMetazoa","Full",NA,"LM",0.171504221324242,0.037953266822784
"7","MarineMetazoa","Full",NA,"LM",0.180154302576929,0.0374042415646931
"8","MarineMetazoa","Full",NA,"LM",0.169664362934756,0.0382423861867172
"9","MarineMetazoa","Full",NA,"LM",0.164498033422378,0.0385879456267855
"10","MarineMetazoa","Full",NA,"LM",0.179037334720762,0.0374624723811138
"11","MarineMetazoa","Full",NA,"Deming",0.193571925437332,0.0362267303767469
"12","MarineMetazoa","Full",NA,"Deming",0.167813686003184,0.0390408425945081
"13","MarineMetazoa","Full",NA,"Deming",0.183372776916273,0.0370454379524456
"14","MarineMetazoa","Full",NA,"Deming",0.183344118138701,0.0372433959109313
"15","MarineMetazoa","Full",NA,"Deming",0.181398927518653,0.0372715001246353
"16","MarineMetazoa","Full",NA,"Weighted",0.181822124867141,0.0372714454768642
"17","MarineMetazoa","Full",NA,"Weighted",0.193780148118574,0.036178470172542
"18","MarineMetazoa","Full",NA,"Weighted",0.169278361855375,0.0382554064894334
"19","MarineMetazoa","Full",NA,"Weighted",0.17980344336189,0.0373244024036141
"20","MarineMetazoa","Full",NA,"Weighted",0.173762137053352,0.0378311310846201
"21","MarineMetazoa","Full",NA,"Bayesian errors",0.176843379051004,0.0380937324375145
"22","MarineMetazoa","Full",NA,"Bayesian errors",0.177317358517041,0.0380283333196234
"23","MarineMetazoa","Full",NA,"Bayesian errors",0.177844101027542,0.0378427022689017
"24","MarineMetazoa","Full",NA,"Bayesian errors",0.172932622474791,0.0384832578244282
"25","MarineMetazoa","Full",NA,"Bayesian errors",0.182875103607885,0.037461140892533
"26","MarineMetazoa","Full",NA,"Bayesian no errors",0.177659410480805,0.03799597853593
"27","MarineMetazoa","Full",NA,"Bayesian no errors",0.175508637335795,0.038161235433287
"28","MarineMetazoa","Full",NA,"Bayesian no errors",0.180911114424643,0.0375572312481575
"29","MarineMetazoa","Full",NA,"Bayesian no errors",0.181763322202126,0.0377046418739532
"30","MarineMetazoa","Full",NA,"Bayesian no errors",0.185041893650919,0.037257197441154
"31","MarineMetazoa","Full",2,"Bayesian mixed",0.251196753176526,0.0325165347000928
"32","MarineMetazoa","Full",1,"Bayesian mixed",0.181409023637975,0.0371000249479101
"33","MarineMetazoa","Full",2,"Bayesian mixed",0.159859935421481,0.0398892753758659
"34","MarineMetazoa","Full",1,"Bayesian mixed",0.174024372506332,0.0378163051376772
"35","MarineMetazoa","Full",2,"Bayesian mixed",0.282068901082869,0.0298500090232086
"36","MarineMetazoa","Full",1,"Bayesian mixed",0.180335863292587,0.0370299743886611
