"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Mineralogy","Full","BLM1_fit",NA,0.0395249585400632,0.00065718914512557,0.152662226292103,0.00747809079445801
"2","Mineralogy","Full","BLM1_fit_NoErrors",NA,0.0389510494870047,0.000303730413098672,0.159173426662966,0.00349741752120196
"3","Mineralogy","Full","BLM3","1",0.037310784841879,0.00107050197546965,0.175960041658499,0.0127170275657108
"4","Mineralogy","Full","BLM3","2",0.0391692578316808,0.000320483001281461,0.157346498043641,0.00366882295479599
"5","Mineralogy","Full","Deming",NA,0.0399483375722812,0.00313335767180836,0.151854654077479,0.0258117026095325
"6","Mineralogy","Full","LM",NA,0.0389048206088782,0.000312592232470156,0.159628204307291,0.00365372646658486
"7","Mineralogy","Full","Weighted",NA,0.0389971838722654,0.000240359853762172,0.158697932043598,0.00285854350323786
"8","Mineralogy","Full","York",NA,0.0392325114132905,0.000421138698575916,0.157905283633961,0.00478901830528408
"9","Mineralogy","subsets","BLM1_fit","1",0.0389550192040006,0.00150259678990323,0.156658638515961,0.0176640191723728
"10","Mineralogy","subsets","BLM1_fit","2",0.0402258935222091,0.000585397733807859,0.145484479026552,0.00663474332144766
"11","Mineralogy","subsets","BLM1_fit_NoErrors","1",0.0372787336670912,0.000948720231570171,0.176356460015257,0.0111991818386299
"12","Mineralogy","subsets","BLM1_fit_NoErrors","2",0.0391526506994653,0.000323545814800139,0.157544995311571,0.00371568050893776
"13","Mineralogy","subsets","BLM3","1",0.0372658810688528,0.000949154808253805,0.176465183778613,0.011259315927536
"14","Mineralogy","subsets","BLM3","2",0.0391813084746995,0.000322168739620456,0.157223165071293,0.00368031790825536
"15","Mineralogy","subsets","Deming","1",0.0377843994680422,0.00121567081824814,0.174725130693582,0.0139129976998484
"16","Mineralogy","subsets","Deming","2",0.0408723664022106,0.00529512616539912,0.142977560031317,0.0481559978943433
"17","Mineralogy","subsets","LM","1",0.0370724784967689,0.00109753467965135,0.178781179159048,0.0128835644581819
"18","Mineralogy","subsets","LM","2",0.0391983624775289,0.000295895057682788,0.156931788447312,0.00341579466949621
"19","Mineralogy","subsets","Weighted","1",0.0371731673817876,0.00121473159086464,0.177640783779921,0.01399660820414
"20","Mineralogy","subsets","Weighted","2",0.0391607202498697,0.000329273109840961,0.157337606015471,0.00384045334016652
"21","Mineralogy","subsets","York","1",0.0378841845508986,0.00116111842091308,0.173452260846029,0.0133304519689994
"22","Mineralogy","subsets","York","2",0.0391751312964734,0.000513587028622411,0.1582583363671,0.00577634880324657
