"","targetMaterialColumn","dataset","BLMM_material","model","intercept","slope"
"1","Mineralogy","Full",NA,"York",0.114757988082502,0.0427819768051034
"2","Mineralogy","Full",NA,"York",0.103410510370023,0.0439110508391831
"3","Mineralogy","Full",NA,"York",0.116855588026867,0.0423063549093152
"4","Mineralogy","Full",NA,"York",0.1053147029722,0.043366430878585
"5","Mineralogy","Full",NA,"York",0.153852732940089,0.039623548901722
"6","Mineralogy","Full",NA,"York",0.0967471690663664,0.0441160067876424
"7","Mineralogy","Full",NA,"York",0.154488763812681,0.0395153018599167
"8","Mineralogy","Full",NA,"York",0.129069104913516,0.0414183047262277
"9","Mineralogy","Full",NA,"York",0.148402785806287,0.0400103149334425
"10","Mineralogy","Full",NA,"York",0.114341049173902,0.0424901598482364
"11","Mineralogy","Full",NA,"York",0.134357583552816,0.0412743729759721
"12","Mineralogy","Full",NA,"York",0.108279694252329,0.0435102808516411
"13","Mineralogy","Full",NA,"York",0.120561027953632,0.0418599722097196
"14","Mineralogy","Full",NA,"York",0.113989504205363,0.042776901350557
"15","Mineralogy","Full",NA,"York",0.128011033463019,0.0415546954984149
"16","Mineralogy","Full",NA,"York",0.125424928348657,0.0419318858225986
"17","Mineralogy","Full",NA,"York",0.0805819912829286,0.0455496531344995
"18","Mineralogy","Full",NA,"York",0.11857908314153,0.0424678105851891
"19","Mineralogy","Full",NA,"York",0.125193425569164,0.0420774438410416
"20","Mineralogy","Full",NA,"York",0.154459462117267,0.0392924235127188
"21","Mineralogy","Full",NA,"LM",0.141018299274163,0.0403960054182057
"22","Mineralogy","Full",NA,"LM",0.13783600151472,0.0406508497328564
"23","Mineralogy","Full",NA,"LM",0.145364498938233,0.0400139295692839
"24","Mineralogy","Full",NA,"LM",0.149257906795993,0.0395258976880948
"25","Mineralogy","Full",NA,"LM",0.134091731781147,0.0410134096836198
"26","Mineralogy","Full",NA,"LM",0.142596188558091,0.0401680244105329
"27","Mineralogy","Full",NA,"LM",0.139828588479642,0.0404402920612446
"28","Mineralogy","Full",NA,"LM",0.149659642914855,0.0396448356557068
"29","Mineralogy","Full",NA,"LM",0.153713440226955,0.0392483563985757
"30","Mineralogy","Full",NA,"LM",0.14939146307793,0.0396265340411439
"31","Mineralogy","Full",NA,"LM",0.131015552829486,0.0411643440992032
"32","Mineralogy","Full",NA,"LM",0.141736661753149,0.0403652442762101
"33","Mineralogy","Full",NA,"LM",0.135734911826452,0.0407134121594159
"34","Mineralogy","Full",NA,"LM",0.143417404940716,0.040263297813777
"35","Mineralogy","Full",NA,"LM",0.148972704436879,0.039649433280506
"36","Mineralogy","Full",NA,"LM",0.142455906128006,0.0402683369886757
"37","Mineralogy","Full",NA,"LM",0.151556724592374,0.0394806854185104
"38","Mineralogy","Full",NA,"LM",0.154346983783863,0.039070818427449
"39","Mineralogy","Full",NA,"LM",0.135633988311296,0.0409209787706601
"40","Mineralogy","Full",NA,"LM",0.144048549341767,0.0401206885345731
"41","Mineralogy","Full",NA,"Deming",0.153288490004624,0.0391392855548152
"42","Mineralogy","Full",NA,"Deming",0.136573528670773,0.0406444009690011
"43","Mineralogy","Full",NA,"Deming",0.125783040585733,0.0415296711390808
"44","Mineralogy","Full",NA,"Deming",0.136498486744433,0.04053106365206
"45","Mineralogy","Full",NA,"Deming",0.140021305011781,0.0402544898068418
"46","Mineralogy","Full",NA,"Deming",0.138765355177085,0.0408212331182621
"47","Mineralogy","Full",NA,"Deming",0.137575696912843,0.0408969884693439
"48","Mineralogy","Full",NA,"Deming",0.133571047794387,0.0413346350229905
"49","Mineralogy","Full",NA,"Deming",0.140457919618642,0.0403611639225418
"50","Mineralogy","Full",NA,"Deming",0.136550364470418,0.040567369801322
"51","Mineralogy","Full",NA,"Deming",0.13768851328301,0.0405949369204682
