"","targetMaterialColumn","dataset","R2 type","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","Conditional","BLM3_fit",0.998593423168185,0.998565311727997,0.99882619482764
"2","Mineralogy","Mineralogy","Marginal","BLM3_fit",0.0370516387946421,0.0346836442469652,0.0376425022425574
"3","Mineralogy","Mineralogy","BLM1_fit",NA,0.931562311367625,0.922462873114708,0.935008687960725
"4","Mineralogy","Mineralogy","BLM1_fit_NoErrors",NA,0.931416664870589,0.927421370252723,0.934078681163774
"5","Mineralogy","4","BLM1_fit",NA,0.945919684765333,0.249659850174454,0.976333249488701
"6","Mineralogy","4","BLM1_fit_NoErrors",NA,0.946534445527295,0.32199005743503,0.976343698548094
"7","Mineralogy","1","BLM1_fit",NA,0.741634767632472,0.367709596989688,0.776650356949748
"8","Mineralogy","1","BLM1_fit_NoErrors",NA,0.712553312324194,0.3367301408528,0.776449959445129
"9","Mineralogy","3","BLM1_fit",NA,0.904588670338639,0.889627928785271,0.910460524630504
"10","Mineralogy","3","BLM1_fit_NoErrors",NA,0.906609851575137,0.898883814569463,0.911504033784265
"11","Mineralogy","5","BLM1_fit",NA,0.975100263303416,0.736285652536886,0.989042133656799
"12","Mineralogy","5","BLM1_fit_NoErrors",NA,0.976056194702132,0.748828686804317,0.989052902351015
"13","Mineralogy","2","BLM1_fit",NA,0.725642280586644,0.00243842076662128,0.881368448819496
"14","Mineralogy","2","BLM1_fit_NoErrors",NA,0.677903556866435,0.00368587351977106,0.881010171714478
